Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T059-B03,WT-116:S017,daniel,jason,5,BLK:06 PLN:01 POS:07,MFV 04828,250.60,5/6/2013 9:23,5/6/2013 11:58,2:34:45,,,,,,,,,,250.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,10,MFV 04828,BLK:06 PLN:01 POS:07,250.60
T059-B03,WT-116:S017,daniel,jason,7,BLK:06 PLN:01 POS:09,MFV 04873,250.80,5/6/2013 9:16,5/6/2013 11:44,2:27:38,,,,,,,,,,250.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,11,MFV 04873,BLK:06 PLN:01 POS:09,250.80
T059-B03,WT-116:S017,daniel,jason,10,BLK:06 PLN:01 POS:11,MFV 04863,251.60,5/6/2013 9:20,5/6/2013 11:51,2:30:56,,,,,,,,,,251.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,12,MFV 04863,BLK:06 PLN:01 POS:11,251.60
T059-B03,WT-116:S017,daniel,jason,2,BLK:06 PLN:03 POS:00,MFV 04879,250.40,5/6/2013 11:44,5/6/2013 14:07,2:22:25,,,,,,,,,,250.4,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,13,MFV 04879,BLK:06 PLN:03 POS:00,250.40
T059-B03,WT-116:S017,daniel,jason,3,BLK:06 PLN:03 POS:02,MFV 04865,250.20,5/6/2013 11:56,5/6/2013 14:21,2:25:40,,,,,,,,,,250.2,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,14,MFV 04865,BLK:06 PLN:03 POS:02,250.20
T059-B03,WT-116:S017,daniel,jason,4,BLK:06 PLN:03 POS:04,MFV 04870,250.60,5/6/2013 12:07,5/6/2013 14:39,2:31:52,,,,,,,,,,250.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,15,MFV 04870,BLK:06 PLN:03 POS:04,250.60
T059-B03,WT-116:S017,daniel,jason,5,BLK:06 PLN:03 POS:06,MFV 04852,252.10,5/6/2013 11:58,5/6/2013 14:25,2:27:31,,,,,,,,,,252.1,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,16,MFV 04852,BLK:06 PLN:03 POS:06,252.10
T059-B03,WT-116:S017,daniel,jason,7,BLK:06 PLN:03 POS:08,MFV 04741,249.40,5/6/2013 11:44,5/6/2013 14:10,2:25:51,,,,,,,,,,249.4,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,17,MFV 04741,BLK:06 PLN:03 POS:08,249.40
T059-B03,WT-116:S017,daniel,jason,10,BLK:06 PLN:03 POS:10,MFV 04820,250.80,5/6/2013 11:51,5/6/2013 14:18,2:27:03,,,,,,,,,,250.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,18,MFV 04820,BLK:06 PLN:03 POS:10,250.80
T059-B03,WT-116:S017,daniel,jason,2,BLK:06 PLN:03 POS:01,MFV 04872,250.20,5/6/2013 14:07,5/6/2013 16:30,2:22:39,,,,,,,,,,250.2,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,19,MFV 04872,BLK:06 PLN:03 POS:01,250.20
