Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T59-B04,WT-163:S024,daniel,gary,12,BLK:09 PLN:00 POS:00,MFV 05806,244.7,6/12/2013 19:49,6/12/2013 21:35,1:46:21,,,,,244.70,T64-B05,WT-116:S026,daniel,jason,12,BLK:09 PLN:00 POS:00,MFV 05806,0.8,6/27/2013 10:21,6/27/2013 10:25,0:03:48,,,,,0.80,T64-B13,WT163:S066,Larry,Brent,9,BLK:09 PLN:00 POS:00,MFV 05806,3.1,6/10/2014 7:57,6/10/2014 8:15,0:18:27,"1/8""",,,0.00,3.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 05806,BLK:09 PLN:00 POS:00,248.60,
T59-B04,WT-163:S024,daniel,gary,12,BLK:09 PLN:00 POS:01,MFV 05796,243.9,6/12/2013 23:25,6/13/2013 1:12,1:46:58,,,,,243.90,T64-B05,WT-116:S026,daniel,jason,12,BLK:09 PLN:00 POS:01,MFV 05796,0.7,6/27/2013 9:24,6/27/2013 9:26,0:02:02,,,,,0.70,T64-B13,WT163:S066,John,Jay/Ron,9,BLK:09 PLN:00 POS:01,MFV 05796,2.8,6/9/2014 15:39,6/9/2014 15:56,0:17:35,"1""",,,0.00,2.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 05796,BLK:09 PLN:00 POS:01,247.40,
T59-B04,WT-166:S025,wood,james,12,BLK:09 PLN:00 POS:02,MFV 05787,238,6/13/2013 8:23,6/13/2013 10:10,1:46:52,,,,,238.00,T64-B05,WT-116:S026,daniel,jason,12,BLK:09 PLN:00 POS:02,MFV 05787,3.5,6/27/2013 7:24,6/27/2013 7:24,0:00:09,,,,,3.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 05787,BLK:09 PLN:00 POS:02,241.50,
T59-B04,WT-166:S025,wood,james,12,BLK:09 PLN:00 POS:03,MFV 05795,164.7,6/13/2013 12:05,6/13/2013 14:14,2:09:04,tanker swap,T59-B04,WT-164:S023,75.3,240.00,T64-B05,WT-116:S026,wood,james,12,BLK:09 PLN:00 POS:03,MFV 05795,4.7,6/27/2013 2:42,6/27/2013 2:49,0:07:39,,,,,4.70,T64-B13,WT163:S066,John,Jay/Ron,1,BLK:09 PLN:00 POS:03,MFV 05795,2.8,6/9/2014 12:55,6/9/2014 13:12,0:16:39,"1""",,,0.00,2.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 05795,BLK:09 PLN:00 POS:03,247.50,
T59-B04,WT-164:S023,wood,james,12,BLK:09 PLN:00 POS:04,MFV 05733,237.9,6/13/2013 16:05,6/13/2013 18:29,2:23:27,,,,,237.90,T64-B05,WT-116:S026,wood,james,12,BLK:09 PLN:00 POS:04,MFV 05733,1.7,6/27/2013 1:50,6/27/2013 1:53,0:02:24,,,,,1.70,T64-B13,WT163:S066,John,Jay/Ron,1,BLK:09 PLN:00 POS:04,MFV 05733,4.6,6/9/2014 10:04,6/9/2014 10:26,0:22:11,"3/8"" dipsticked 4 times. All dipstick measurements will be as is per Rick. No deviations from procedures.",,,0.00,4.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 05733,BLK:09 PLN:00 POS:04,244.20,
T59-B04,WT-164:S023,daniel,tommy,12,BLK:09 PLN:00 POS:05,MFV 05781,7.8,6/13/2013 20:24,6/17/2013 7:56,83:31:56,swap,T59-B04,WT-165:S024,228.4,236.20,T64-B05,WT-116:S026,wood,james,12,BLK:09 PLN:00 POS:05,MFV 05781,4.9,6/26/2013 22:44,6/26/2013 22:56,0:12:29,,,,,4.90,T64-B13,WT163:S066,Larry,Brent,9,BLK:09 PLN:00 POS:05,MFV 05781,4.5,6/6/2014 15:31,6/6/2014 15:48,0:16:31,"1 3/4""",,,0.00,4.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 05781,BLK:09 PLN:00 POS:05,245.60,
