Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T59-B03,WT-116:S018,coran,daniel,12,BLK:07 PLN:00 POS:00,MFV 05120,245.8,5/14/13 7:54,5/14/13 10:00,2:06:13,,,,,245.80,T064-B04,WT-165:S021,daniel,jason,11,BLK:07 PLN:00 POS:00,MFV 05120,0.7,5/29/2013 1:40,5/29/2013 1:44,0:03:40,,,,,0.70,T64-B13,WT163:S066,Larry,Brent,1,BLK:07 PLN:00 POS:00,MFV 05120,0.10,6/4/2014 13:43,6/4/2014 13:44,0:01:50,"1/16""",,,0.00,0.10,,,,,,,,0.00,,,,,,,0.00,0.00,,1,MFV 05120,BLK:07 PLN:00 POS:00,246.60,
T64-B04,WT-166:S020,coran,daniel,12,BLK:07 PLN:00 POS:01,MFV 02425,245.5,5/14/13 12:31,5/14/13 14:23,1:51:56,,,,,245.50,T064-B04,WT-165:S021,daniel,jason,11,BLK:07 PLN:00 POS:01,MFV 02425,2.9,5/29/2013 0:46,5/29/2013 0:52,0:05:50,,,,,2.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,2,MFV 02425,BLK:07 PLN:00 POS:01,248.40,
T64-B04,WT-166:S020,wood,james,12,BLK:07 PLN:00 POS:02,MFV 05082,117.4,5/14/13 17:48,5/14/13 20:46,2:58:38,swap,T64-B04,WT-164:S018,130.2,247.60,T064-B04,WT-165:S021,daniel,jason,11,BLK:07 PLN:00 POS:02,MFV 05082,2.2,5/28/2013 22:12,5/28/2013 22:19,0:07:02,,,,,2.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,3,MFV 05082,BLK:07 PLN:00 POS:02,249.80,
T64-B04,WT-164:S018,wood,james,12,BLK:07 PLN:00 POS:03,MFV 05146,245,5/14/13 22:45,5/15/13 0:40,1:55:00,,,,,245.00,T064-B04,WT-165:S021,daniel,jason,11,BLK:07 PLN:00 POS:03,MFV 05146,0.9,5/28/2013 21:08,5/28/2013 21:10,0:02:06,,,,,0.90,T64-B13,WT163:S066,Larry,Brent,9,BLK:07 PLN:00 POS:03,MFV 05146,0.10,6/4/2014 10:13,6/4/2014 10:15,0:01:16,full,,,0.00,0.10,,,,,,,,0.00,,,,,,,0.00,0.00,,4,MFV 05146,BLK:07 PLN:00 POS:03,246.00,
T64-B04,WT-165:S019,daniel,jason,12,BLK:07 PLN:00 POS:04,MFV 02408,246.5,5/15/13 6:52,5/15/13 8:51,1:59:08,,,,,246.50,T064-B04,WT-164:S020,daniel,jason,11,BLK:07 PLN:00 POS:04,MFV 02408,2.4,5/28/2013 19:49,5/28/2013 19:54,0:05:08,,,,,2.40,T64-B13,WT163:S066,Larry,Brent,1,BLK:07 PLN:00 POS:04,MFV 02408,1.50,6/4/2014 10:25,6/4/2014 10:32,0:07:06,full,,,0.00,1.50,,,,,,,,0.00,,,,,,,0.00,0.00,,5,MFV 02408,BLK:07 PLN:00 POS:04,250.40,
T64-B04,WT-165:S019,daniel,jason,12,BLK:07 PLN:00 POS:05,MFV 05114,243.7,5/15/13 11:20,5/15/13 14:58,3:37:58,,,,,243.70,T064-B04,WT-164:S020,daniel,jason,11,BLK:07 PLN:00 POS:05,MFV 05114,1.1,5/28/2013 18:03,5/28/2013 18:07,0:03:36,,,,,1.10,T64-B13,WT163:S066,Larry,Brent,1,BLK:07 PLN:00 POS:05,MFV 05114,0.40,6/4/2014 8:39,6/4/2014 8:48,0:08:25,full,,,0.00,0.40,,,,,,,,0.00,,,,,,,0.00,0.00,,6,MFV 05114,BLK:07 PLN:00 POS:05,245.20,
