Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T059-B02,WT-164:S010,daniel,jason,10,BLK:04 PLN:02 POS:00,MFV 04562,243.80,3/26/2013 8:19,3/26/2013 10:02,1:42:18,,,,,243.80,T064-B03,WT-164:S013,jason,tommy,4,BLK:04 PLN:02 POS:00,MFV 04562,5.90,4/10/2013 22:56,4/10/2013 23:07,0:11:09,,,,,5.90,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,8,MFV 04562,BLK:04 PLN:02 POS:00,249.70,
T059-B02,WT-164:S010,daniel,jason,1,BLK:04 PLN:28 POS:00,MFV 01640,168.90,3/26/2013 10:09,3/26/2013 12:49,2:40:14,Tanker Swap,T059-B02,WT-163:S012,75.70,244.60,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:28 POS:00,MFV 01640,5.40,4/10/2013 23:39,4/10/2013 23:50,0:10:40,,,,,5.40,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,9,MFV 01640,BLK:04 PLN:28 POS:00,250.00,
T059-B02,WT-164:S010,daniel,jason,11,BLK:04 PLN:24 POS:00,MFV 01922,214.40,3/26/2013 10:01,3/26/2013 12:33,2:32:08,Tanker Swap,T059-B02,WT-163:S012,34.10,248.50,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:24 POS:00,MFV 01922,2.40,4/10/2013 23:23,4/10/2013 23:30,0:06:50,,,,,2.40,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,10,MFV 01922,BLK:04 PLN:24 POS:00,250.90,
T059-B02,WT-164:S010,daniel,jason,3,BLK:04 PLN:20 POS:00,MFV 01733,186.30,3/26/2013 10:05,3/26/2013 12:40,2:35:07,Tanker Swap,T059-B02,WT-163:S012,58.30,244.60,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:20 POS:00,MFV 01733,4.60,4/10/2013 23:07,4/10/2013 23:15,0:08:03,,,,,4.60,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,11,MFV 01733,BLK:04 PLN:20 POS:00,249.20,
T059-B02,WT-164:S010,daniel,jason,4,BLK:04 PLN:16 POS:00,MFV 02742,172.40,3/26/2013 10:08,3/26/2013 12:47,2:39:09,Tanker Swap,T059-B02,WT-163:S012,72.00,244.40,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:16 POS:00,MFV 02742,4.00,4/10/2013 22:48,4/10/2013 22:56,0:07:45,,,,,4.00,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,12,MFV 02742,BLK:04 PLN:16 POS:00,248.40,
T059-B02,WT-164:S010,daniel,jason,7,BLK:04 PLN:12 POS:00,MFV 01900,198.30,3/26/2013 10:02,3/26/2013 12:36,2:33:18,Tanker Swap,T059-B02,WT-163:S012,45.40,243.70,T064-B03,WT-164:S013,jason,tommy,4,BLK:04 PLN:12 POS:00,MFV 01900,4.90,4/10/2013 23:44,4/10/2013 23:53,0:08:57,,,,,4.90,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,13,MFV 01900,BLK:04 PLN:12 POS:00,248.60,
T059-B02,WT-164:S010,daniel,jason,8,BLK:04 PLN:08 POS:00,MFV 02721,196.30,3/26/2013 10:02,3/26/2013 12:37,2:35:09,Tanker Swap,T059-B02,WT-163:S012,47.70,244.00,T064-B03,WT-164:S013,jason,tommy,4,BLK:04 PLN:08 POS:00,MFV 02721,3.40,4/10/2013 23:23,4/10/2013 23:30,0:06:50,,,,,3.40,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,14,MFV 02721,BLK:04 PLN:08 POS:00,247.40,
T059-B02,WT-164:S010,daniel,jason,9,BLK:04 PLN:04 POS:00,MFV 02820,196.60,3/26/2013 10:02,3/26/2013 12:37,2:35:17,Tanker Swap,T059-B02,WT-163:S012,48.10,244.70,T064-B03,WT-164:S013,jason,tommy,4,BLK:04 PLN:04 POS:00,MFV 02820,2.40,4/10/2013 23:07,4/10/2013 23:14,0:06:10,,,,,2.40,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,15,MFV 02820,BLK:04 PLN:04 POS:00,247.10,
T059-B02,WT-164:S010,daniel,jason,10,BLK:04 PLN:00 POS:00,MFV 02074,193.80,3/26/2013 10:02,3/26/2013 12:39,2:36:47,Tanker Swap,T059-B02,WT-163:S012,50.80,244.60,T064-B03,WT-164:S013,jason,tommy,4,BLK:04 PLN:00 POS:00,MFV 02074,4.00,4/10/2013 22:48,4/10/2013 22:56,0:07:45,,,,,4.00,T64-B13,WT163:S066,Larry,Brent,9,BLK:04 PLN:00 POS:00,MFV 02074,0.1,5/29/2014 7:00,5/29/2014 7:02,0:02:03,full,,,0.00,0.10,,,,,,,,0.00,,,,,,,0.00,0.00,,16,MFV 02074,BLK:04 PLN:00 POS:00,248.70,
T059-B02,WT-163:S012,daniel,jason,1,BLK:04 PLN:30 POS:01,MFV 02730,247.60,3/26/2013 12:50,3/26/2013 14:42,1:52:42,,,,,247.60,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:30 POS:01,MFV 02730,4.30,4/10/2013 22:32,4/10/2013 22:48,0:15:07,,,,,4.30,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,17,MFV 02730,BLK:04 PLN:30 POS:01,251.90,
