Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,,
T59-B01,WT-116:S004,galvin,james,4,BLK:01 PLN:00 POS:07,MFV 01463,145.40,2/7/2013 10:42,2/7/2013 12:15,1:33:15,y,Swap fill mach #4 for fill mach #11,T59-B01,WT-116:S004,103.10,248.50,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:00 POS:07,MFV 01463,1.2,2/20/2013 14:37,2/20/2013 14:41,0:03:38,y,,,,0.00,1.20,T64-B13,WT-163:S066,wood,blackmer,9,BLK:01 PLN:00 POS:07,MFV 01463,1.2,5/6/2014 16:25,5/6/2014 16:32,0:07:16,,"5/8"" low",,,0.00,1.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,125,MFV 01463,BLK:01 PLN:00 POS:07,250.90,,
T59-B01,WT-166:S004,daniel,jason,11,BLK:01 PLN:00 POS:08,MFV 01460,248.80,2/7/2013 19:30,2/7/2013 21:00,1:29:43,y,,,,0.00,248.80,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:00 POS:08,MFV 01460,2,2/20/2013 13:45,2/20/2013 13:52,0:07:26,y,,,,0.00,2.00,T64-B13,WT-163:S066,wood,blackmer,9,BLK:01 PLN:00 POS:08,MFV 01460,1.8,5/6/2014 11:36,5/6/2014 11:56,0:19:28,,"3/4"" low",,,0.00,1.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,144,MFV 01460,BLK:01 PLN:00 POS:08,252.60,,
T59-B01,WT-166:S004,daniel,jason,11,BLK:01 PLN:00 POS:09,MFV 01467,248.90,2/8/2013 3:10,2/8/2013 8:30,5:20:32,y,,,,0.00,248.90,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:00 POS:09,MFV 01467,1.5,2/20/2013 11:05,2/20/2013 11:12,0:07:31,y,,,,0.00,1.50,T64-B13,WT-163:S066,wood,blackmer,4,BLK:01 PLN:00 POS:09,MFV 01467,2.2,5/6/2014 8:08,5/6/2014 8:18,0:10:22,,"1/2"" low",,,0.00,2.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,160,MFV 01467,BLK:01 PLN:00 POS:09,252.60,,
T59-B01,WT-169:S004,galvin,james,3,BLK:01 PLN:00 POS:10,MFV 04006,241.30,2/8/2013 15:10,2/11/2013 19:29,4:18:49,y,,,,0.00,241.30,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:00 POS:10,MFV 04006,0.8,2/20/2013 10:17,2/20/2013 10:23,0:06:06,y,,,,0.00,0.80,T64-B13,WT-163:S066,wood,blackmer,4,BLK:01 PLN:00 POS:10,MFV 04006,5.3,5/5/2014 10:53,5/5/2014 11:19,0:26:38,,"2 1/4"" low",,,0.00,5.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,173,MFV 04006,BLK:01 PLN:00 POS:10,247.40,,
T59-B01,WT-169:S004,daniel,jason,3,BLK:01 PLN:00 POS:11,MFV 04034,234.30,2/12/2013 1:57,2/12/2013 8:07,6:09:25,y,,,,0.00,234.30,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:00 POS:11,MFV 04034,5.7,2/20/2013 8:05,2/20/2013 8:16,0:10:56,y,,,,0.00,5.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,192,MFV 04034,BLK:01 PLN:00 POS:11,240.00,,
T64-B01,WT-166:S003,daniel,jason,11,BLK:01 PLN:02 POS:00,MFV 04076,244.90,1/31/13 16:17,1/31/13 18:22,2:05:30,,,,,0.00,244.90,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:02 POS:00,MFV 04076,3.2,2/21/2013 8:18,2/21/2013 8:26,0:07:29,y,,,,0.00,3.20,T64-B13,WT-163:SO66,Trina,BRENT,9,BLK:01 PLN:02 POS:00,MFV 04076,3.8,5/9/2014 16:14,5/9/2014 16:35,0:20:52,,"1""",,,0.00,3.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,12,MFV 04076,BLK:01 PLN:02 POS:00,251.90,,
T64-B01,WT-166:S003,james,galvin,11,BLK:01 PLN:02 POS:01,MFV 01452,246.50,1/31/13 23:26,2/1/13 7:01,7:35:44,,,,,0.00,246.50,T59-B01,WT-166:S006,daniel,jason,4,BLK:01 PLN:02 POS:01,MFV 01452,1.9,2/21/2013 1:49,2/21/2013 1:54,0:05:29,y,,,,0.00,1.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,25,MFV 01452,BLK:01 PLN:02 POS:01,248.40,,
T64-B01,WT-164:S003,daniel,jason,11,BLK:01 PLN:02 POS:02,MFV 03793,247.10,2/1/13 16:26,2/4/13 20:30,4:04:33,,,,,0.00,247.10,T59-B01,WT-166:S006,daniel,jason,4,BLK:01 PLN:02 POS:02,MFV 03793,0.9,2/20/2013 23:09,2/20/2013 23:14,0:04:53,y,,,,0.00,0.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,44,MFV 03793,BLK:01 PLN:02 POS:02,248.00,,
T64-B01,WT-164:S003,galvin, james,11,BLK:01 PLN:02 POS:03,MFV 00819,240.80,2/5/2013 9:17,2/5/2013 11:13,1:56:13,y,y at 12:32 we pushed stop fill by accident . Real stop time was 10:11.,,,0.00,240.80,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:02 POS:03,MFV 00819,1.1,2/20/2013 21:41,2/20/2013 21:47,0:05:28,y,,,,0.00,1.10,T64-B13,WT-163:SO66,LARRY,BRENT,9,BLK:01 PLN:02 POS:03,MFV 00819,0.6,5/8/2014 16:16,5/8/2014 16:26,0:09:04,,"1/4""",,,0.00,0.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,57,MFV 00819,BLK:01 PLN:02 POS:03,242.50,,
T64-B01,WT-165:S003,gary,jason,11,BLK:01 PLN:02 POS:04,MFV 01345,249.80,2/5/2013 19:32,2/5/2013 21:36,2:03:56,y,,,,0.00,249.80,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:02 POS:04,MFV 01345,2.3,2/20/2013 18:52,2/20/2013 19:00,0:07:32,y,,,,0.00,2.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,76,MFV 01345,BLK:01 PLN:02 POS:04,252.10,,
