Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,,
T64-B01,WT-164:S003,daniel,jason,11,BLK:01 PLN:04 POS:03,MFV 01342,246.00,2/5/2013 1:10,2/5/2013 1:10,0:00:00,,Guess at volume to complete module,,,0.00,246.00,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:04 POS:03,MFV 01342,2.2,2/20/2013 21:47,2/20/2013 21:52,0:04:54,y,,,,0.00,2.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,56,MFV 01342,BLK:01 PLN:04 POS:03,248.20,,
T64-B01,WT-165:S003,galvin,james,11,BLK:01 PLN:04 POS:04,MFV 01335,250.60,2/5/2013 16:04,2/5/2013 19:24,3:19:51,y,,,,0.00,250.60,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:04 POS:04,MFV 01335,1.2,2/20/2013 19:00,2/20/2013 19:07,0:07:25,y,,,,0.00,1.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,69,MFV 01335,BLK:01 PLN:04 POS:04,251.80,,
T64-B01,WT-165:S003,gary,jason,11,BLK:01 PLN:04 POS:05,MFV 01357,251.90,2/6/2013 1:43,2/6/2013 3:20,1:37:16,y,,,,0.00,251.90,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:04 POS:05,MFV 01357,1.7,2/20/2013 17:43,2/20/2013 17:47,0:04:33,y,,,,0.00,1.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,87,MFV 01357,BLK:01 PLN:04 POS:05,253.60,,
T59-B01,WT-163:S004,daniel,jason,11,BLK:01 PLN:04 POS:06,MFV 01406,250.70,2/6/2013 18:26,2/6/2013 20:16,1:50:07,y,,,,0.00,250.70,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:04 POS:06,MFV 01406,2.6,2/20/2013 16:19,2/20/2013 16:24,0:05:00,y,,,,0.00,2.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,104,MFV 01406,BLK:01 PLN:04 POS:06,253.30,,
T59-B01,WT-116:S004,daniel,jason,11,BLK:01 PLN:04 POS:07,MFV 01399,248.50,2/7/2013 2:43,2/7/2013 8:28,5:45:03,y,,,,0.00,248.50,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:04 POS:07,MFV 01399,1.8,2/20/2013 14:47,2/20/2013 14:50,0:03:58,y,,,,0.00,1.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,120,MFV 01399,BLK:01 PLN:04 POS:07,250.30,,
T59-B01,WT-116:S004,galvin,james,11,BLK:01 PLN:04 POS:08,MFV 01461,242.40,2/7/2013 15:08,2/7/2013 16:43,1:35:17,y,,,,0.00,242.40,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:04 POS:08,MFV 01461,10.4,2/20/2013 14:03,2/20/2013 14:15,0:12:00,y,,,,0.00,10.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,139,MFV 01461,BLK:01 PLN:04 POS:08,252.80,,
T59-B01,WT-166:S004,daniel,jason,11,BLK:01 PLN:04 POS:09,MFV 00220,249.40,2/7/2013 23:22,2/8/2013 1:27,2:04:39,y,,,,0.00,249.40,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:04 POS:09,MFV 00220,3.2,2/20/2013 11:20,2/20/2013 11:31,0:10:21,y,,,,0.00,3.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,152,MFV 00220,BLK:01 PLN:04 POS:09,252.60,,
T59-B01,WT-166:S004,galvin,james,11,BLK:01 PLN:04 POS:10,MFV 04088,161.50,2/8/2013 10:14,2/8/2013 12:20,2:05:25,y,Tanker swap (swap mach #11 for #3),T59-B01,WT-169:S004,83.90,245.40,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:04 POS:10,MFV 04088,1.8,2/20/2013 10:28,2/20/2013 10:35,0:06:30,y,,,,0.00,1.80,T64-B13,WT-163:S066,wood,blackmer,4,BLK:01 PLN:04 POS:10,MFV 04088,3.7,5/5/2014 11:23,5/5/2014 11:39,0:15:31,,"1 3/8"" low",,,0.00,3.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,165,MFV 04088,BLK:01 PLN:04 POS:10,250.90,,
T59-B01,WT-169:S004,daniel,jason,3,BLK:01 PLN:04 POS:11,MFV 04094,241.80,2/11/2013 21:27,2/11/2013 23:32,2:04:58,y,,,,0.00,241.80,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:04 POS:11,MFV 04094,2,2/20/2013 8:24,2/20/2013 8:30,0:06:25,y,,,,0.00,2.00,T64-B13,WT-163:S066,Trina,Perko,4,BLK:01 PLN:04 POS:11,MFV 04094,3.7,5/2/2014 10:22,5/2/2014 10:45,0:23:04,,"1 1/4"" below lower notch",,,0.00,3.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,184,MFV 04094,BLK:01 PLN:04 POS:11,247.50,,
T64-B01,WT-169:S003,daniel,jason,11,BLK:01 PLN:06 POS:00,MFV 02948,249.40,1/31/13 8:47,1/31/13 13:24,4:37:01,,,,,0.00,249.40,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:06 POS:00,MFV 02948,2.4,2/21/2013 8:30,2/21/2013 8:36,0:05:39,y,,,,0.00,2.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 02948,BLK:01 PLN:06 POS:00,251.80,,
T64-B01,WT-166:S003,james,galvin,11,BLK:01 PLN:06 POS:01,MFV 02966,249.50,1/31/13 20:21,1/31/13 21:59,1:38:38,,,,,0.00,249.50,T59-B01,WT-166:S006,daniel,jason,4,BLK:01 PLN:06 POS:01,MFV 02966,2.2,2/21/2013 2:05,2/21/2013 2:11,0:05:56,y,,,,0.00,2.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,17,MFV 02966,BLK:01 PLN:06 POS:01,251.70,,
T64-B01,WT-166:S003,daniel,jason,11,BLK:01 PLN:06 POS:02,MFV 01332,91.00,2/1/13 10:34,2/1/13 14:30,3:56:03,,,T64-B01,WT-164:S003,158.60,249.60,T59-B01,WT-166:S006,daniel,jason,4,BLK:01 PLN:06 POS:02,MFV 01332,2.5,2/20/2013 23:19,2/20/2013 23:26,0:07:07,y,,,,0.00,2.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,36,MFV 01332,BLK:01 PLN:06 POS:02,252.10,,
T64-B01,WT-164:S003,daniel,jason,11,BLK:01 PLN:06 POS:03,MFV 04477,246.00,2/4/2013 23:26,2/5/2013 1:10,1:43:54,,Guess at volume to complete module,,,0.00,246.00,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:06 POS:03,MFV 04477,0.8,2/20/2013 21:52,2/20/2013 21:56,0:03:52,y,,,,0.00,0.80,T64-B13,WT-163:SO66,Trina,BRENT,9,BLK:01 PLN:06 POS:03,MFV 04477,8.5,5/9/2014 8:51,5/9/2014 9:46,0:54:36,,"1 1/2""",,,0.00,8.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,51,MFV 04477,BLK:01 PLN:06 POS:03,255.30,,
T64-B01,WT-165:S003,galvin,james,11,BLK:01 PLN:06 POS:04,MFV 00560,251.50,2/5/2013 14:17,2/5/2013 16:04,1:46:48,y,,,,0.00,251.50,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:06 POS:04,MFV 00560,3.9,2/20/2013 19:07,2/20/2013 19:28,0:20:57,y,,,,0.00,3.90,T64-B13,WT-163:SO66,LARRY,BRENT,9,BLK:01 PLN:06 POS:04,MFV 00560,1.2,5/8/2014 12:42,5/8/2014 12:52,0:10:10,,"5/8""",,,0.00,1.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,65,MFV 00560,BLK:01 PLN:06 POS:04,256.60,,
T64-B01,WT-165:S003,gary,jason,11,BLK:01 PLN:06 POS:05,MFV 01589,251.40,2/5/2013 23:44,2/6/2013 1:42,1:58:19,y,,,,0.00,251.40,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:06 POS:05,MFV 01589,2.1,2/20/2013 17:47,2/20/2013 17:53,0:05:14,y,,,,0.00,2.10,T64-B13,WT-163:SO66,LARRY,BRENT,9,BLK:01 PLN:06 POS:05,MFV 01589,2.4,5/8/2014 8:24,5/8/2014 8:37,0:12:39,,"1 1/4""",,,0.00,2.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,84,MFV 01589,BLK:01 PLN:06 POS:05,255.90,,
T59-B01,WT-163:S004,galvin,james,11,BLK:01 PLN:06 POS:06,MFV 01474,250.90,2/6/2013 15:56,2/6/2013 18:24,2:27:13,y,,,,0.00,250.90,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:06 POS:06,MFV 01474,2,2/20/2013 16:24,2/20/2013 16:29,0:04:54,y,,,,0.00,2.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,97,MFV 01474,BLK:01 PLN:06 POS:06,252.90,,
T59-B01,WT-163:S004,daniel,jason,11,BLK:01 PLN:06 POS:07,MFV 02958,17.60,2/7/2013 0:30,2/7/2013 0:38,0:08:27,y,tanker swap,T59-B01,WT-116:S004,231.80,249.40,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:06 POS:07,MFV 02958,2.5,2/20/2013 14:51,2/20/2013 14:56,0:05:29,y,,,,0.00,2.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,116,MFV 02958,BLK:01 PLN:06 POS:07,251.90,,
T59-B01,WT-116:S004,galvin,james,11,BLK:01 PLN:06 POS:08,MFV 01318,252.20,2/7/2013 13:20,2/7/2013 15:08,1:47:48,y,,,,0.00,252.20,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:06 POS:08,MFV 01318,2.2,2/20/2013 14:15,2/20/2013 14:21,0:05:50,y,,,,0.00,2.20,T64-B13,WT-163:S066,wood,blackmer,9,BLK:01 PLN:06 POS:08,MFV 01318,1,5/6/2014 12:00,5/6/2014 12:17,0:17:33,,"1/4"" low",,,0.00,1.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,132,MFV 01318,BLK:01 PLN:06 POS:08,255.40,,
T59-B01,WT-166:S004,daniel,jason,11,BLK:01 PLN:06 POS:09,MFV 01516,249.10,2/7/2013 21:35,2/7/2013 23:22,1:47:18,y,,,,0.00,249.10,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:06 POS:09,MFV 01516,2.1,2/20/2013 11:31,2/20/2013 11:40,0:09:25,y,,,,0.00,2.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,148,MFV 01516,BLK:01 PLN:06 POS:09,251.20,,
T59-B01,WT-166:S004,galvin, james,11,BLK:01 PLN:06 POS:10,MFV 01519,248.10,2/8/2013 8:30,2/8/2013 10:14,1:43:15,y,,,,0.00,248.10,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:06 POS:10,MFV 01519,1.8,2/20/2013 10:35,2/20/2013 10:41,0:06:13,y,,,,0.00,1.80,T64-B13,WT-163:S066,wood,blackmer,4,BLK:01 PLN:06 POS:10,MFV 01519,1.8,5/5/2014 11:40,5/5/2014 11:49,0:08:53,,"3/8"" low",,,0.00,1.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,161,MFV 01519,BLK:01 PLN:06 POS:10,251.70,,
T59-B01,WT-169:S004,daniel,jason,3,BLK:01 PLN:06 POS:11,MFV 01323,246.20,2/11/2013 19:40,2/11/2013 21:27,1:46:38,y,,,,0.00,246.20,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:06 POS:11,MFV 01323,1.8,2/20/2013 8:34,2/20/2013 8:38,0:04:14,y,,,,0.00,1.80,T64-B13,WT-163:S066,Trina,Perko,4,BLK:01 PLN:06 POS:11,MFV 01323,2,5/2/2014 10:45,5/2/2014 10:58,0:12:46,,"1/4"" below lower notch",,,0.00,2.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,180,MFV 01323,BLK:01 PLN:06 POS:11,250.00,,
T64-B01,WT-166:S003,james,galvin,10,BLK:01 PLN:08 POS:00,MFV 00556,194.90,1/31/13 18:41,1/31/13 20:16,1:35:34,,,,,0.00,194.90,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:08 POS:00,MFV 00556,4,2/21/2013 8:36,2/21/2013 8:43,0:07:42,y,,,,0.00,4.00,T64-B13,WT-163:SO66,Trina,BRENT,,BLK:01 PLN:08 POS:00,MFV 00556,,,,,,verified full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,14,MFV 00556,BLK:01 PLN:08 POS:00,198.90,,
T64-B01,WT-166:S003,daniel,jason,10,BLK:01 PLN:08 POS:01, MFV 04478 ,245.20,2/1/13 7:10,2/1/13 8:44,1:34:36,,,,,0.00,245.20,T59-B01,WT-166:S006,daniel,jason,4,BLK:01 PLN:08 POS:01,MFV 04478,1.8,2/21/2013 2:11,2/21/2013 2:16,0:05:22,y,,,,0.00,1.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,31,MFV 04478,BLK:01 PLN:08 POS:01,247.00,,
T64-B01,WT-164:S003,daniel,jason,10,BLK:01 PLN:08 POS:02,MFV 03015,249.70,2/4/2013 21:29,2/4/2013 23:20,1:50:56,,,,,0.00,249.70,T59-B01,WT-166:S006,daniel,jason,4,BLK:01 PLN:08 POS:02,MFV 03015,0,,,,y,checked level module was good,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,47,MFV 03015,BLK:01 PLN:08 POS:02,249.70,,
T64-B01,WT-164:S003,galvin,james,10,BLK:01 PLN:08 POS:03,MFV 00557,35.20,2/5/2013 11:05,2/5/2013 11:29,0:24:30,y,SAYS FULL ON DIP STICK,T64-B01,WT-165:S003,211.60,246.80,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:08 POS:03,MFV 00557,0.5,2/20/2013 21:56,2/20/2013 21:58,0:02:00,y,,,,0.00,0.50,T64-B13,WT-163:SO66,Trina,BRENT,9,BLK:01 PLN:08 POS:03,MFV 00557,1.9,5/9/2014 8:41,5/9/2014 8:50,0:09:08,,"3/4""",,,0.00,1.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,62,MFV 00557,BLK:01 PLN:08 POS:03,249.20,,
T64-B01,WT-165:S003,gary,jason,10,BLK:01 PLN:08 POS:04,MFV 04481,245.10,2/5/2013 21:56,2/6/2013 0:23,2:26:42,y,,,,0.00,245.10,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:08 POS:04,MFV 04481,1.7,2/20/2013 19:28,2/20/2013 19:38,0:09:16,y,,,,0.00,1.70,T64-B13,WT-163:SO66,LARRY,BRENT,9,BLK:01 PLN:08 POS:04,MFV 04481,1.8,5/8/2014 11:34,5/8/2014 11:48,0:13:59,,"3/4""",,,0.00,1.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,79,MFV 04481,BLK:01 PLN:08 POS:04,248.60,,
T59-B01,WT-163:S004,galvin,james,10,BLK:01 PLN:08 POS:05,MFV 01472,122.50,2/6/2013 12:20,2/6/2013 14:47,2:27:17,Y,SAYS FULL ON DIP STICK,,,0.00,122.50,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:08 POS:05,MFV 01472,2.1,2/20/2013 17:53,2/20/2013 17:57,0:04:11,y,,,,0.00,2.10,T64-B13,WT-163:SO66,LARRY,BRENT,9,BLK:01 PLN:08 POS:05,MFV 01472,0.7,5/8/2014 8:16,5/8/2014 8:19,0:03:51,,"1"" verified full",,,0.00,0.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,94,MFV 01472,BLK:01 PLN:08 POS:05,125.30,,
T59-B01,WT-163:S004,daniel,jason,10,BLK:01 PLN:08 POS:06,MFV 00558,253.10,2/6/2013 21:59,2/6/2013 23:55,1:56:01,y,,,,0.00,253.10,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:08 POS:06,MFV 00558,2,2/20/2013 16:29,2/20/2013 16:34,0:04:31,y,,,,0.00,2.00,T64-B13,WT-163:SO66,Trina,Larry,9,BLK:01 PLN:08 POS:06,MFV 00558,0.7,5/7/2014 9:29,5/7/2014 9:35,0:06:10,,"low 1/2""",,,0.00,0.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,111,MFV 00558,BLK:01 PLN:08 POS:06,255.80,,
T59-B01,WT-116:S004,galvin,james,10,BLK:01 PLN:08 POS:07,MFV 04472,241.60,2/7/2013 9:14,2/7/2013 10:55,1:41:02,y,,,,0.00,241.60,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:08 POS:07,MFV 04472,1.9,2/20/2013 14:56,2/20/2013 15:00,0:04:04,y,,,,0.00,1.90,T64-B13,WT-163:SO66,Trina,Larry,9,BLK:01 PLN:08 POS:07,MFV 04472,4.7,5/7/2014 7:32,5/7/2014 7:48,0:16:49,,"low 1 1/2""",,,0.00,4.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,126,MFV 04472,BLK:01 PLN:08 POS:07,248.20,,
T59-B01,WT-116:S004,galvin,james,10,BLK:01 PLN:08 POS:08,MFV 04451,62.00,2/7/2013 16:01,2/7/2013 17:24,1:22:50,y,tanker swap ,T59-B01,WT-166:S004,180.60,242.60,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:08 POS:08,MFV 04451,1.7,2/20/2013 14:21,2/20/2013 14:27,0:06:05,y,,,,0.00,1.70,T64-B13,WT-163:S066,wood,blackmer,9,BLK:01 PLN:08 POS:08,MFV 04451,0,,,,,dipsticked full ,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,140,MFV 04451,BLK:01 PLN:08 POS:08,244.30,,
T59-B01,WT-166:S004,daniel,jason,10,BLK:01 PLN:08 POS:09,MFV 04423,239.50,2/8/2013 3:09,2/8/2013 8:21,5:11:25,y,,,,0.00,239.50,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:08 POS:09,MFV 04423,3.2,2/20/2013 11:41,2/20/2013 11:50,0:08:43,y,,,,0.00,3.20,T64-B13,WT-163:S066,wood,blackmer,4,BLK:01 PLN:08 POS:09,MFV 04423,5.9,5/6/2014 9:49,5/6/2014 10:07,0:18:33,,"1 3/4"" low",,,0.00,5.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,159,MFV 04423,BLK:01 PLN:08 POS:09,248.60,,
T59-B01,WT-169:S004,galvin,james,10,BLK:01 PLN:08 POS:10,MFV 04456,239.50,2/8/2013 14:50,2/11/2013 19:06,4:16:42,y,,,,0.00,239.50,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:08 POS:10,MFV 04456,0.3,2/20/2013 10:41,2/20/2013 10:43,0:01:22,y,,,,0.00,0.30,T64-B13,WT-163:S066,wood,blackmer,4,BLK:01 PLN:08 POS:10,MFV 04456,6.9,5/5/2014 11:50,5/5/2014 13:12,1:22:34,,"3 7/8"" low",,,0.00,6.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,174,MFV 04456,BLK:01 PLN:08 POS:10,246.70,,
T59-B01,WT-169:S004,daniel,jason,10,BLK:01 PLN:08 POS:11,MFV 04471,237.50,2/12/2013 1:39,2/12/2013 8:33,6:53:15,y,,,,0.00,237.50,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:08 POS:11,MFV 04471,2.1,2/20/2013 8:38,2/20/2013 8:48,0:10:05,y,,,,0.00,2.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,191,MFV 04471,BLK:01 PLN:08 POS:11,239.60,,
T64-B01,WT-166:S003,daniel,jason,10,BLK:01 PLN:10 POS:00,MFV 03571,240.60,1/31/13 16:40,1/31/13 18:41,2:01:12,,,,,0.00,240.60,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:10 POS:00,MFV 03571,3,2/21/2013 8:43,2/21/2013 8:49,0:05:37,y,,,,0.00,3.00,T64-B13,WT-163:SO66,Trina,BRENT,9,BLK:01 PLN:10 POS:00,MFV 03571,7.6,5/9/2014 15:55,5/9/2014 16:12,0:16:59,,"1 1/2""",,,0.00,7.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,11,MFV 03571,BLK:01 PLN:10 POS:00,251.20,,
T64-B01,WT-166:S003,james,galvin,10,BLK:01 PLN:10 POS:01,MFV 03579,226.00,1/31/13 23:23,2/1/13 7:01,7:38:45,,,,,0.00,226.00,T59-B01,WT-166:S006,daniel,jason,4,BLK:01 PLN:10 POS:01,MFV 03579,2.1,2/21/2013 2:16,2/21/2013 2:23,0:06:23,y,,,,0.00,2.10,T64-B13,WT-163:SO66,trina,BRENT,4,BLK:01 PLN:10 POS:01,MFV 03579,3.9,5/9/2014 14:05,5/9/2014 14:23,0:18:22,,"1 1/2""",,,0.00,3.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,26,MFV 03579,BLK:01 PLN:10 POS:01,232.00,,
T64-B01,WT-164:S003,daniel,jason,10,BLK:01 PLN:10 POS:02,MFV 01125,227.80,2/1/13 16:26,2/4/13 20:35,4:09:58,,,,,0.00,227.80,T59-B01,WT-166:S006,daniel,jason,4,BLK:01 PLN:10 POS:02,MFV 01125,,,,,y,checked level module was good,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,43,MFV 01125,BLK:01 PLN:10 POS:02,227.80,,
T64-B01,WT-164:S003,galvin,james,10,BLK:01 PLN:10 POS:03,MFV 03606,231.80,2/5/2013 9:13,2/5/2013 11:03,1:50:22,y,,,,0.00,231.80,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:10 POS:03,MFV 03606,1.5,2/20/2013 21:58,2/20/2013 22:02,0:04:00,y,,,,0.00,1.50,T64-B13,WT-163:SO66,Trina,BRENT,9,BLK:01 PLN:10 POS:03,MFV 03606,5.5,5/9/2014 8:18,5/9/2014 8:40,0:21:52,,"2""",,,0.00,5.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,58,MFV 03606,BLK:01 PLN:10 POS:03,238.80,,
T64-B01,WT-165:S003,gary,jason,10,BLK:01 PLN:10 POS:04,MFV 03642,241.60,2/5/2013 19:32,2/5/2013 21:56,2:23:41,y,,,,0.00,241.60,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:10 POS:04,MFV 03642,1.3,2/20/2013 19:38,2/20/2013 19:44,0:06:52,y,,,,0.00,1.30,T64-B13,WT-163:SO66,LARRY,BRENT,9,BLK:01 PLN:10 POS:04,MFV 03642,4.2,5/8/2014 11:09,5/8/2014 11:33,0:23:16,,"1 5/8""",,,0.00,4.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,75,MFV 03642,BLK:01 PLN:10 POS:04,247.10,,
T59-B01,WT-163:S004,galvin,james,10,BLK:01 PLN:10 POS:05,MFV 03572,243.80,2/6/2013 9:44,2/6/2013 11:57,2:13:36,y,,,,0.00,243.80,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:10 POS:05,MFV 03572,2.2,2/20/2013 17:57,2/20/2013 18:02,0:05:03,y,,,,0.00,2.20,T64-B13,WT-163:SO66,LARRY,BRENT,9,BLK:01 PLN:10 POS:05,MFV 03572,2.7,5/8/2014 8:02,5/8/2014 8:15,0:13:02,,1',,,0.00,2.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,92,MFV 03572,BLK:01 PLN:10 POS:05,248.70,,
T59-B01,WT-163:S004,daniel,jason,10,BLK:01 PLN:10 POS:06,MFV 03335,244.40,2/6/2013 20:13,2/6/2013 21:59,1:45:23,y,,,,0.00,244.40,T59-B01,WT-166:S006,galvin,james,2,BLK:01 PLN:10 POS:06,MFV 03335,0,2/20/2013 16:25,2/20/2013 16:25,,y,ok,,,0.00,0.00,T64-B13,WT-163:SO66,Trina,Larry,9,BLK:01 PLN:10 POS:06,MFV 03335,4.1,5/7/2014 9:36,5/7/2014 9:56,0:19:24,,"low 1/4""",,,0.00,4.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,107,MFV 03335,BLK:01 PLN:10 POS:06,248.50,,
T59-B01,WT-116:S004,galvin,james,10,BLK:01 PLN:10 POS:07,MFV 01180,246.70,2/7/2013 7:35,2/7/2013 9:13,1:38:05,y,,,,0.00,246.70,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:10 POS:07,MFV 01180,1.6,2/20/2013 15:00,2/20/2013 15:04,0:03:45,y,,,,0.00,1.60,T64-B13,WT-163:SO66,Trina,Larry,9,BLK:01 PLN:10 POS:07,MFV 01180,2,5/7/2014 7:49,5/7/2014 8:06,0:17:05,,"low 1/2""",,,0.00,2.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,122,MFV 01180,BLK:01 PLN:10 POS:07,250.30,,
