Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64-B08,WT-116:S040,wood,james,1,BLK:16 PLN:01 POS:00,MFV 07731,136.5,9/26/2013 8:12,9/26/2013 13:10,4:58:42,swap,T64-B08,WT-163:S040,110.4,246.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 07731,BLK:16 PLN:01 POS:00,246.90
T64-B08,WT-116:S040,wood,james,1,BLK:16 PLN:01 POS:01,MFV 07966,250.1,9/26/2013 13:10,9/26/2013 15:37,2:26:59,,,,,250.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 07966,BLK:16 PLN:01 POS:01,250.10
T64-B08,WT-116:S040,wood,james,3,BLK:16 PLN:01 POS:02,MFV 08021,142.6,9/26/2013 8:12,9/26/2013 13:05,4:52:58,swap,T64-B08,WT-163:S040,106.3,248.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 08021,BLK:16 PLN:01 POS:02,248.90
T64-B08,WT-116:S040,wood,james,3,BLK:16 PLN:01 POS:03,MFV 07816,249.6,9/26/2013 13:05,9/26/2013 15:27,2:21:59,,,,,249.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 07816,BLK:16 PLN:01 POS:03,249.60
T64-B08,WT-116:S040,wood,james,5,BLK:16 PLN:01 POS:04,MFV 07940,140.6,9/26/2013 8:13,9/26/2013 13:07,4:54:30,swap,T64-B08,WT-163:S040,111.3,251.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 07940,BLK:16 PLN:01 POS:04,251.90
T64-B08,WT-116:S040,wood,james,5,BLK:16 PLN:01 POS:05,MFV 07949,245,9/26/2013 13:07,9/26/2013 15:26,2:18:26,,,,,245.00,T64-B13,WT169:S064,Larry,Brent,1,BLK:16 PLN:01 POS:05,MFV 07949,4.2,7/11/2014 15:06,7/11/2014 15:24,0:17:04,"7"" ",,,0.00,4.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 07949,BLK:16 PLN:01 POS:05,249.20
