Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T59-B08,WT-165:S043,daniel,jason,11,BLK:18 PLN:01 POS:10,MFV 08733,251.5,10/23/2013 9:40,10/23/2013 11:59,2:18:42,,,,,251.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,11,MFV 08733,BLK:18 PLN:01 POS:10,251.50
T59-B08,WT-165:S043,daniel,jason,11,BLK:18 PLN:01 POS:11,MFV 08703,252.3,10/23/2013 11:59,10/23/2013 14:18,2:18:53,,,,,252.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,12,MFV 08703,BLK:18 PLN:01 POS:11,252.30
T59-B08,WT-165:S043,daniel,jason,2,BLK:18 PLN:03 POS:00,MFV 08771,249.6,10/23/2013 14:15,10/23/2013 16:36,2:20:30,,,,,249.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,13,MFV 08771,BLK:18 PLN:03 POS:00,249.60
T59-B08,WT-165:S043,daniel,jason,2,BLK:18 PLN:03 POS:01,MFV 08713,251,10/23/2013 16:36,10/23/2013 19:15,2:38:52,,,,,251.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,14,MFV 08713,BLK:18 PLN:03 POS:01,251.00
T59-B08,WT-165:S043,daniel,jason,4,BLK:18 PLN:03 POS:02,MFV 02084,250.4,10/23/2013 14:17,10/23/2013 16:38,2:20:22,,,,,250.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,15,MFV 02084,BLK:18 PLN:03 POS:02,250.40
T59-B08,WT-165:S043,daniel,jason,4,BLK:18 PLN:03 POS:03,MFV 01146,250.7,10/23/2013 16:38,10/23/2013 19:14,2:36:47,,,,,250.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,16,MFV 01146,BLK:18 PLN:03 POS:03,250.70
T59-B08,WT-165:S043,daniel,jason,5,BLK:18 PLN:03 POS:04,MFV 03590,249.7,10/23/2013 14:23,10/23/2013 16:45,2:22:07,,,,,249.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,17,MFV 03590,BLK:18 PLN:03 POS:04,249.70
T59-B08,WT-165:S043,daniel,jason,5,BLK:18 PLN:03 POS:05,MFV 03628,250.4,10/23/2013 16:45,10/23/2013 19:26,2:40:53,,,,,250.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,18,MFV 03628,BLK:18 PLN:03 POS:05,250.40
T59-B08,WT-165:S043,daniel,jason,8,BLK:18 PLN:03 POS:06,MFV 03324,250.4,10/23/2013 14:18,10/23/2013 16:36,2:18:38,,,,,250.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,19,MFV 03324,BLK:18 PLN:03 POS:06,250.40
T59-B08,WT-165:S043,daniel,jason,8,BLK:18 PLN:03 POS:07,MFV 03639,250.6,10/23/2013 16:36,10/23/2013 19:14,2:37:13,,,,,250.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,20,MFV 03639,BLK:18 PLN:03 POS:07,250.60
