Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T64-B09,WT-116:S044,Wood,James,5,BLK:18 PLN:07 POS:04,MFV 08728,248.3,10/24/2013 0:57,10/24/2013 3:12,2:15:23,,,,,248.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,41,MFV 08728,BLK:18 PLN:07 POS:04,248.30
T64-B09,WT-116:S044,Wood,James,5,BLK:18 PLN:07 POS:05,MFV 08731,250.3,10/24/2013 3:12,10/24/2013 9:00,5:47:25,,,,,250.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,42,MFV 08731,BLK:18 PLN:07 POS:05,250.30
T64-B09,WT-116:S044,Wood,James,8,BLK:18 PLN:07 POS:06,MFV 08734,249,10/24/2013 0:33,10/24/2013 2:52,2:18:17,,,,,249.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,43,MFV 08734,BLK:18 PLN:07 POS:06,249.00
T64-B09,WT-116:S044,Wood,James,8,BLK:18 PLN:07 POS:07,MFV 08730,251.4,10/24/2013 2:52,10/24/2013 8:58,6:06:15,,,,,251.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,44,MFV 08730,BLK:18 PLN:07 POS:07,251.40
T64-B09,WT-116:S044,Wood,James,10,BLK:18 PLN:07 POS:08,MFV 08537,249,10/24/2013 0:43,10/24/2013 3:03,2:19:39,,,,,249.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,45,MFV 08537,BLK:18 PLN:07 POS:08,249.00
T64-B09,WT-116:S044,Wood,James,10,BLK:18 PLN:07 POS:09,MFV 08553,249.5,10/24/2013 3:03,10/24/2013 9:00,5:57:23,,,,,249.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,46,MFV 08553,BLK:18 PLN:07 POS:09,249.50
T64-B09,WT-116:S044,Wood,James,11,BLK:18 PLN:07 POS:10,MFV 08723,250.1,10/24/2013 0:31,10/24/2013 2:49,2:17:16,,,,,250.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,47,MFV 08723,BLK:18 PLN:07 POS:10,250.10
T64-B09,WT-116:S044,Wood,James,11,BLK:18 PLN:07 POS:11,MFV 08695,251.5,10/24/2013 2:49,10/24/2013 8:53,6:04:32,,,,,251.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,48,MFV 08695,BLK:18 PLN:07 POS:11,251.50
T64-B09,WT-116:S044,daniel,jason,2,BLK:18 PLN:09 POS:00,MFV 08607,95.7,10/24/2013 8:58,10/24/2013 13:26,4:28:09,swap/out of oil for 2hours,T64-B09,WT-164:S043,153,248.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,49,MFV 08607,BLK:18 PLN:09 POS:00,248.70
T64-B09,WT-164:S043,daniel,jason,2,BLK:18 PLN:09 POS:01,MFV 08682,247,10/24/2013 13:27,10/24/2013 15:44,2:16:47,,,,,247.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,50,MFV 08682,BLK:18 PLN:09 POS:01,247.00
T64-B09,WT-116:S044,daniel,jason,4,BLK:18 PLN:09 POS:02,MFV 08664,93.9,10/24/2013 8:58,10/24/2013 13:27,4:28:59,swap/out of oil for 2hours,T64-B09,WT-164:S043,155.5,249.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,51,MFV 08664,BLK:18 PLN:09 POS:02,249.40
T64-B09,WT-164:S043,daniel,jason,4,BLK:18 PLN:09 POS:03,MFV 08689,250.9,10/24/2013 13:27,10/24/2013 15:47,2:20:33,,,,,250.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,52,MFV 08689,BLK:18 PLN:09 POS:03,250.90
T64-B09,WT-116:S044,daniel,jason,5,BLK:18 PLN:09 POS:04,MFV 08709,83.3,10/24/2013 9:01,10/24/2013 13:34,4:33:22,swap/out of oil for 2hours,T64-B09,WT-164:S043,166.3,249.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,53,MFV 08709,BLK:18 PLN:09 POS:04,249.60
T64-B09,WT-164:S043,daniel,jason,5,BLK:18 PLN:09 POS:05,MFV 08700,251.2,10/24/2013 13:35,10/24/2013 15:56,2:21:50,,,,,251.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,54,MFV 08700,BLK:18 PLN:09 POS:05,251.20
T64-B09,WT-116:S044,daniel,jason,8,BLK:18 PLN:09 POS:06,MFV 02163,88.6,10/24/2013 9:01,10/24/2013 13:30,4:28:50,swap/out of oil for 2hours,T64-B09,WT-164:S043,161.7,250.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,55,MFV 02163,BLK:18 PLN:09 POS:06,250.30
T64-B09,WT-164:S043,daniel,jason,8,BLK:18 PLN:09 POS:07,MFV 08686,249.6,10/24/2013 13:30,10/24/2013 15:48,2:17:30,,,,,249.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,56,MFV 08686,BLK:18 PLN:09 POS:07,249.60
T64-B09,WT-116:S044,daniel,jason,10,BLK:18 PLN:09 POS:08,MFV 08693,81.1,10/24/2013 9:02,10/24/2013 13:36,4:33:51,swap/out of oil for 2hours,T64-B09,WT-164:S043,168.9,250.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,57,MFV 08693,BLK:18 PLN:09 POS:08,250.00
T64-B09,WT-164:S043,daniel,jason,10,BLK:18 PLN:09 POS:09,MFV 02279,251.2,10/24/2013 13:36,10/24/2013 15:57,2:21:11,,,,,251.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,58,MFV 02279,BLK:18 PLN:09 POS:09,251.20
T64-B09,WT-116:S044,daniel,jason,11,BLK:18 PLN:09 POS:10,MFV 08675,99.5,10/24/2013 8:58,10/24/2013 13:23,4:25:05,swap/out of oil for 2hours,T64-B09,WT-164:S043,150.2,249.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,59,MFV 08675,BLK:18 PLN:09 POS:10,249.70
T64-B09,WT-164:S043,daniel,jason,11,BLK:18 PLN:09 POS:11,MFV 08630,249.7,10/24/2013 13:24,10/24/2013 15:40,2:15:56,,,,,249.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,60,MFV 08630,BLK:18 PLN:09 POS:11,249.70
T64-B09,WT-164:S043,daniel,jason,2,BLK:18 PLN:11 POS:00,MFV 08579,251.9,10/24/2013 15:44,10/24/2013 18:15,2:30:50,,,,,251.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,61,MFV 08579,BLK:18 PLN:11 POS:00,251.90
T64-B09,WT-164:S043,daniel,jason,2,BLK:18 PLN:11 POS:01,MFV 08634,246.90,10/28/2013 0:00,10/28/2013 0:00,0:00:00,RJT: Hard drive failure: assign 246.9 gal,,,,246.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,62,MFV 08634,BLK:18 PLN:11 POS:01,246.90
T64-B09,WT-164:S043,daniel,jason,4,BLK:18 PLN:11 POS:02,MFV 08625,249,10/24/2013 15:48,10/24/2013 18:20,2:32:51,,,,,249.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,63,MFV 08625,BLK:18 PLN:11 POS:02,249.00
T64-B09,WT-164:S043,daniel,jason,4,BLK:18 PLN:11 POS:03,MFV 08521,246.90,10/28/2013 0:00,10/28/2013 0:00,0:00:00,RJT: Hard drive failure: assign 246.9 gal,,,,246.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,64,MFV 08521,BLK:18 PLN:11 POS:03,246.90
T64-B09,WT-164:S043,daniel,jason,5,BLK:18 PLN:11 POS:04,MFV 01192,252.9,10/24/2013 15:56,10/24/2013 18:33,2:36:46,,,,,252.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,65,MFV 01192,BLK:18 PLN:11 POS:04,252.90
T64-B09,WT-164:S043,daniel,jason,5,BLK:18 PLN:11 POS:05,MFV 08541,246.90,10/28/2013 0:00,10/28/2013 0:00,0:00:00,RJT: Hard drive failure: assign 246.9 gal,,,,246.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,66,MFV 08541,BLK:18 PLN:11 POS:05,246.90
T64-B09,WT-164:S043,daniel,jason,8,BLK:18 PLN:11 POS:06,MFV 08637,247.3,10/24/2013 15:48,10/24/2013 18:19,2:31:27,,,,,247.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,67,MFV 08637,BLK:18 PLN:11 POS:06,247.30
T64-B09,WT-164:S043,daniel,jason,8,BLK:18 PLN:11 POS:07,MFV 08635,246.90,10/28/2013 0:00,10/28/2013 0:00,0:00:00,RJT: Hard drive failure: assign 246.9 gal,,,,246.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,68,MFV 08635,BLK:18 PLN:11 POS:07,246.90
T64-B09,WT-164:S043,daniel,jason,10,BLK:18 PLN:11 POS:08,MFV 08647,248.2,10/24/2013 15:57,10/24/2013 18:30,2:33:01,,,,,248.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,69,MFV 08647,BLK:18 PLN:11 POS:08,248.20
T64-B09,WT-164:S043,daniel,jason,10,BLK:18 PLN:11 POS:09,MFV 08629,246.90,10/28/2013 0:00,10/28/2013 0:00,0:00:00,RJT: Hard drive failure: assign 246.9 gal,,,,246.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,70,MFV 08629,BLK:18 PLN:11 POS:09,246.90
T64-B09,WT-164:S043,daniel,jason,11,BLK:18 PLN:11 POS:10,MFV 08554,251.7,10/24/2013 15:40,10/24/2013 18:10,2:29:55,,,,,251.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,71,MFV 08554,BLK:18 PLN:11 POS:10,251.70
T64-B09,WT-164:S043,daniel,jason,11,BLK:18 PLN:11 POS:11,MFV 08644,246.90,10/28/2013 0:00,10/28/2013 0:00,0:00:00,RJT: Hard drive failure: assign 246.9 gal,,,,246.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,72,MFV 08644,BLK:18 PLN:11 POS:11,246.90
T64-B09,WT-163:S045,james,wood,2,BLK:18 PLN:13 POS:00,MFV 08670,246.90,10/28/2013 0:00,10/28/2013 0:00,0:00:00,RJT: Hard drive failure: assign 246.9 gal,,,,246.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,73,MFV 08670,BLK:18 PLN:13 POS:00,246.90
T64-B09,WT-163:S045,james,wood,2,BLK:18 PLN:13 POS:01,MFV 02211,252.5,10/28/2013 9:53,10/28/2013 9:53,0:00:01,,,,,252.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,74,MFV 02211,BLK:18 PLN:13 POS:01,252.50
T64-B09,WT-163:S045,james,wood,4,BLK:18 PLN:13 POS:02,MFV 08593,246.90,10/28/2013 0:00,10/28/2013 0:00,0:00:00,RJT: Hard drive failure: assign 246.9 gal,,,,246.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,75,MFV 08593,BLK:18 PLN:13 POS:02,246.90
T64-B09,WT-163:S045,james,wood,4,BLK:18 PLN:13 POS:03,MFV 08596,249.3,10/28/2013 9:53,10/28/2013 9:53,0:00:01,,,,,249.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,76,MFV 08596,BLK:18 PLN:13 POS:03,249.30
T64-B09,WT-163:S045,james,wood,5,BLK:18 PLN:13 POS:04,MFV 08578,246.90,10/28/2013 0:00,10/28/2013 0:00,0:00:00,RJT: Hard drive failure: assign 246.9 gal,,,,246.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,77,MFV 08578,BLK:18 PLN:13 POS:04,246.90
T64-B09,WT-163:S045,james,wood,5,BLK:18 PLN:13 POS:05,MFV 08509,248.6,10/28/2013 9:53,10/28/2013 9:53,0:00:01,,,,,248.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,78,MFV 08509,BLK:18 PLN:13 POS:05,248.60
T64-B09,WT-163:S045,james,wood,8,BLK:18 PLN:13 POS:06,MFV 08501,246.90,10/28/2013 0:00,10/28/2013 0:00,0:00:00,RJT: Hard drive failure: assign 246.9 gal,,,,246.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,79,MFV 08501,BLK:18 PLN:13 POS:06,246.90
T64-B09,WT-163:S045,james,wood,8,BLK:18 PLN:13 POS:07,MFV 08617,249.3,10/28/2013 9:53,10/28/2013 9:53,0:00:01,,,,,249.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,80,MFV 08617,BLK:18 PLN:13 POS:07,249.30
T64-B09,WT-163:S045,james,wood,10,BLK:18 PLN:13 POS:08,MFV 08574,246.90,10/28/2013 0:00,10/28/2013 0:00,0:00:00,RJT: Hard drive failure: assign 246.9 gal,,,,246.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,81,MFV 08574,BLK:18 PLN:13 POS:08,246.90
T64-B09,WT-163:S045,james,wood,10,BLK:18 PLN:13 POS:09,MFV 08530,248.7,10/28/2013 9:53,10/28/2013 9:53,0:00:01,,,,,248.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,82,MFV 08530,BLK:18 PLN:13 POS:09,248.70
T64-B09,WT-163:S045,james,wood,11,BLK:18 PLN:13 POS:10,MFV 08649,246.90,10/28/2013 0:00,10/28/2013 0:00,0:00:00,RJT: Hard drive failure: assign 246.9 gal,,,,246.90,T64-B13,WT169:S064,Cole,John,1,BLK:18 PLN:13 POS:10,MFV 08649,2.1,7/14/2014 10:37,7/14/2014 10:46,0:09:47,"1-1/2""",,,0.00,2.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,83,MFV 08649,BLK:18 PLN:13 POS:10,249.00
T64-B09,WT-163:S045,james,wood,11,BLK:18 PLN:13 POS:11,MFV 08667,250.5,10/28/2013 9:53,10/28/2013 9:53,0:00:01,,,,,250.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,84,MFV 08667,BLK:18 PLN:13 POS:11,250.50
T64-B09,WT-163:S045,daniel,jason,2,BLK:18 PLN:15 POS:00,MFV 08534,252.1,10/28/2013 7:09,10/28/2013 9:27,2:18:18,,,,,252.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,85,MFV 08534,BLK:18 PLN:15 POS:00,252.10
T64-B09,WT-163:S045,daniel,jason,2,BLK:18 PLN:15 POS:01,MFV 08669,249.8,10/28/2013 9:31,10/28/2013 11:50,2:19:44,,,,,249.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,86,MFV 08669,BLK:18 PLN:15 POS:01,249.80
T64-B09,WT-163:S045,daniel,jason,4,BLK:18 PLN:15 POS:02,MFV 08673,249.4,10/28/2013 7:09,10/28/2013 9:28,2:18:59,,,,,249.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,87,MFV 08673,BLK:18 PLN:15 POS:02,249.40
T64-B09,WT-163:S045,daniel,jason,4,BLK:18 PLN:15 POS:03,MFV 08653,248.4,10/28/2013 9:31,10/28/2013 11:54,2:23:37,,,,,248.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,88,MFV 08653,BLK:18 PLN:15 POS:03,248.40
T64-B09,WT-163:S045,daniel,jason,5,BLK:18 PLN:15 POS:04,MFV 08676,250.7,10/28/2013 7:09,10/28/2013 9:39,2:29:45,,,,,250.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,89,MFV 08676,BLK:18 PLN:15 POS:04,250.70
T64-B09,WT-163:S045,daniel,jason,5,BLK:18 PLN:15 POS:05,MFV 08679,250.4,10/28/2013 9:39,10/28/2013 12:02,2:23:00,,,,,250.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,90,MFV 08679,BLK:18 PLN:15 POS:05,250.40
T64-B09,WT-163:S045,daniel,jason,8,BLK:18 PLN:15 POS:06,MFV 08674,248.1,10/28/2013 7:09,10/28/2013 9:28,2:18:25,,,,,248.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,91,MFV 08674,BLK:18 PLN:15 POS:06,248.10
T64-B09,WT-163:S045,daniel,jason,8,BLK:18 PLN:15 POS:07,MFV 08683,248.8,10/28/2013 9:31,10/28/2013 11:50,2:18:55,,,,,248.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,92,MFV 08683,BLK:18 PLN:15 POS:07,248.80
T64-B09,WT-163:S045,daniel,jason,10,BLK:18 PLN:15 POS:08,MFV 08677,248.1,10/28/2013 7:09,10/28/2013 9:30,2:21:01,,,,,248.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,93,MFV 08677,BLK:18 PLN:15 POS:08,248.10
T64-B09,WT-163:S045,daniel,jason,10,BLK:18 PLN:15 POS:09,MFV 08665,250.2,10/28/2013 9:31,10/28/2013 11:56,2:25:03,,,,,250.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,94,MFV 08665,BLK:18 PLN:15 POS:09,250.20
T64-B09,WT-163:S045,daniel,jason,11,BLK:18 PLN:15 POS:10,MFV 08656,250.3,10/28/2013 7:09,10/28/2013 9:29,2:19:26,,,,,250.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,95,MFV 08656,BLK:18 PLN:15 POS:10,250.30
T64-B09,WT-163:S045,daniel,jason,11,BLK:18 PLN:15 POS:11,MFV 08570,249.7,10/28/2013 9:31,10/28/2013 11:53,2:22:24,,,,,249.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,96,MFV 08570,BLK:18 PLN:15 POS:11,249.70
T64-B09,WT-163:S045,daniel,jason,2,BLK:18 PLN:17 POS:00,MFV 08601,249.1,10/28/2013 11:51,10/28/2013 14:11,2:19:46,,,,,249.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,97,MFV 08601,BLK:18 PLN:17 POS:00,249.10
T64-B09,WT-163:S045,daniel,jason,2,BLK:18 PLN:17 POS:01,MFV 08580,35.9,10/28/2013 14:11,10/28/2013 18:46,4:35:06,swap,T64-B09,WT-166:S047,213.7,249.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,98,MFV 08580,BLK:18 PLN:17 POS:01,249.60
T64-B09,WT-163:S045,daniel,jason,4,BLK:18 PLN:17 POS:02,MFV 08608,248.9,10/28/2013 11:54,10/28/2013 14:15,2:21:01,,,,,248.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,99,MFV 08608,BLK:18 PLN:17 POS:02,248.90
T64-B09,WT-163:S045,daniel,jason,4,BLK:18 PLN:17 POS:03,MFV 08605,30,10/28/2013 14:15,10/28/2013 18:48,4:32:40,swap,T64-B09,WT-166:S047,219.4,249.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,100,MFV 08605,BLK:18 PLN:17 POS:03,249.40
T64-B09,WT-163:S045,daniel,jason,5,BLK:18 PLN:17 POS:04,MFV 08587,252,10/28/2013 12:02,10/28/2013 14:28,2:25:26,,,,,252.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,101,MFV 08587,BLK:18 PLN:17 POS:04,252.00
T64-B09,WT-163:S045,daniel,jason,5,BLK:18 PLN:17 POS:05,MFV 08591,7.7,10/28/2013 14:28,10/28/2013 19:03,4:35:16,swap,T64-B09,WT-166:S047,242.1,249.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,102,MFV 08591,BLK:18 PLN:17 POS:05,249.80
T64-B09,WT-163:S045,daniel,jason,8,BLK:18 PLN:17 POS:06,MFV 08594,249.5,10/28/2013 11:51,10/28/2013 14:10,2:18:48,,,,,249.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,103,MFV 08594,BLK:18 PLN:17 POS:06,249.50
T64-B09,WT-163:S045,daniel,jason,8,BLK:18 PLN:17 POS:07,MFV 08564,39.9,10/28/2013 14:10,10/28/2013 18:42,4:32:05,swap,T64-B09,WT-166:S047,210,249.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,104,MFV 08564,BLK:18 PLN:17 POS:07,249.90
