Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T64-B10,WT-165:S049,daniel,jason,9,BLK:21 PLN:00 POS:06,MFV 04232,239.6,12/4/2013 18:44,12/4/2013 20:42,1:58:05,,,,,239.60,T59-B10,WT-116:S052,wood,blackmer,10,BLK:21 PLN:00 POS:06,MFV 04232,0.5,12/16/2013 23:22,12/16/2013 23:29,0:06:25,,,,,0.50,T64-B13,WT169:S064,Larry,Brent,5,BLK:21 PLN:00 POS:06,MFV 04232,2.9,7/16/2014 12:13,7/16/2014 12:24,0:10:52,1'',,,0.00,2.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,7,MFV 04232,BLK:21 PLN:00 POS:06,243.00,
T64-B10,WT-169:S048,daniel,jason,9,BLK:21 PLN:00 POS:07,MFV 04292,241,12/4/2013 23:10,12/5/2013 1:02,1:51:59,,,,,241.00,T59-B10,WT-116:S052,wood,blackmer,10,BLK:21 PLN:00 POS:07,MFV 04292,3.2,12/16/2013 21:34,12/16/2013 21:41,0:06:53,,,,,3.20,T64-B13,WT169:S064,Larry,Brent,5,BLK:21 PLN:00 POS:07,MFV 04292,2.7,7/16/2014 9:42,7/16/2014 9:53,0:10:31,"7/16""",,,0.00,2.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,8,MFV 04292,BLK:21 PLN:00 POS:07,246.90,
T64-B10,WT-169:S048,galvin,wood,9,BLK:21 PLN:00 POS:08,MFV 09691,111.6,12/5/2013 6:49,12/5/2013 15:54,9:05:08,swap,T64-B10,WT-168:S024,122.6,234.20,T59-B10,WT-116:S052,wood,blackmer,10,BLK:21 PLN:00 POS:08,MFV 09691,0.9,12/16/2013 20:24,12/16/2013 20:29,0:05:23,,,,,0.90,T64-B13,WT169:S064,Larry,Brent,5,BLK:21 PLN:00 POS:08,MFV 09691,2.4,7/16/2014 7:21,7/16/2014 7:30,0:09:12,"7/8""",,,0.00,2.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,9,MFV 09691,BLK:21 PLN:00 POS:08,237.50,
T64-B10,WT-168:S024,daniel,jim,9,BLK:21 PLN:00 POS:09,MFV 05812,245.4,12/5/2013 20:02,12/5/2013 23:09,3:06:24,,,,,245.40,T59-B10,WT-116:S052,gary,jim,10,BLK:21 PLN:00 POS:09,MFV 05812,2.4,12/16/2013 16:21,12/16/2013 16:31,0:09:14,,,,,2.40,T64-B13,WT169:S064,Brent,Larry,5,BLK:21 PLN:00 POS:09,MFV 05812,1.1,7/15/2014 13:52,7/15/2014 13:57,0:04:26,"1/8""",,,0.00,1.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,10,MFV 05812,BLK:21 PLN:00 POS:09,248.90,
T64-B10,WT-163:SO51,daniel,jim,9,BLK:21 PLN:00 POS:10,MFV 09421,245.6,12/6/2013 1:43,12/9/2013 7:47,78:03:55,,,,,245.60,T59-B10,WT-116:S052,gary,jim,8,BLK:21 PLN:00 POS:10,MFV 09421,3.2,12/16/2013 14:34,12/16/2013 14:42,0:08:46,,,,,3.20,T64-B13,WT169:S064,Brent,Larry,1,BLK:21 PLN:00 POS:10,MFV 09421,2.1,7/15/2014 10:36,7/15/2014 10:46,0:10:31,"1""",,,0.00,2.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,11,MFV 09421,BLK:21 PLN:00 POS:10,250.90,
T64-B10,WT-163:SO51,galvin,Jim,9,BLK:21 PLN:00 POS:11,MFV 09436,243.9,12/9/2013 10:00,12/9/2013 12:09,2:09:21,,,,,243.90,T59-B10,WT-116:S052,galvin,jim,10,BLK:21 PLN:00 POS:11,MFV 09436,2.2,12/16/2013 13:11,12/16/2013 13:24,0:13:00,,,,,2.20,T64-B13,WT169:S064,Brent,Larry,1,BLK:21 PLN:00 POS:11,MFV 09436,0.9,7/15/2014 8:21,7/15/2014 8:28,0:06:32,"1/4""",,,0.00,0.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,12,MFV 09436,BLK:21 PLN:00 POS:11,247.00,
T64-B10,WT-163:S050,jason,daniel,9,BLK:21 PLN:02 POS:00,MFV 09735,212.3,12/2/2013 23:46,12/3/2013 1:47,2:00:34,swap,T64-B10,WT-164:S048,32.3,244.60,T59-B10,WT-116:S052,gary,jim,10,BLK:21 PLN:02 POS:00,MFV 09735,3.8,12/17/2013 13:00,12/17/2013 13:10,0:09:40,,,,,3.80,T64-B13,WT169:S064,Larry,Brent,1,BLK:21 PLN:02 POS:00,MFV 09735,0.7,7/17/2014 15:55,7/17/2014 16:04,0:09:31,"1/2""",,,0.00,0.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,13,MFV 09735,BLK:21 PLN:02 POS:00,249.10,
T64-B10,WT-164:S048,galvin,blackmer,9,BLK:21 PLN:02 POS:01,MFV 00037,252,12/3/2013 9:40,12/3/2013 12:25,2:44:20,1hr. Delay due to hot oil,,,,252.00,T59-B10,WT-116:S052,gary,jim,10,BLK:21 PLN:02 POS:01,MFV 00037,1.5,12/17/2013 11:08,12/17/2013 11:12,0:04:25,,,,,1.50,T64-B13,WT169:S064,Larry,Brent,1,BLK:21 PLN:02 POS:01,MFV 00037,0.6,7/17/2014 13:42,7/17/2014 13:48,0:05:59,"7/16""",,,0.00,0.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,14,MFV 00037,BLK:21 PLN:02 POS:01,254.10,
T64-B10,WT-164:S048,galvin,blackmer,9,BLK:21 PLN:02 POS:02,MFV 00061,43.9,12/3/2013 15:24,12/3/2013 17:43,2:19:01,swap,T64-B10,WT-166:S052,201.3,245.20,T59-B10,WT-116:S052,gary,jim,10,BLK:21 PLN:02 POS:02,MFV 00061,4.8,12/17/2013 8:46,12/17/2013 8:58,0:12:08,,,,,4.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,15,MFV 00061,BLK:21 PLN:02 POS:02,250.00,
T64-B10,WT-166:S052,daniel,jason,9,BLK:21 PLN:02 POS:03,MFV 09758,244.3,12/3/2013 19:39,12/3/2013 21:26,1:46:57,,,,,244.30,T59-B10,WT-116:S052,gary,jim,10,BLK:21 PLN:02 POS:03,MFV 09758,4.7,12/17/2013 6:59,12/17/2013 7:12,0:12:11,,,,,4.70,T64-B13,WT169:S064,Larry,Brent,,BLK:21 PLN:02 POS:03,MFV 09758,,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,16,MFV 09758,BLK:21 PLN:02 POS:03,249.00,
