Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T59-B08,WT-168:S017,daniel,jason,11,BLK:18 PLN:00 POS:00,MFV 08819,250.4,10/17/2013 13:39,10/17/2013 15:28,1:48:35,,,,,250.40,T64-B09,WT-168:S019,daniel,jason,7,BLK:18 PLN:00 POS:00,MFV 08819,3.3,10/31/2013 10:36,10/31/2013 10:43,0:07:13,,,,,3.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 08819,BLK:18 PLN:00 POS:00,253.70,
T59-B08,WT-168:S017,,,11,BLK:18 PLN:00 POS:01,MFV 08855,177.4,10/17/2013 17:33,10/17/2013 19:46,2:13:06,,T59-B08,WT-116:S043,71,248.40,T64-B09,WT-168:S019,daniel,jason,7,BLK:18 PLN:00 POS:01,MFV 08855,2,10/31/2013 9:56,10/31/2013 9:57,0:00:45,,,,,2.00,T64-B13,WT169:S064,Larry,Brent,5,BLK:18 PLN:00 POS:01,MFV 08855,0.9,7/10/2014 13:18,7/10/2014 13:25,0:07:26,"1/2""",,,0.00,0.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 08855,BLK:18 PLN:00 POS:01,251.30,
T59-B08,WT-116:S043,,,11,BLK:18 PLN:00 POS:02,MFV 08859,249.4,10/18/2013 0:00,10/18/2013 1:54,1:53:45,,,,,249.40,T64-B09,WT-168:S019,daniel,jason,7,BLK:18 PLN:00 POS:02,MFV 08859,0.8,10/31/2013 8:48,10/31/2013 8:53,0:04:51,,,,,0.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 08859,BLK:18 PLN:00 POS:02,250.20,
T59-B08,WT-164:S042,daniel,jason,11,BLK:18 PLN:00 POS:03,MFV 08848,245.8,10/21/2013 6:50,10/21/2013 8:42,1:51:51,,,,,245.80,T64-B09,WT-168:S019,daniel,jason,6,BLK:18 PLN:00 POS:03,MFV 08848,3,10/31/2013 7:29,10/31/2013 7:32,0:03:32,,,,,3.00,T64-B13,WT169:S064,Larry,Brent,5,BLK:18 PLN:00 POS:03,MFV 08848,1.5,7/10/2014 9:51,7/10/2014 9:57,0:05:58,"1/2""",,,0.00,1.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 08848,BLK:18 PLN:00 POS:03,250.30,
T59-B08,WT-164:S042,daniel,jason,11,BLK:18 PLN:00 POS:04,MFV 08817,246.4,10/21/2013 10:43,10/21/2013 12:36,1:53:08,,,,,246.40,T64-B09,WT-168:S019,daniel,jason,7,BLK:18 PLN:00 POS:04,MFV 08817,3.1,10/31/2013 7:13,10/31/2013 7:15,0:02:12,,,,,3.10,T64-B13,WT169:S064,Larry,Cole,5,BLK:18 PLN:00 POS:04,MFV 08817,2.8,7/9/2014 16:08,7/9/2014 16:23,0:15:19,"1 1/8""",,,0.00,2.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 08817,BLK:18 PLN:00 POS:04,252.30,
T59-B08,WT-163:S044,daniel,jason,11,BLK:18 PLN:00 POS:05,MFV 08820,245.2,10/21/2013 16:27,10/21/2013 18:46,2:19:16,,,,,245.20,T64-B09,WT-168:S019,galvin,blackmer,7,BLK:18 PLN:00 POS:05,MFV 08820,4.5,10/31/2013 1:37,10/31/2013 1:41,0:03:46,,,,,4.50,T64-B13,WT169:S064,Larry,Cole,5,BLK:18 PLN:00 POS:05,MFV 08820,1.4,7/9/2014 12:14,7/9/2014 12:22,0:08:18,"1/4""",,,0.00,1.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 08820,BLK:18 PLN:00 POS:05,251.10,
