Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T64-B09,WT-116:S046,daniel,jason,8,BLK:19 PLN:13 POS:11,MFV 09059,250.6,11/7/2013 13:40,11/7/2013 15:52,2:12:59,,,,,250.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,84,MFV 09059,BLK:19 PLN:13 POS:11,250.60
T64-B09,WT-116:S046,daniel,jason,2,BLK:19 PLN:15 POS:00,MFV 02365,171.6,11/7/2013 15:50,11/7/2013 20:01,4:11:17,swap,T59-B09,WT-166:S049,79.9,251.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,85,MFV 02365,BLK:19 PLN:15 POS:00,251.50
T59-B09,WT-166:S049,wood,james,2,BLK:19 PLN:15 POS:01,MFV 08868,251.2,11/7/2013 20:02,11/7/2013 22:16,2:14:33,,,,,251.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,86,MFV 08868,BLK:19 PLN:15 POS:01,251.20
T64-B09,WT-116:S046,daniel,jason,5,BLK:19 PLN:15 POS:02,MFV 02376,169.2,11/7/2013 15:50,11/7/2013 20:02,4:12:30,swap,T59-B09,WT-166:S049,81.9,251.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,87,MFV 02376,BLK:19 PLN:15 POS:02,251.10
T59-B09,WT-166:S049,wood,james,5,BLK:19 PLN:15 POS:03,MFV 02362,252.9,11/7/2013 20:02,11/7/2013 22:18,2:15:23,,,,,252.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,88,MFV 02362,BLK:19 PLN:15 POS:03,252.90
T64-B09,WT-116:S046,daniel,jason,6,BLK:19 PLN:15 POS:04,MFV 02382,161.5,11/7/2013 15:53,11/7/2013 20:08,4:15:27,swap,T59-B09,WT-166:S049,92.5,254.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,89,MFV 02382,BLK:19 PLN:15 POS:04,254.00
T59-B09,WT-166:S049,wood,james,6,BLK:19 PLN:15 POS:05,MFV 01066,253.3,11/7/2013 20:09,11/7/2013 22:27,2:18:19,,,,,253.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,90,MFV 01066,BLK:19 PLN:15 POS:05,253.30
T64-B09,WT-116:S046,daniel,jason,7,BLK:19 PLN:15 POS:06,MFV 09053,166.5,11/7/2013 15:51,11/7/2013 20:04,4:13:02,swap,T59-B09,WT-166:S049,85.1,251.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,91,MFV 09053,BLK:19 PLN:15 POS:06,251.60
T59-B09,WT-166:S049,wood,james,7,BLK:19 PLN:15 POS:07,MFV 09061,250.5,11/7/2013 20:04,11/7/2013 22:20,2:16:12,,,,,250.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,92,MFV 09061,BLK:19 PLN:15 POS:07,250.50
T64-B09,WT-116:S046,daniel,jason,10,BLK:19 PLN:15 POS:08,MFV 08871,116.4,11/7/2013 17:56,11/7/2013 20:33,2:36:48,swap,T59-B09,WT-166:S049,133.5,249.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,93,MFV 08871,BLK:19 PLN:15 POS:08,249.90
