Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T59-B06,WT-163:S033,daniel,jason,5,BLK:13 PLN:00 POS:00,MFV 06835,243.4,8/12/2013 18:01,8/12/2013 19:49,1:48:31,,,,,243.40,T64-B07,WT-168:S008,wood,james,8,BLK:13 PLN:00 POS:00,MFV 06835,2.6,8/26/2013 19:36,8/26/2013 19:42,0:06:06,,,,,2.60,T64-B13,WT163:S066,Larry,Brent,5,BLK:13 PLN:00 POS:00,MFV 06835,2,6/24/2014 8:39,6/24/2014 9:16,0:37:36,"1/8""",,,0.00,2.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 06835,BLK:13 PLN:00 POS:00,248.00,
T59-B06,WT-163:S033,daniel,jason,5,BLK:13 PLN:00 POS:01,MFV 06837,74.1,8/12/2013 21:34,8/12/2013 23:38,2:03:45,swap,T59-B06,WT-116:S033,171.2,245.30,T64-B07,WT-168:S008,wood,james,8,BLK:13 PLN:00 POS:01,MFV 06837,1.4,8/26/2013 17:33,8/26/2013 17:37,0:04:25,,,,,1.40,T64-B13,WT163:S066,Jay,John,5,BLK:13 PLN:00 POS:01,MFV 06837,2.2,6/23/2014 13:18,6/23/2014 13:26,0:07:26,"1""",,,0.00,2.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 06837,BLK:13 PLN:00 POS:01,248.90,
T59-B06,WT-116:S033,daniel,jason,12,BLK:13 PLN:00 POS:02,MFV 01322,247.7,8/13/2013 2:04,8/13/2013 8:15,6:10:56,,,,,247.70,T64-B07,WT-168:S008,jason,tommy,12,BLK:13 PLN:00 POS:02,MFV 01322,3.5,8/26/2013 15:37,8/26/2013 15:44,0:07:04,,,,,3.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 01322,BLK:13 PLN:00 POS:02,251.20,
T59-B06,WT-166:S034,wood,blackmer,12,BLK:13 PLN:00 POS:03,MFV 01512,244,8/13/2013 10:22,8/13/2013 12:12,1:49:23,,,,,244.00,T64-B07,WT-168:S008,jason,tommy,12,BLK:13 PLN:00 POS:03,MFV 01512,0.5,8/26/2013 14:07,8/26/2013 14:11,0:03:39,,,,,0.50,T64-B13,WT163:S066,Larry,Brent,5,BLK:13 PLN:00 POS:03,MFV 01512,4.7,6/20/2014 16:06,6/20/2014 16:25,0:18:26,"3/16""",,,0.00,4.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 01512,BLK:13 PLN:00 POS:03,249.20,
T59-B06,WT-166:S034,wood,blackmer,12,BLK:13 PLN:00 POS:04,MFV 01256,238.1,8/13/2013 14:05,8/13/2013 16:20,2:15:01,swap,T59-B06,WT-164:S032,2.5,240.60,T64-B07,WT-168:S008,jason,tommy,12,BLK:13 PLN:00 POS:04,MFV 01256,1,8/26/2013 12:50,8/26/2013 12:55,0:05:19,,,,,1.00,T64-B13,WT163:S066,Larry,Brent,5,BLK:13 PLN:00 POS:04,MFV 01256,4.4,6/20/2014 12:43,6/20/2014 12:59,0:15:47,"1 5/8""",,,0.00,4.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 01256,BLK:13 PLN:00 POS:04,246.00,
T59-B06,WT-164:S032,daniel,gary,12,BLK:13 PLN:00 POS:05,MFV 06899,240.8,8/13/2013 18:48,8/13/2013 20:34,1:46:15,,,,,240.80,T64-B07,WT-168:S008,jason,tommy,12,BLK:13 PLN:00 POS:05,MFV 06899,2,8/26/2013 10:58,8/26/2013 11:02,0:03:56,,,,,2.00,T64-B13,WT163:S066,Larry,Brent,5,BLK:13 PLN:00 POS:05,MFV 06899,5.7,6/20/2014 7:58,6/20/2014 8:18,0:20:41,"1 1/2""",,,0.00,5.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 06899,BLK:13 PLN:00 POS:05,248.50,
