Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T064-B03,WT-164:S014,daniel,jason,11,BLK:05 PLN:00 POS:11,MFV 00611,240.1,4/17/2013 3:02,4/17/2013 9:02,6:00:06,,,,,240.10,T59-B03,WT-165:S016,galvin,blackmer,5,BLK:05 PLN:00 POS:11,MFV 00611,2.1,4/25/2013 13:33,4/25/2013 13:34,0:00:55,,,,,2.10,T64-B13,WT163:S066,Larry,Brent,4,BLK:05 PLN:00 POS:11,MFV 00611,6.3,5/23/2014 11:04,5/23/2014 11:26,0:22:00,"2 1/2""",,,0.00,6.30,,,,,,,,0.00,,,,,,,0.00,0.00,,1,MFV 00611,BLK:05 PLN:00 POS:11,248.50,
T64-B03,WT-169-S014,James,Wood,11,BLK:05 PLN:00 POS:09,MFV 00685,132.7,4/16/2013 15:08,4/16/2013 18:46,3:37:45,tanker swap,T64-B03,WT-166-SO16,115.9,248.60,T59-B03,WT-165:S016,galvin,blackmer,5,BLK:05 PLN:00 POS:09,MFV 00685,0.9,4/25/2013 16:04,4/25/2013 16:06,0:02:04,,,,,0.90,T64-B13,WT163:SO66,Larry,Jay,4,BLK:05 PLN:00 POS:09,MFV 00685,3.1,5/27/2014 10:38,5/27/2014 10:49,0:10:50,"1 9/16""",,,0.00,3.10,,,,,,,,0.00,,,,,,,0.00,0.00,,2,MFV 00685,BLK:05 PLN:00 POS:09,252.60,
T064-B03,WT-116:S016,daniel,jason,11,BLK:05 PLN:00 POS:10,MFV 00690,246.9,4/16/2013 21:35,4/16/2013 23:52,2:16:42,,,,,246.90,T59-B03,WT-165:S016,galvin,blackmer,5,BLK:05 PLN:00 POS:10,MFV 00690,0.6,4/25/2013 15:33,4/25/2013 15:34,0:01:17,,,,,0.60,T64-B13,WT163:S066,Larry,Brent,9,BLK:05 PLN:00 POS:10,MFV 00690,4.6,5/23/2014 10:55,5/23/2014 11:15,0:19:16,"5""",,,0.00,4.60,,,,,,,,0.00,,,,,,,0.00,0.00,,3,MFV 00690,BLK:05 PLN:00 POS:10,252.10,
T64-B03,WT-169-S014,James,Wood,11,BLK:05 PLN:00 POS:08,MFV 00691,248.4,4/16/2013 9:26,4/16/2013 11:27,2:00:46,,,,,248.40,T59-B03,WT-165:S016,daniel,jason,4,BLK:05 PLN:00 POS:08,MFV 00691,3.6,4/25/2013 17:54,4/25/2013 18:06,0:11:36,,,,,3.60,T64-B13,WT163:SO66,Larry,Jay,4,BLK:05 PLN:00 POS:08,MFV 00691,0.7,5/27/2014 12:55,5/27/2014 12:59,0:03:30,"1/4""",,,0.00,0.70,,,,,,,,0.00,,,,,,,0.00,0.00,,4,MFV 00691,BLK:05 PLN:00 POS:08,252.70,
T64-B03,WT-116:SO14,James,Wood,11,BLK:05 PLN:00 POS:04,MFV 00692,132.9,4/15/2013 9:59,4/15/2013 12:40,2:41:49,tanker swap 40 minutes,T64-B04,WT-165-S014,115.3,248.20,T59-B03,WT-165:S016,daniel,jason,4,BLK:05 PLN:00 POS:04,MFV 00692,3.4,4/26/2013 2:21,4/26/2013 2:27,0:06:02,,,,,3.40,T64-B13,WT163:S066,Larry,Brent,9,BLK:05 PLN:00 POS:04,MFV 00692,1.8,5/28/2014 12:36,5/28/2014 12:47,0:11:25,"5/8""",,,0.00,1.80,,,,,,,,0.00,,,,,,,0.00,0.00,,5,MFV 00692,BLK:05 PLN:00 POS:04,253.40,
T064-B03,WT-116:S014,daniel,jason,11,BLK:05 PLN:00 POS:03,MFV 00697,249.3,4/12/2013 0:13,4/12/2013 2:09,1:56:20,,,,,249.30,T59-B03,WT-165:S016,jason,tommy,4,BLK:05 PLN:00 POS:03,MFV 00697,1.8,4/29/2013 6:54,4/29/2013 7:07,0:12:43,,,,,1.80,T64-B13,WT163:S066,Larry,Brent,9,BLK:05 PLN:00 POS:03,MFV 00697,0.7,5/28/2014 13:43,5/28/2014 13:46,0:03:36,"3/16""",,,0.00,0.70,,,,,,,,0.00,,,,,,,0.00,0.00,,6,MFV 00697,BLK:05 PLN:00 POS:03,251.80,
