Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
,,perko,brent,4,BLK:27 PLN:01 POS:07,MFV 10887,, 4/11/2014 10:34,4/11/2014 13:07,2:33:59,,,T59-B12,WT-166:S066,248.5,,,,248.5,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,10,MFV 10887,BLK:27 PLN:01 POS:07,248.50
,,perko,brent,5,BLK:27 PLN:01 POS:09,MFV 10997,,4/11/2014 10:36,4/11/2014 13:30,2:53:23,,,T59-B12,WT-166:S066,250.2,,,,250.2,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,11,MFV 10997,BLK:27 PLN:01 POS:09,250.20
,,perko,brent,6,BLK:27 PLN:01 POS:11,MFV 11158,,4/11/2014 10:18,4/11/2014 13:15,2:56:36,,,T59-B12,WT-166:S066,249.9,,,,249.9,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,12,MFV 11158,BLK:27 PLN:01 POS:11,249.90
,,perko,brent,1,BLK:27 PLN:03 POS:00,MFV 10809,,4/11/2014 13:19,4/11/2014 16:02,2:43:03,,,T59-B12,WT-166:S066,249.8,,,,249.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,13,MFV 10809,BLK:27 PLN:03 POS:00,249.80
,,perko,brent,2,BLK:27 PLN:03 POS:02,MFV 11051,,4/11/2014 13:14,4/11/2014 15:57,2:43:13,,,T59-B12,WT-166:S066,249.5,,,,249.5,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,14,MFV 11051,BLK:27 PLN:03 POS:02,249.50
,,perko,brent,3,BLK:27 PLN:03 POS:04,MFV 11005,,4/11/2014 13:24,4/11/2014 16:06,2:41:30,,,T59-B12,WT-166:S066,248.7,,,,248.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,15,MFV 11005,BLK:27 PLN:03 POS:04,248.70
,,perko,brent,4,BLK:27 PLN:03 POS:06,MFV 10818,,4/11/2014 13:10,4/11/2014 15:55,2:45:10,,,T59-B12,WT-166:S066,250.3,,,,250.3,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,16,MFV 10818,BLK:27 PLN:03 POS:06,250.30
,,perko,brent,5,BLK:27 PLN:03 POS:08,MFV 11018,,4/11/2014 13:31,4/11/2014 16:05,2:34:15,,,T59-B12,WT-166:S066,248.9,,,,248.9,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,17,MFV 11018,BLK:27 PLN:03 POS:08,248.90
,,perko,brent,6,BLK:27 PLN:03 POS:10,MFV 11160,,4/11/2014 13:16,4/11/2014 16:01,2:44:12,,,T59-B12,WT-166:S066,250,,,,250,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,18,MFV 11160,BLK:27 PLN:03 POS:10,250.00
,,perko,brent,1,BLK:27 PLN:03 POS:01,MFV 10213,,4/11/2014 16:02,4/14/2014 9:25,65:22:29,,,T59-B12,WT-166:S066,239,,,,239,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,19,MFV 10213,BLK:27 PLN:03 POS:01,239.00
,,perko,brent,2,BLK:27 PLN:03 POS:03,MFV 11067,,4/11/2014 15:57,4/14/2014 9:21,65:23:08,,1/2 hour delay,T59-B12,WT-166:S066,248.6,,,,248.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,20,MFV 11067,BLK:27 PLN:03 POS:03,248.60
,,perko,brent,3,BLK:27 PLN:03 POS:05,MFV 11132,,4/11/2014 16:06,4/14/2014 9:30,65:24:10,,,T59-B12,WT-166:S066,249,,,,249,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,21,MFV 11132,BLK:27 PLN:03 POS:05,249.00
,,perko,brent,4,BLK:27 PLN:03 POS:07,MFV 11015,,4/11/2014 15:56,4/14/2014 9:21,65:25:22,,,T59-B12,WT-166:S066,248.9,,,,248.9,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,22,MFV 11015,BLK:27 PLN:03 POS:07,248.90
,,perko,brent,5,BLK:27 PLN:03 POS:09,MFV 07240,,4/11/2014 16:05,4/14/2014 9:33,65:27:39,,,T59-B12,WT-166:S066,250.9,,,,250.9,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,23,MFV 07240,BLK:27 PLN:03 POS:09,250.90
,,perko,brent,6,BLK:27 PLN:03 POS:11,MFV 11095,,4/11/2014 16:01,4/14/2014 9:27,65:26:07,,,T59-B12,WT-166:S066,250.8,,,,250.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,24,MFV 11095,BLK:27 PLN:03 POS:11,250.80
T59-B12,WT-166:S066,wood,blackmer,1,BLK:27 PLN:05 POS:00,MFV 07341,244.8,4/14/2014 9:25,4/14/2014 12:08,2:43:42,,,,,,,,,244.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,25,MFV 07341,BLK:27 PLN:05 POS:00,244.80
T59-B12,WT-166:S066,wood,blackmer,2,BLK:27 PLN:05 POS:02,MFV 11022,248.6,4/14/2014 9:21,4/14/2014 12:09,2:47:59,,,,,,,,,248.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,26,MFV 11022,BLK:27 PLN:05 POS:02,248.60
T59-B12,WT-166:S066,wood,blackmer,3,BLK:27 PLN:05 POS:04,MFV 11006,248.7,4/14/2014 9:31,4/14/2014 12:16,2:45:03,,,,,,,,,248.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,27,MFV 11006,BLK:27 PLN:05 POS:04,248.70
T59-B12,WT-166:S066,wood,blackmer,4,BLK:27 PLN:05 POS:06,MFV 11136,251.1,4/14/2014 9:21,4/14/2014 12:10,2:48:35,,,,,,,,,251.1,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,28,MFV 11136,BLK:27 PLN:05 POS:06,251.10
T59-B12,WT-166:S066,wood,blackmer,5,BLK:27 PLN:05 POS:08,MFV 11133,249.1,4/14/2014 9:33,4/14/2014 12:22,2:48:33,,,,,,,,,249.1,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,29,MFV 11133,BLK:27 PLN:05 POS:08,249.10
T59-B12,WT-166:S066,wood,blackmer,6,BLK:27 PLN:05 POS:10,MFV 07408,251.4,4/14/2014 9:28,4/14/2014 12:13,2:45:40,,,,,,,,,251.4,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,30,MFV 07408,BLK:27 PLN:05 POS:10,251.40
T59-B12,WT-166:S066,wood,blackmer,1,BLK:27 PLN:05 POS:01,MFV 11039,93.9,4/14/2014 12:09,4/15/2014 16:36,28:27:49,,out of oil for the day dip stick full,T64-B13,WT-164-SO59,81.4,,,,175.3,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,31,MFV 11039,BLK:27 PLN:05 POS:01,175.30
T59-B12,WT-166:S066,wood,blackmer,2,BLK:27 PLN:05 POS:03,MFV 11027,93.3,4/14/2014 12:09,4/16/2014 7:14,43:05:24,,,T64-B13,WT-164-SO59,155.6,,,,248.9,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,32,MFV 11027,BLK:27 PLN:05 POS:03,248.90
T59-B12,WT-166:S066,wood,blackmer,3,BLK:27 PLN:05 POS:05,MFV 11094,86,4/14/2014 12:16,4/16/2014 7:16,42:59:59,,,T64-B13,WT-164-SO59,163,,,,249,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,33,MFV 11094,BLK:27 PLN:05 POS:05,249.00
T59-B12,WT-166:S066,wood,blackmer,4,BLK:27 PLN:05 POS:07,MFV 07334,91.3,4/14/2014 12:10,4/16/2014 7:17,43:07:27,,,T64-B13,WT-164-SO59,160.1,,,,251.4,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,34,MFV 07334,BLK:27 PLN:05 POS:07,251.40
T59-B12,WT-166:S066,wood,blackmer,5,BLK:27 PLN:05 POS:09,MFV 09562,76.3,4/14/2014 12:22,4/16/2014 7:19,42:56:45,,,T64-B13,WT-164-SO59,175.6,,,,251.9,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,35,MFV 09562,BLK:27 PLN:05 POS:09,251.90
T59-B12,WT-166:S066,wood,blackmer,6,BLK:27 PLN:05 POS:11,MFV 07991,83.5,4/14/2014 12:13,4/16/2014 7:20,43:06:35,,,T64-B13,WT-164-SO59,167.6,,,,251.1,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,36,MFV 07991,BLK:27 PLN:05 POS:11,251.10
T64-B13,WT-164 SO59,wood,perko,1,BLK:27 PLN:07 POS:00,MFV 10940,240.8,4/16/2014 7:11,4/16/2014 10:43,3:31:53,,,,,,,,,240.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,37,MFV 10940,BLK:27 PLN:07 POS:00,240.80
T64-B13,WT-164 SO59,wood,perko,2,BLK:27 PLN:07 POS:02,MFV 10383,248.7,4/16/2014 7:15,4/16/2014 9:57,2:41:03,,,,,,,,,248.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,38,MFV 10383,BLK:27 PLN:07 POS:02,248.70
T64-B13,WT-164 SO59,wood,perko,3,BLK:27 PLN:07 POS:04,MFV 10735,252.4,4/16/2014 7:17,4/16/2014 9:46,2:29:12,,,,,,,,,252.4,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,39,MFV 10735,BLK:27 PLN:07 POS:04,252.40
