Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T59-B11,WT-164:S053,Tommy ,Cole,11,BLK:24 PLN:00 POS:07,MFV 00005,251.1,2/4/2014 7:42,2/4/2014 10:12,2:29:45,,,,,251.10,T59-B11,WT-165:S058,galvin,jason,5,BLK:24 PLN:00 POS:07,MFV 00005,1.2,2/12/2014 13:39,2/12/2014 13:39,0:04:52,,,,,1.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,8,MFV 00005,BLK:24 PLN:00 POS:07,252.30,
T59-B11,WT-164:S053,Tommy ,Cole,11,BLK:24 PLN:00 POS:08,MFV 03094,249.2,2/4/2014 10:13,2/4/2014 12:30,2:17:29,,,,,249.20,T59-B11,WT-165:S058,galvin,jason,5,BLK:24 PLN:00 POS:08,MFV 03094,1.6,2/12/2014 11:33,2/12/2014 11:37,0:04:45,,,,,1.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,9,MFV 03094,BLK:24 PLN:00 POS:08,250.80,
T64-B11,WT-163:S057,wood,don,11,BLK:24 PLN:00 POS:09,MFV 00006,252.8,2/4/2014 19:00,2/4/2014 21:40,2:39:49,delay due to cold oil,,,,252.80,T59-B11,WT-165:S058,galvin,jason,10,BLK:24 PLN:00 POS:09,MFV 00006,1,2/12/2014 10:06,2/12/2014 10:10,0:04:04,,,,,1.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,10,MFV 00006,BLK:24 PLN:00 POS:09,253.80,
T64-B11,WT-163:S057,wood,don,11,BLK:24 PLN:00 POS:10,MFV 00020,251,2/5/2014 0:56,2/5/2014 7:26,6:30:07,swap,,,,251.00,T59-B11,WT-165:S058,galvin,jason,10,BLK:24 PLN:00 POS:10,MFV 00020,1.4,2/12/2014 8:10,2/12/2014 8:15,0:04:26,,,,,1.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,11,MFV 00020,BLK:24 PLN:00 POS:10,252.40,
T59-B11,WT-166:S059,galvin,tommy,9,BLK:24 PLN:00 POS:11,MFV 10279,247.4,2/5/2014 9:37,2/5/2014 11:23,1:45:49,,,,,247.40,T59-B11,WT-165:S058,galvin,jason,10,BLK:24 PLN:00 POS:11,MFV 10279,0.9,2/12/2014 7:20,2/12/2014 7:24,0:03:32,,,,,0.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,12,MFV 10279,BLK:24 PLN:00 POS:11,248.30,
T64-B11,WT-165:S056,galvin,tommy,11,BLK:24 PLN:02 POS:00,MFV 10242,93.3,1/30/2014 23:15,1/31/2014 1:21,2:06:13,swap 10 min.,T64-B11,WT-166:S058,152.7,246.00,T59-B11,WT-165:S058,wood,don,5,BLK:24 PLN:02 POS:00,MFV 10242,1.8,2/13/2014 3:03,2/13/2014 3:09,0:05:41,,,,,1.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,13,MFV 10242,BLK:24 PLN:02 POS:00,247.80,
T64-B11,WT-166:S058,jason,larry,11,BLK:24 PLN:02 POS:01,MFV 10324,244,1/31/2014 7:21,1/31/2014 9:28,2:07:18,,,,,244.00,T59-B11,wT-165:S058,wood,don,5,BLK:24 PLN:02 POS:01,MFV 10324,4.7,2/13/2014 1:49,2/13/2014 1:59,0:10:12,,,,,4.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,14,MFV 10324,BLK:24 PLN:02 POS:01,248.70,
T64-B11,WT-166:S058,jason,larry,11,BLK:24 PLN:02 POS:02,MFV 00809,188.7,1/31/2014 9:28,1/31/2014 12:15,2:47:16,swap,T64-B11,WT-168:S030,61.3,250.00,T59-B11,wT-165:S058,wood,don,5,BLK:24 PLN:02 POS:02,MFV 00809,1.9,2/12/2014 23:32,2/12/2014 23:38,0:06:00,,,,,1.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,15,MFV 00809,BLK:24 PLN:02 POS:02,251.90,
T64-B11,WT-168:S030,jason,larry,11,BLK:24 PLN:02 POS:03,MFV 01464,249.3,1/31/2014 15:30,2/3/2014 7:39,64:08:43,,,,,249.30,T59-B11,WT-165:S058,wood,don,5,BLK:24 PLN:02 POS:03,MFV 01464,0.9,2/12/2014 21:34,2/12/2014 21:37,0:02:44,,,,,0.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,16,MFV 01464,BLK:24 PLN:02 POS:03,250.20,
T64-B11,WT-116:S056,Galvin,Jason,11,BLK:24 PLN:02 POS:04,MFV 03477,244.6,2/3/2014 10:30,2/3/2014 12:44,2:13:34,,,,,244.60,T59-B11,WT-165:S058,wood,don,5,BLK:24 PLN:02 POS:04,MFV 03477,2,2/12/2014 20:21,2/12/2014 20:26,0:04:48,,,,,2.00,T64-B13,WT163:S066,Ron,Cole,9,BLK:24 PLN:02 POS:04,MFV 03477,0.7,5/19/2014 9:37,5/19/2014 9:42,0:05:04,"1/4""",,,0.00,0.70,,,,,,,,0.00,,,,,,,0.00,0.00,,17,MFV 03477,BLK:24 PLN:02 POS:04,247.30,
