#   W       w(lab)    sigT     sigL     sigLT   sigLT'   sigTT'   sigL0    sigLT0  sigLT0'
# (MeV)     (MeV)     (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)
 1080.0    338.9      4.53      .72      .03    -1.30    -3.86      .00      .00      .07
 1085.0    344.7     12.27     2.55      .18    -3.63    -9.27      .00     -.01      .15
 1090.0    350.5     17.32     4.24      .32    -5.19   -11.53      .00     -.01      .17
 1095.0    356.3     21.67     5.92      .46    -6.47   -12.60      .00     -.01      .16
 1100.0    362.2     25.71     7.57      .56    -7.58   -12.90      .00     -.01      .12
 1105.0    368.1     29.61     9.17      .66    -8.52   -12.57      .00      .00      .06
 1110.0    374.0     33.49    10.71      .76    -9.31   -11.71      .00      .00     -.01
 1115.0    379.9     37.45    12.20      .85    -9.98   -10.36      .00      .01     -.10
 1120.0    385.8     41.58    13.62      .92   -10.51    -8.55      .00      .02     -.19
 1125.0    391.8     45.96    14.97      .99   -10.92    -6.27      .01      .03     -.29
 1130.0    397.8     50.67    16.28     1.04   -11.21    -3.51      .02      .04     -.39
 1135.0    403.9     55.81    17.52     1.07   -11.38     -.25      .03      .05     -.49
 1140.0    409.9     61.48    18.72     1.08   -11.43     3.54      .05      .06     -.59
 1145.0    416.0     67.79    19.87     1.07   -11.35     7.90      .07      .06     -.68
 1150.0    422.1     74.85    20.98     1.04   -11.16    12.85      .10      .07     -.76
 1155.0    428.3     82.76    22.04      .98   -10.84    18.44      .13      .07     -.82
 1160.0    434.4     91.63    23.06      .88   -10.39    24.66      .16      .07     -.87
 1165.0    440.6    101.51    24.03      .74    -9.84    31.51      .20      .07     -.91
 1170.0    446.9    112.39    24.94      .56    -9.18    38.91      .25      .06     -.92
 1175.0    453.1    124.14    25.78      .33    -8.44    46.68      .30      .04     -.91
 1180.0    459.4    136.48    26.53      .06    -7.65    54.56      .36      .01     -.89
 1185.0    465.7    148.91    27.17     -.26    -6.88    62.14      .42     -.03     -.85
 1190.0    472.0    160.70    27.67     -.60    -6.18    68.88      .48     -.08     -.82
 1195.0    478.4    170.95    28.00     -.97    -5.64    74.15      .55     -.14     -.79
 1200.0    484.7    178.69    28.17    -1.30    -5.34    77.32      .61     -.19     -.79
 1205.0    491.2    183.10    28.15    -1.59    -5.32    77.95      .68     -.25     -.83
 1210.0    497.6    183.73    27.99    -1.81    -5.61    75.88      .75     -.30     -.92
 1215.0    504.0    180.63    27.71    -1.93    -6.18    71.30      .81     -.33    -1.06
 1220.0    510.5    174.28    27.36    -1.96    -6.97    64.71      .87     -.35    -1.25
 1225.0    517.1    165.49    26.98    -1.91    -7.90    56.79      .94     -.36    -1.47
 1230.0    523.6    155.18    26.61    -1.78    -8.90    48.21     1.00     -.35    -1.73
 1235.0    530.2    144.18    26.28    -1.57    -9.90    39.56     1.07     -.32    -2.00
 1240.0    536.8    133.15    26.00    -1.31   -10.85    31.29     1.14     -.27    -2.27
 1245.0    543.4    122.55    25.78    -1.02   -11.71    23.65     1.21     -.22    -2.54
 1250.0    550.0    112.64    25.61     -.72   -12.47    16.78     1.29     -.16    -2.80
 1255.0    556.7    103.58    25.48     -.43   -13.13    10.73     1.37     -.10    -3.05
 1260.0    563.4     95.40    25.38     -.13   -13.69     5.47     1.46     -.03    -3.28
 1265.0    570.1     88.07    25.32      .15   -14.15      .94     1.55      .04    -3.50
 1270.0    576.9     81.55    25.27      .42   -14.52    -2.93     1.64      .11    -3.70
 1275.0    583.7     75.75    25.23      .67   -14.81    -6.23     1.73      .18    -3.88
 1280.0    590.5     70.60    25.19      .91   -15.03    -9.02     1.83      .25    -4.05
 1285.0    597.3     66.04    25.14     1.13   -15.18   -11.38     1.93      .31    -4.20
 1290.0    604.2     61.99    25.08     1.34   -15.28   -13.38     2.03      .38    -4.34
 1295.0    611.1     58.39    25.00     1.53   -15.33   -15.05     2.12      .44    -4.47
 1300.0    618.0     55.17    24.90     1.71   -15.33   -16.47     2.22      .51    -4.58
 1305.0    624.9     52.32    24.76     1.87   -15.30   -17.63     2.32      .57    -4.68
 1310.0    631.9     49.77    24.59     2.01   -15.23   -18.60     2.42      .63    -4.77
 1315.0    638.9     47.48    24.38     2.14   -15.12   -19.40     2.51      .68    -4.85
 1320.0    645.9     45.42    24.12     2.25   -14.99   -20.05     2.59      .74    -4.91
 1325.0    652.9     43.59    23.80     2.35   -14.83   -20.58     2.67      .79    -4.97
 1330.0    660.0     41.94    23.43     2.43   -14.65   -21.00     2.74      .83    -5.01
 1335.0    667.1     40.46    23.00     2.50   -14.45   -21.32     2.81      .87    -5.05
 1340.0    674.2     39.13    22.51     2.56   -14.23   -21.57     2.86      .91    -5.07
 1345.0    681.4     37.94    21.96     2.60   -14.00   -21.75     2.90      .95    -5.09
 1350.0    688.6     36.89    21.36     2.63   -13.76   -21.88     2.94      .98    -5.10
 1355.0    695.8     35.95    20.71     2.65   -13.52   -21.95     2.95     1.00    -5.11
 1360.0    703.0     35.12    20.01     2.66   -13.27   -21.99     2.96     1.03    -5.11
 1365.0    710.3     34.39    19.28     2.67   -13.03   -21.99     2.96     1.05    -5.11
 1370.0    717.6     33.77    18.53     2.67   -12.80   -21.96     2.95     1.07    -5.11
 1375.0    724.9     33.25    17.78     2.67   -12.58   -21.90     2.93     1.08    -5.10
 1380.0    732.2     32.81    17.04     2.67   -12.37   -21.83     2.90     1.10    -5.10
 1385.0    739.6     32.46    16.31     2.68   -12.17   -21.73     2.87     1.13    -5.11
 1390.0    747.0     32.20    15.61     2.69   -11.99   -21.62     2.84     1.15    -5.12
 1395.0    754.4     32.02    14.95     2.71   -11.83   -21.50     2.81     1.18    -5.13
