#   W       w(lab)    sigT     sigL     sigLT   sigLT'   sigTT'   sigL0    sigLT0  sigLT0'
# (MeV)     (MeV)     (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)
 1400.0    761.8     31.94    14.32     2.74   -11.68   -21.37     2.78     1.21    -5.15
 1405.0    769.3     31.94    13.74     2.78   -11.55   -21.23     2.75     1.24    -5.17
 1410.0    776.8     32.03    13.21     2.83   -11.44   -21.09     2.72     1.29    -5.20
 1415.0    784.4     32.22    12.72     2.90   -11.34   -20.94     2.70     1.34    -5.23
 1420.0    791.9     32.51    12.28     2.98   -11.26   -20.79     2.69     1.39    -5.27
 1425.0    799.5     32.90    11.90     3.07   -11.19   -20.63     2.68     1.46    -5.31
 1430.0    807.1     33.40    11.56     3.17   -11.14   -20.48     2.68     1.53    -5.36
 1435.0    814.7     34.03    11.26     3.29   -11.09   -20.34     2.68     1.61    -5.42
 1440.0    822.4     34.78    11.01     3.43   -11.07   -20.22     2.70     1.70    -5.48
 1445.0    830.1     35.68    10.81     3.58   -11.05   -20.11     2.72     1.80    -5.54
 1450.0    837.8     36.75    10.66     3.76   -11.05   -20.03     2.75     1.91    -5.62
 1455.0    845.5     37.98    10.55     3.96   -11.07   -20.00     2.80     2.04    -5.70
 1460.0    853.3     39.39    10.49     4.18   -11.09   -20.01     2.86     2.18    -5.79
 1465.0    861.1     40.99    10.48     4.44   -11.12   -20.09     2.92     2.34    -5.88
 1470.0    868.9     42.83    10.51     4.73   -11.16   -20.31     3.01     2.53    -5.97
 1475.0    876.8     44.94    10.59     5.07   -11.21   -20.73     3.11     2.75    -6.07
 1480.0    884.6     47.03    10.70     5.43   -11.17   -21.09     3.22     2.97    -6.12
 1485.0    892.5     48.85    10.84     5.78   -11.00   -21.24     3.34     3.21    -6.10
 1490.0    900.5     48.61    11.21     6.34   -10.61   -19.43     3.53     3.56    -5.96
 1495.0    908.4     48.51    11.63     6.80   -10.37   -17.98     3.75     3.86    -5.89
 1500.0    916.4     48.47    12.06     7.23   -10.20   -16.89     3.98     4.15    -5.86
 1505.0    924.4     48.14    12.49     7.60   -10.01   -15.90     4.22     4.41    -5.82
 1510.0    932.4     47.40    12.89     7.89    -9.80   -14.94     4.45     4.64    -5.76
 1515.0    940.5     46.19    13.25     8.09    -9.58   -13.95     4.67     4.81    -5.69
 1520.0    948.6     44.52    13.53     8.18    -9.36   -12.92     4.88     4.91    -5.62
 1525.0    956.7     42.51    13.74     8.14    -9.15   -11.84     5.06     4.94    -5.55
 1530.0    964.8     40.25    13.85     8.00    -8.96   -10.78     5.21     4.91    -5.49
 1535.0    973.0     37.93    13.86     7.77    -8.80    -9.76     5.33     4.82    -5.45
 1540.0    981.2     35.67    13.79     7.48    -8.68    -8.80     5.41     4.69    -5.44
 1545.0    989.4     33.58    13.64     7.17    -8.59    -7.97     5.46     4.53    -5.44
 1550.0    997.7     31.72    13.43     6.85    -8.54    -7.25     5.49     4.38    -5.46
 1555.0   1005.9     30.14    13.18     6.54    -8.50    -6.66     5.49     4.22    -5.49
 1560.0   1014.2     28.86    12.90     6.27    -8.48    -6.19     5.48     4.09    -5.53
 1565.0   1022.6     27.85    12.60     6.04    -8.46    -5.83     5.46     3.97    -5.57
 1570.0   1030.9     27.12    12.31     5.84    -8.46    -5.55     5.44     3.88    -5.62
 1575.0   1039.3     26.61    12.03     5.68    -8.45    -5.33     5.41     3.81    -5.67
 1580.0   1047.7     26.31    11.77     5.54    -8.44    -5.14     5.40     3.75    -5.72
 1585.0   1056.1     26.18    11.53     5.43    -8.42    -4.94     5.39     3.71    -5.76
 1590.0   1064.6     26.18    11.32     5.32    -8.38    -4.71     5.39     3.67    -5.78
 1595.0   1073.1     26.29    11.15     5.23    -8.32    -4.44     5.40     3.64    -5.79
 1600.0   1081.6     26.50    11.01     5.15    -8.23    -4.11     5.43     3.62    -5.78
 1605.0   1090.1     26.80    10.90     5.09    -8.13    -3.72     5.47     3.61    -5.76
 1610.0   1098.7     27.19    10.84     5.04    -8.01    -3.28     5.54     3.60    -5.73
 1615.0   1107.3     27.66    10.82     5.01    -7.89    -2.79     5.62     3.61    -5.69
 1620.0   1115.9     28.21    10.83     4.99    -7.75    -2.27     5.73     3.63    -5.64
 1625.0   1124.6     28.82    10.87     4.99    -7.60    -1.72     5.85     3.66    -5.58
 1630.0   1133.2     29.48    10.93     4.99    -7.45    -1.15     5.98     3.69    -5.51
 1635.0   1141.9     30.16    11.01     5.01    -7.27     -.59     6.12     3.73    -5.43
 1640.0   1150.6     30.82    11.09     5.02    -7.08     -.04     6.27     3.77    -5.32
 1645.0   1159.4     31.41    11.16     5.03    -6.85      .49     6.41     3.81    -5.20
 1650.0   1168.2     31.90    11.20     5.02    -6.59      .98     6.54     3.84    -5.03
 1655.0   1177.0     32.22    11.22     5.01    -6.28     1.39     6.66     3.86    -4.84
 1660.0   1185.8     32.34    11.19     4.97    -5.93     1.74     6.75     3.86    -4.60
 1665.0   1194.7     32.24    11.12     4.93    -5.53     2.02     6.81     3.85    -4.33
 1670.0   1203.6     31.91    11.00     4.86    -5.10     2.22     6.84     3.83    -4.03
 1675.0   1212.5     31.35    10.84     4.78    -4.66     2.34     6.85     3.80    -3.70
 1680.0   1221.4     30.59    10.66     4.69    -4.20     2.40     6.84     3.76    -3.37
 1685.0   1230.4     29.66    10.45     4.58    -3.75     2.42     6.81     3.69    -3.03
 1690.0   1239.4     28.59    10.23     4.45    -3.33     2.43     6.76     3.61    -2.71
 1695.0   1248.4     27.42    10.00     4.29    -2.94     2.45     6.71     3.51    -2.41
 1700.0   1257.4     26.17     9.76     4.12    -2.60     2.49     6.65     3.40    -2.15
 1705.0   1266.5     24.88     9.53     3.92    -2.31     2.56     6.58     3.26    -1.92
 1710.0   1275.6     23.58     9.30     3.72    -2.07     2.66     6.52     3.12    -1.73
 1715.0   1284.7     22.31     9.08     3.52    -1.88     2.78     6.46     2.97    -1.58
 1720.0   1293.9     21.08     8.87     3.32    -1.72     2.91     6.40     2.82    -1.46
 1725.0   1303.1     19.91     8.68     3.12    -1.60     3.04     6.35     2.67    -1.37
 1730.0   1312.3     18.82     8.50     2.93    -1.51     3.16     6.30     2.52    -1.30
 1735.0   1321.5     17.80     8.33     2.74    -1.44     3.27     6.26     2.38    -1.25
 1740.0   1330.8     16.86     8.17     2.57    -1.39     3.38     6.23     2.24    -1.21
 1745.0   1340.1     16.00     8.02     2.41    -1.35     3.47     6.20     2.12    -1.19
 1750.0   1349.4     15.21     7.88     2.26    -1.33     3.54     6.17     2.00    -1.18
 1755.0   1358.7     14.48     7.75     2.11    -1.31     3.61     6.15     1.88    -1.17
 1760.0   1368.1     13.82     7.63     1.98    -1.30     3.67     6.13     1.77    -1.17
 1765.0   1377.5     13.21     7.51     1.85    -1.30     3.71     6.12     1.67    -1.17
 1770.0   1386.9     12.65     7.39     1.72    -1.30     3.75     6.10     1.57    -1.18
 1775.0   1396.3     12.14     7.28     1.61    -1.30     3.78     6.09     1.47    -1.19
 1780.0   1405.8     11.68     7.17     1.50    -1.31     3.80     6.07     1.38    -1.20
 1785.0   1415.3     11.25     7.06     1.40    -1.31     3.81     6.06     1.30    -1.22
 1790.0   1424.8     10.85     6.96     1.31    -1.32     3.81     6.04     1.22    -1.23
 1795.0   1434.4     10.48     6.85     1.22    -1.33     3.81     6.03     1.14    -1.25
 1800.0   1444.0     10.15     6.75     1.14    -1.34     3.80     6.01     1.07    -1.26
 1805.0   1453.6      9.84     6.65     1.06    -1.34     3.79     5.99     1.01    -1.28
 1810.0   1463.2      9.55     6.55      .99    -1.35     3.76     5.98      .94    -1.29
 1815.0   1472.9      9.28     6.45      .92    -1.36     3.74     5.96      .89    -1.31
 1820.0   1482.5      9.03     6.35      .86    -1.37     3.71     5.94      .83    -1.32
 1825.0   1492.2      8.80     6.25      .80    -1.37     3.67     5.92      .78    -1.33
 1830.0   1502.0      8.58     6.16      .75    -1.38     3.64     5.90      .73    -1.35
 1835.0   1511.8      8.38     6.07      .70    -1.38     3.60     5.88      .69    -1.36
 1840.0   1521.5      8.20     5.97      .65    -1.38     3.55     5.85      .65    -1.37
 1845.0   1531.4      8.02     5.88      .61    -1.39     3.50     5.83      .61    -1.38
 1850.0   1541.2      7.86     5.80      .58    -1.39     3.45     5.81      .58    -1.39
 1855.0   1551.1      7.71     5.71      .54    -1.39     3.40     5.79      .55    -1.40
 1860.0   1561.0      7.56     5.63      .51    -1.39     3.34     5.77      .52    -1.40
 1865.0   1570.9      7.43     5.55      .49    -1.39     3.28     5.75      .50    -1.41
 1870.0   1580.9      7.31     5.47      .46    -1.38     3.22     5.74      .47    -1.42
 1875.0   1590.8      7.19     5.39      .44    -1.38     3.16     5.72      .45    -1.42
 1880.0   1600.8      7.08     5.32      .42    -1.38     3.09     5.71      .44    -1.42
 1885.0   1610.9      6.98     5.25      .40    -1.37     3.02     5.70      .42    -1.43
 1890.0   1620.9      6.89     5.18      .39    -1.36     2.95     5.68      .41    -1.42
 1895.0   1631.0      6.80     5.12      .37    -1.35     2.88     5.67      .39    -1.42
 1900.0   1641.1      6.71     5.05      .36    -1.34     2.81     5.66      .38    -1.42
 1905.0   1651.3      6.64     4.99      .35    -1.33     2.73     5.65      .37    -1.41
 1910.0   1661.4      6.57     4.94      .34    -1.31     2.66     5.65      .36    -1.40
 1915.0   1671.6      6.51     4.88      .33    -1.30     2.58     5.64      .35    -1.39
 1920.0   1681.8      6.45     4.83      .32    -1.28     2.50     5.64      .34    -1.38
 1925.0   1692.1      6.39     4.77      .31    -1.26     2.42     5.64      .33    -1.37
 1930.0   1702.4      6.34     4.72      .30    -1.24     2.35     5.64      .32    -1.36
 1935.0   1712.7      6.29     4.67      .29    -1.23     2.27     5.63      .31    -1.35
 1940.0   1723.0      6.24     4.63      .27    -1.21     2.20     5.63      .30    -1.33
 1945.0   1733.3      6.20     4.58      .26    -1.19     2.13     5.64      .29    -1.32
 1950.0   1743.7      6.16     4.53      .25    -1.17     2.06     5.64      .27    -1.30
 1955.0   1754.1      6.13     4.49      .23    -1.15     2.00     5.64      .26    -1.29
 1960.0   1764.5      6.09     4.45      .22    -1.14     1.94     5.64      .24    -1.28
 1965.0   1775.0      6.06     4.40      .20    -1.12     1.89     5.64      .23    -1.27
 1970.0   1785.5      6.02     4.36      .19    -1.11     1.84     5.64      .21    -1.26
 1975.0   1796.0      5.98     4.32      .17    -1.10     1.79     5.64      .20    -1.26
 1980.0   1806.5      5.95     4.28      .16    -1.09     1.75     5.64      .18    -1.25
 1985.0   1817.1      5.93     4.23      .14    -1.08     1.72     5.63      .17    -1.25
 1990.0   1827.7      5.89     4.19      .13    -1.08     1.69     5.63      .15    -1.25
 1995.0   1838.3      5.83     4.16      .12    -1.08     1.67     5.64      .14    -1.25
 2000.0   1849.0      5.82     4.11      .11    -1.07     1.65     5.63      .13    -1.25
