#   W       w(lab)    sigT     sigL     sigLT   sigLT'   sigTT'   sigL0    sigLT0  sigLT0'
# (MeV)     (MeV)     (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)
 1080.0    392.2      3.16     1.73     -.06     1.64    -1.48      .02      .01     -.19
 1085.0    398.0      5.31     2.31     -.20     2.04    -1.44      .03      .02     -.21
 1090.0    403.8      7.69     2.78     -.31     2.32    -1.04      .03      .03     -.23
 1095.0    409.6     10.32     3.20     -.42     2.56     -.35      .03      .04     -.23
 1100.0    415.5     13.24     3.59     -.50     2.78      .63      .02      .04     -.23
 1105.0    421.3     16.47     3.96     -.58     3.01     1.90      .02      .04     -.22
 1110.0    427.2     20.08     4.32     -.65     3.27     3.48      .02      .04     -.22
 1115.0    433.2     24.13     4.67     -.72     3.55     5.40      .02      .04     -.21
 1120.0    439.1     28.70     5.02     -.78     3.87     7.69      .01      .04     -.20
 1125.0    445.1     33.88     5.37     -.84     4.25    10.40      .01      .04     -.18
 1130.0    451.1     39.79     5.74     -.88     4.68    13.58      .01      .03     -.17
 1135.0    457.2     46.56     6.12     -.91     5.18    17.31      .00      .03     -.14
 1140.0    463.2     54.34     6.51     -.92     5.76    21.66      .00      .02     -.12
 1145.0    469.3     63.30     6.93     -.92     6.43    26.73      .00      .01     -.08
 1150.0    475.4     73.63     7.36     -.91     7.20    32.60      .00      .00     -.04
 1155.0    481.6     85.52     7.83     -.86     8.07    39.39      .00      .00      .02
 1160.0    487.7     99.14     8.31     -.80     9.06    47.18      .00     -.01      .09
 1165.0    493.9    114.62     8.82     -.70    10.17    56.04      .00     -.01      .17
 1170.0    500.1    131.99     9.34     -.57    11.37    65.96      .01     -.01      .28
 1175.0    506.4    151.12     9.86     -.41    12.66    76.85      .01     -.01      .40
 1180.0    512.7    171.59    10.37     -.21    13.98    88.46      .02     -.01      .55
 1185.0    519.0    192.66    10.83      .02    15.27   100.35      .02      .00      .71
 1190.0    525.3    213.20    11.21      .27    16.42   111.86      .03      .01      .88
 1195.0    531.7    231.75    11.47      .51    17.34   122.17      .04      .03     1.06
 1200.0    538.0    246.68    11.60      .76    17.92   130.35      .05      .05     1.22
 1205.0    544.4    256.59    11.58      .97    18.08   135.63      .07      .07     1.36
 1210.0    550.9    260.58    11.41     1.13    17.79   137.54      .08      .09     1.47
 1215.0    557.3    258.55    11.12     1.21    17.09   136.05      .09      .11     1.53
 1220.0    563.8    251.12    10.74     1.22    16.04   131.55      .10      .12     1.55
 1225.0    570.3    239.46    10.31     1.14    14.77   124.71      .11      .12     1.53
 1230.0    576.9    224.94     9.87     1.00    13.36   116.34      .12      .11     1.48
 1235.0    583.5    208.90     9.44      .82    11.93   107.17      .13      .10     1.40
 1240.0    590.0    192.40     9.05      .60    10.54    97.81      .14      .07     1.31
 1245.0    596.7    176.22     8.70      .36     9.22    88.69      .15      .05     1.21
 1250.0    603.3    160.85     8.40      .10     8.02    80.07      .16      .01     1.11
 1255.0    610.0    146.58     8.15     -.15     6.93    72.11      .17     -.02     1.01
 1260.0    616.7    133.52     7.95     -.41     5.96    64.87      .18     -.06      .91
 1265.0    623.4    121.68     7.79     -.66     5.10    58.33      .20     -.10      .81
 1270.0    630.2    111.01     7.66     -.90     4.35    52.47      .21     -.15      .72
 1275.0    637.0    101.42     7.57    -1.13     3.68    47.24      .23     -.19      .64
 1280.0    643.8     92.83     7.50    -1.35     3.10    42.57      .24     -.24      .56
 1285.0    650.6     85.12     7.46    -1.56     2.60    38.41      .26     -.29      .48
 1290.0    657.5     78.21     7.43    -1.77     2.16    34.70      .28     -.34      .42
 1295.0    664.3     71.98     7.43    -1.96     1.78    31.39      .30     -.39      .36
 1300.0    671.3     66.39     7.43    -2.15     1.46    28.44      .32     -.44      .30
 1305.0    678.2     61.35     7.44    -2.33     1.18    25.79      .34     -.50      .25
 1310.0    685.2     56.79     7.46    -2.50      .95    23.41      .36     -.55      .21
 1315.0    692.2     52.64     7.48    -2.66      .75    21.26      .38     -.60      .17
 1320.0    699.2     48.88     7.50    -2.82      .59    19.32      .41     -.66      .14
 1325.0    706.2     45.46     7.52    -2.97      .47    17.58      .43     -.71      .11
 1330.0    713.3     42.34     7.53    -3.11      .38    15.99      .45     -.76      .09
 1335.0    720.4     39.48     7.53    -3.24      .31    14.54      .48     -.82      .08
 1340.0    727.5     36.87     7.52    -3.37      .28    13.22      .50     -.87      .07
 1345.0    734.7     34.48     7.50    -3.48      .26    12.00      .53     -.92      .07
 1350.0    741.9     32.28     7.47    -3.59      .27    10.88      .55     -.97      .07
 1355.0    749.1     30.27     7.41    -3.69      .29     9.84      .57    -1.03      .08
 1360.0    756.3     28.42     7.35    -3.78      .33     8.88      .59    -1.07      .09
 1365.0    763.6     26.73     7.26    -3.86      .38     7.97      .61    -1.12      .11
 1370.0    770.9     25.19     7.16    -3.93      .43     7.12      .63    -1.17      .13
 1375.0    778.2     23.78     7.05    -4.00      .49     6.32      .65    -1.21      .15
 1380.0    785.5     22.49     6.93    -4.06      .54     5.55      .67    -1.26      .17
