#   W       w(lab)    sigT     sigL     sigLT   sigLT'   sigTT'   sigL0    sigLT0  sigLT0'
# (MeV)     (MeV)     (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)
 1455.0    659.0     92.07      .00      .00      .00     7.28    44.74     5.46   -20.38
 1460.0    666.8     93.88      .00      .00      .00     9.18    45.04     5.98   -20.34
 1465.0    674.6     95.76      .00      .00      .00    11.03    45.34     6.54   -20.29
 1470.0    682.4     97.74      .00      .00      .00    12.71    45.62     7.16   -20.24
 1475.0    690.2     99.76      .00      .00      .00    14.15    45.88     7.84   -20.20
 1480.0    698.1    101.35      .00      .00      .00    15.62    46.03     8.55   -20.00
 1485.0    706.0    102.14      .00      .00      .00    17.27    46.02     9.25   -19.58
 1490.0    713.9    100.19      .00      .00      .00    20.76    45.97     9.99   -18.56
 1495.0    721.9     98.20      .00      .00      .00    23.16    45.86    10.58   -17.82
 1500.0    729.9     95.90      .00      .00      .00    24.54    45.63    11.07   -17.24
 1505.0    737.9     92.86      .00      .00      .00    25.22    45.22    11.45   -16.63
 1510.0    745.9     89.05      .00      .00      .00    25.29    44.64    11.70   -16.00
 1515.0    754.0     84.54      .00      .00      .00    24.80    43.91    11.77   -15.37
 1520.0    762.1     79.61      .00      .00      .00    23.96    43.09    11.68   -14.77
 1525.0    770.2     74.48      .00      .00      .00    22.87    42.22    11.42   -14.19
 1530.0    778.3     69.38      .00      .00      .00    21.62    41.33    11.03   -13.67
 1535.0    786.5     64.65      .00      .00      .00    20.34    40.45    10.55   -13.21
 1540.0    794.7     60.42      .00      .00      .00    19.11    39.61    10.02   -12.84
 1545.0    802.9     56.81      .00      .00      .00    17.98    38.83     9.48   -12.52
 1550.0    811.1     53.84      .00      .00      .00    16.97    38.11     8.97   -12.27
 1555.0    819.4     51.51      .00      .00      .00    16.11    37.46     8.50   -12.06
 1560.0    827.7     49.76      .00      .00      .00    15.40    36.85     8.10   -11.87
 1565.0    836.0     48.55      .00      .00      .00    14.85    36.29     7.76   -11.70
 1570.0    844.4     47.80      .00      .00      .00    14.44    35.77     7.49   -11.54
 1575.0    852.8     47.45      .00      .00      .00    14.19    35.30     7.27   -11.37
 1580.0    861.2     47.42      .00      .00      .00    14.13    34.87     7.10   -11.19
 1585.0    869.6     47.65      .00      .00      .00    14.27    34.47     6.96   -10.99
 1590.0    878.1     48.06      .00      .00      .00    14.65    34.11     6.85   -10.76
 1595.0    886.6     48.61      .00      .00      .00    15.26    33.78     6.77   -10.48
 1600.0    895.1     49.28      .00      .00      .00    16.10    33.50     6.72   -10.17
 1605.0    903.6     50.04      .00      .00      .00    17.15    33.25     6.70    -9.84
 1610.0    912.2     50.89      .00      .00      .00    18.37    33.03     6.72    -9.49
 1615.0    920.8     51.82      .00      .00      .00    19.71    32.83     6.78    -9.13
 1620.0    929.4     52.80      .00      .00      .00    21.16    32.64     6.87    -8.77
 1625.0    938.0     53.81      .00      .00      .00    22.66    32.45     6.99    -8.41
 1630.0    946.7     54.79      .00      .00      .00    24.16    32.23     7.13    -8.04
 1635.0    955.4     55.67      .00      .00      .00    25.60    31.95     7.29    -7.66
 1640.0    964.1     56.37      .00      .00      .00    26.92    31.61     7.44    -7.26
 1645.0    972.9     56.80      .00      .00      .00    28.06    31.17     7.58    -6.84
 1650.0    981.7     56.86      .00      .00      .00    28.96    30.63     7.70    -6.40
 1655.0    990.5     56.47      .00      .00      .00    29.47    30.00     7.77    -5.93
 1660.0    999.3     55.59      .00      .00      .00    29.64    29.28     7.80    -5.45
