#   W       w(lab)    sigT     sigL     sigLT   sigLT'   sigTT'   sigL0    sigLT0  sigLT0'
# (MeV)     (MeV)     (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)
 1080.0    392.2      3.12      .50      .02     -.87    -2.59      .01      .00      .10
 1085.0    398.0      8.65     1.81      .14    -2.52    -6.25      .02     -.01      .26
 1090.0    403.8     12.42     3.05      .25    -3.68    -7.79      .03     -.02      .36
 1095.0    409.6     15.77     4.31      .36    -4.67    -8.51      .03     -.03      .42
 1100.0    415.5     18.95     5.55      .44    -5.54    -8.68      .04     -.04      .45
 1105.0    421.3     22.08     6.77      .52    -6.30    -8.39      .04     -.04      .46
 1110.0    427.2     25.24     7.96      .61    -6.95    -7.71      .03     -.04      .46
 1115.0    433.2     28.49     9.11      .68    -7.51    -6.65      .03     -.04      .44
 1120.0    439.1     31.90    10.22      .74    -7.97    -5.23      .03     -.04      .40
 1125.0    445.1     35.53    11.30      .79    -8.33    -3.44      .02     -.03      .36
 1130.0    451.1     39.46    12.34      .84    -8.60    -1.27      .02     -.03      .30
 1135.0    457.2     43.76    13.35      .87    -8.77     1.31      .01     -.02      .24
 1140.0    463.2     48.51    14.33      .89    -8.85     4.32      .01     -.02      .18
 1145.0    469.3     53.80    15.28      .89    -8.83     7.80      .00     -.01      .11
 1150.0    475.4     59.72    16.20      .88    -8.71    11.77      .00      .00      .04
 1155.0    481.6     66.37    17.10      .84    -8.49    16.27      .00      .00     -.02
 1160.0    487.7     73.82    17.97      .78    -8.17    21.30      .00      .01     -.08
 1165.0    493.9     82.12    18.81      .69    -7.75    26.86      .01      .01     -.13
 1170.0    500.1     91.26    19.61      .56    -7.24    32.89      .01      .01     -.18
 1175.0    506.4    101.15    20.37      .40    -6.67    39.24      .02      .01     -.21
 1180.0    512.7    111.53    21.06      .21    -6.06    45.72      .03      .01     -.24
 1185.0    519.0    122.01    21.66     -.01    -5.45    51.97      .05      .00     -.25
 1190.0    525.3    131.97    22.15     -.25    -4.91    57.55      .06     -.01     -.26
 1195.0    531.7    140.65    22.51     -.52    -4.49    61.95      .08     -.03     -.27
 1200.0    538.0    147.26    22.74     -.74    -4.27    64.65      .11     -.05     -.29
 1205.0    544.4    151.09    22.81     -.95    -4.28    65.27      .13     -.07     -.32
 1210.0    550.9    151.78    22.77    -1.10    -4.55    63.66      .15     -.09     -.38
 1215.0    557.3    149.35    22.62    -1.18    -5.06    59.99      .18     -.11     -.45
 1220.0    563.8    144.21    22.42    -1.19    -5.75    54.64      .21     -.12     -.56
 1225.0    570.3    137.02    22.19    -1.14    -6.57    48.18      .24     -.12     -.68
 1230.0    576.9    128.55    21.97    -1.03    -7.44    41.14      .27     -.11     -.82
 1235.0    583.5    119.49    21.77     -.87    -8.31    34.03      .30     -.10     -.98
 1240.0    590.0    110.39    21.63     -.66    -9.15    27.20      .34     -.08    -1.14
 1245.0    596.7    101.62    21.52     -.44    -9.91    20.87      .37     -.06    -1.30
 1250.0    603.3     93.43    21.46     -.21   -10.60    15.15      .41     -.03    -1.47
 1255.0    610.0     85.92    21.43      .03   -11.20    10.10      .45      .00    -1.63
 1260.0    616.7     79.14    21.44      .26   -11.71     5.69      .50      .04    -1.78
 1265.0    623.4     73.06    21.47      .48   -12.15     1.87      .54      .08    -1.93
 1270.0    630.2     67.65    21.51      .69   -12.51    -1.41      .59      .11    -2.07
 1275.0    637.0     62.83    21.56      .89   -12.80    -4.22      .64      .15    -2.21
 1280.0    643.8     58.56    21.62     1.08   -13.03    -6.62      .70      .19    -2.34
 1285.0    650.6     54.77    21.66     1.25   -13.21    -8.65      .75      .23    -2.46
 1290.0    657.5     51.40    21.70     1.42   -13.33   -10.39      .81      .27    -2.57
 1295.0    664.3     48.40    21.72     1.57   -13.41   -11.86      .86      .31    -2.68
 1300.0    671.3     45.72    21.71     1.72   -13.45   -13.11      .92      .35    -2.77
 1305.0    678.2     43.34    21.68     1.84   -13.45   -14.15      .98      .39    -2.86
 1310.0    685.2     41.21    21.62     1.96   -13.42   -15.03     1.04      .43    -2.95
 1315.0    692.2     39.30    21.51     2.06   -13.35   -15.77     1.10      .47    -3.02
 1320.0    699.2     37.58    21.35     2.16   -13.26   -16.38     1.16      .50    -3.08
 1325.0    706.2     36.04    21.15     2.24   -13.13   -16.88     1.21      .54    -3.14
 1330.0    713.3     34.66    20.89     2.31   -12.98   -17.29     1.26      .57    -3.19
 1335.0    720.4     33.41    20.56     2.36   -12.81   -17.63     1.31      .60    -3.23
 1340.0    727.5     32.29    20.18     2.41   -12.61   -17.89     1.35      .62    -3.26
 1345.0    734.7     31.29    19.73     2.44   -12.39   -18.10     1.39      .65    -3.29
 1350.0    741.9     30.39    19.23     2.47   -12.17   -18.27     1.42      .67    -3.31
 1355.0    749.1     29.59    18.67     2.49   -11.92   -18.39     1.44      .69    -3.32
 1360.0    756.3     28.89    18.06     2.50   -11.67   -18.47     1.46      .71    -3.32
 1365.0    763.6     28.28    17.41     2.50   -11.42   -18.54     1.47      .73    -3.32
 1370.0    770.9     27.75    16.74     2.50   -11.17   -18.58     1.48      .74    -3.32
 1375.0    778.2     27.30    16.05     2.50   -10.93   -18.60     1.48      .76    -3.32
 1380.0    785.5     26.94    15.36     2.50   -10.70   -18.61     1.48      .77    -3.32
 1385.0    792.9     26.65    14.67     2.50   -10.48   -18.61     1.47      .79    -3.31
 1390.0    800.3     26.44    14.00     2.51   -10.27   -18.60     1.46      .81    -3.31
 1395.0    807.7     26.30    13.36     2.53   -10.08   -18.59     1.45      .83    -3.32
 1400.0    815.1     26.25    12.75     2.55    -9.91   -18.59     1.43      .86    -3.32
 1405.0    822.6     26.28    12.18     2.59    -9.76   -18.58     1.42      .88    -3.33
 1410.0    830.1     26.38    11.65     2.63    -9.62   -18.59     1.41      .92    -3.34
 1415.0    837.6     26.58    11.15     2.69    -9.50   -18.59     1.40      .95    -3.36
 1420.0    845.2     26.86    10.71     2.76    -9.39   -18.61     1.39      .99    -3.38
 1425.0    852.8     27.24    10.30     2.84    -9.31   -18.64     1.38     1.04    -3.41
 1430.0    860.4     27.73     9.94     2.93    -9.23   -18.69     1.38     1.09    -3.44
 1435.0    868.0     28.32     9.62     3.04    -9.18   -18.77     1.38     1.15    -3.47
 1440.0    875.7     29.04     9.35     3.16    -9.13   -18.87     1.38     1.22    -3.51
 1445.0    883.4     29.89     9.11     3.30    -9.10   -19.02     1.39     1.29    -3.56
 1450.0    891.1     30.90     8.92     3.46    -9.09   -19.22     1.40     1.37    -3.61
 1455.0    898.8     32.07     8.77     3.64    -9.09   -19.49     1.42     1.47    -3.66
 1460.0    906.6     33.42     8.66     3.85    -9.10   -19.83     1.45     1.57    -3.72
 1465.0    914.4     34.95     8.60     4.08    -9.11   -20.26     1.48     1.69    -3.78
 1470.0    922.2     36.74     8.58     4.35    -9.13   -20.86     1.52     1.83    -3.84
 1475.0    930.0     38.79     8.61     4.66    -9.15   -21.67     1.57     1.99    -3.91
 1480.0    937.9     40.88     8.68     4.99    -9.09   -22.48     1.63     2.16    -3.94
 1485.0    945.8     42.80     8.77     5.32    -8.92   -23.14     1.69     2.34    -3.92
 1490.0    953.7     42.77     9.13     5.87    -8.58   -21.93     1.81     2.61    -3.82
 1495.0    961.7     42.89     9.53     6.32    -8.38   -21.01     1.94     2.85    -3.78
 1500.0    969.7     43.07     9.96     6.75    -8.23   -20.36     2.08     3.08    -3.76
 1505.0    977.7     43.01    10.39     7.11    -8.08   -19.75     2.23     3.29    -3.74
 1510.0    985.7     42.58    10.81     7.41    -7.90   -19.09     2.38     3.47    -3.71
 1515.0    993.8     41.70    11.21     7.62    -7.73   -18.30     2.53     3.62    -3.67
 1520.0   1001.9     40.39    11.55     7.72    -7.57   -17.36     2.67     3.71    -3.64
 1525.0   1010.0     38.71    11.83     7.70    -7.42   -16.30     2.80     3.75    -3.61
 1530.0   1018.1     36.77    12.01     7.58    -7.31   -15.16     2.91     3.73    -3.60
 1535.0   1026.3     34.73    12.10     7.37    -7.23   -14.01     3.00     3.67    -3.60
 1540.0   1034.5     32.70    12.11     7.11    -7.20   -12.89     3.07     3.58    -3.63
 1545.0   1042.7     30.78    12.03     6.81    -7.20   -11.84     3.13     3.47    -3.67
 1550.0   1050.9     29.06    11.89     6.50    -7.22   -10.92     3.16     3.35    -3.72
 1555.0   1059.2     27.56    11.71     6.21    -7.26   -10.11     3.18     3.24    -3.79
 1560.0   1067.5     26.32    11.49     5.94    -7.32    -9.44     3.19     3.13    -3.86
 1565.0   1075.8     25.32    11.25     5.72    -7.38    -8.90     3.20     3.05    -3.93
 1570.0   1084.2     24.56    11.02     5.53    -7.44    -8.45     3.20     2.98    -4.01
 1575.0   1092.6     24.01    10.79     5.36    -7.50    -8.08     3.20     2.92    -4.08
 1580.0   1101.0     23.64    10.58     5.23    -7.55    -7.77     3.20     2.88    -4.15
 1585.0   1109.4     23.42    10.40     5.11    -7.59    -7.48     3.21     2.84    -4.22
 1590.0   1117.9     23.32    10.24     5.01    -7.61    -7.20     3.23     2.81    -4.27
 1595.0   1126.4     23.34    10.11     4.92    -7.61    -6.90     3.25     2.79    -4.31
 1600.0   1134.9     23.44    10.03     4.84    -7.58    -6.59     3.29     2.77    -4.34
 1605.0   1143.4     23.63     9.97     4.77    -7.54    -6.24     3.34     2.76    -4.36
 1610.0   1152.0     23.91     9.96     4.72    -7.48    -5.88     3.40     2.76    -4.37
 1615.0   1160.6     24.26    10.00     4.69    -7.42    -5.50     3.48     2.76    -4.37
 1620.0   1169.2     24.69    10.06     4.66    -7.34    -5.10     3.57     2.78    -4.37
 1625.0   1177.8     25.19    10.16     4.66    -7.26    -4.70     3.67     2.80    -4.36
 1630.0   1186.5     25.73    10.29     4.66    -7.16    -4.29     3.79     2.83    -4.34
 1635.0   1195.2     26.30    10.44     4.67    -7.04    -3.90     3.91     2.86    -4.31
 1640.0   1203.9     26.88    10.59     4.68    -6.90    -3.53     4.04     2.89    -4.26
 1645.0   1212.7     27.42    10.73     4.69    -6.73    -3.17     4.17     2.92    -4.19
 1650.0   1221.5     27.87    10.84     4.68    -6.51    -2.84     4.29     2.94    -4.09
 1655.0   1230.3     28.21    10.93     4.67    -6.24    -2.57     4.40     2.96    -3.96
 1660.0   1239.1     28.39    10.97     4.64    -5.92    -2.33     4.49     2.97    -3.79
 1665.0   1248.0     28.40    10.96     4.60    -5.55    -2.13     4.57     2.97    -3.58
 1670.0   1256.9     28.21    10.90     4.54    -5.14    -1.97     4.62     2.96    -3.35
 1675.0   1265.8     27.83    10.80     4.48    -4.70    -1.84     4.65     2.94    -3.09
 1680.0   1274.7     27.27    10.66     4.39    -4.25    -1.75     4.67     2.91    -2.81
 1685.0   1283.7     26.57    10.49     4.30    -3.79    -1.65     4.67     2.87    -2.53
 1690.0   1292.7     25.73    10.30     4.17    -3.36    -1.55     4.66     2.81    -2.26
 1695.0   1301.7     24.77    10.08     4.03    -2.96    -1.42     4.64     2.73    -2.01
 1700.0   1310.7     23.73     9.86     3.87    -2.61    -1.24     4.61     2.64    -1.79
 1705.0   1319.8     22.64     9.63     3.68    -2.32    -1.03     4.57     2.54    -1.60
 1710.0   1328.9     21.51     9.40     3.49    -2.07     -.78     4.54     2.43    -1.44
 1715.0   1338.0     20.39     9.18     3.30    -1.87     -.51     4.50     2.31    -1.31
 1720.0   1347.2     19.29     8.96     3.10    -1.72     -.23     4.46     2.19    -1.21
 1725.0   1356.4     18.25     8.75     2.91    -1.60      .04     4.42     2.07    -1.14
 1730.0   1365.6     17.26     8.56     2.73    -1.51      .30     4.39     1.96    -1.08
 1735.0   1374.8     16.33     8.38     2.56    -1.45      .54     4.36     1.84    -1.04
 1740.0   1384.1     15.47     8.21     2.39    -1.40      .75     4.34     1.74    -1.02
 1745.0   1393.3     14.67     8.05     2.24    -1.37      .95     4.32     1.64    -1.00
 1750.0   1402.7     13.94     7.90     2.09    -1.35     1.13     4.30     1.54     -.99
 1755.0   1412.0     13.27     7.76     1.96    -1.33     1.29     4.28     1.46     -.99
 1760.0   1421.4     12.65     7.62     1.83    -1.33     1.43     4.27     1.37     -.99
 1765.0   1430.8     12.09     7.49     1.71    -1.32     1.55     4.26     1.29    -1.00
 1770.0   1440.2     11.57     7.37     1.60    -1.33     1.66     4.25     1.21    -1.01
 1775.0   1449.6     11.09     7.25     1.49    -1.33     1.75     4.24     1.14    -1.02
 1780.0   1459.1     10.66     7.14     1.40    -1.34     1.83     4.23     1.07    -1.03
 1785.0   1468.6     10.25     7.02     1.30    -1.35     1.89     4.22     1.01    -1.05
 1790.0   1478.1      9.88     6.91     1.22    -1.36     1.95     4.21      .95    -1.06
 1795.0   1487.7      9.54     6.81     1.14    -1.37     2.00     4.20      .89    -1.07
 1800.0   1497.2      9.22     6.70     1.06    -1.38     2.03     4.19      .84    -1.09
 1805.0   1506.8      8.93     6.59      .99    -1.39     2.06     4.18      .79    -1.10
 1810.0   1516.5      8.66     6.49      .93    -1.40     2.08     4.17      .75    -1.12
 1815.0   1526.1      8.41     6.39      .87    -1.40     2.10     4.16      .70    -1.13
 1820.0   1535.8      8.18     6.29      .82    -1.41     2.10     4.14      .66    -1.15
 1825.0   1545.5      7.97     6.19      .77    -1.42     2.10     4.13      .63    -1.16
 1830.0   1555.3      7.76     6.09      .72    -1.42     2.10     4.12      .59    -1.17
 1835.0   1565.0      7.58     6.00      .68    -1.42     2.09     4.11      .56    -1.18
 1840.0   1574.8      7.41     5.91      .64    -1.43     2.07     4.09      .53    -1.19
 1845.0   1584.7      7.24     5.82      .60    -1.43     2.05     4.08      .51    -1.20
 1850.0   1594.5      7.09     5.73      .57    -1.43     2.03     4.07      .48    -1.20
 1855.0   1604.4      6.96     5.64      .55    -1.43     2.00     4.06      .46    -1.21
 1860.0   1614.3      6.83     5.56      .52    -1.42     1.97     4.05      .44    -1.22
 1865.0   1624.2      6.71     5.48      .50    -1.42     1.93     4.03      .43    -1.22
