Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T64-B08,WT-164:S040,daniel,jason,12,BLK:17 PLN:00 POS:06,MFV 08427,240,10/8/2013 2:12,,5:50:37,,,,,240.00,T59-B08,WT-166:S045,galvin,blackmer,11,BLK:17 PLN:00 POS:06,MFV 08427,5.5,10/16/2013 21:16,10/16/2013 21:22,0:06:04,,,,,5.50,T64-B13,WT163:S066,Larry,Brent,5,BLK:17 PLN:00 POS:06,MFV 08427,1.4,7/2/2014 12:38,7/2/2014 12:44,0:05:58,"1/2""",,,0.00,1.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,7,MFV 08427,BLK:17 PLN:00 POS:06,246.90,
T64-B08,WT-164:S040,Wood,James,12,BLK:17 PLN:00 POS:07,MFV 08411,127.6,10/8/2013 10:04,10/8/2013 13:22,3:18:31,swap,T59-B08,WT-166:S044,119.2,246.80,T59-B08,WT-166:S045,galvin,blackmer,11,BLK:17 PLN:00 POS:07,MFV 08411,1.7,10/16/2013 20:26,10/16/2013 20:29,0:03:05,,,,,1.70,T64-B13,WT163:S066,Larry,Brent,1,BLK:17 PLN:00 POS:07,MFV 08411,1.3,7/2/2014 10:15,7/2/2014 10:20,0:05:22,"1/4""",,,0.00,1.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,8,MFV 08411,BLK:17 PLN:00 POS:07,249.80,
T59-B08,WT-166:S044,Galvin,Blackmer,12,BLK:17 PLN:00 POS:08,MFV 03496,240.6,10/8/2013 15:26,10/8/2013 17:49,2:23:44,,,,,240.60,T59-B08,WT-166:S045,galvin,blackmer,11,BLK:17 PLN:00 POS:08,MFV 03496,1.6,10/16/2013 18:40,10/16/2013 18:44,0:04:14,,,,,1.60,T64-B13,WT163:S066,Larry,Brent,5,BLK:17 PLN:00 POS:08,MFV 03496,5,7/1/2014 15:43,7/1/2014 16:02,0:18:45,"2""",,,0.00,5.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,9,MFV 03496,BLK:17 PLN:00 POS:08,247.20,
T64-B08,WT-168:S017,daniel,jason,12,BLK:17 PLN:00 POS:09,MFV 03513,240.8,10/8/2013 20:06,10/8/2013 22:15,2:08:54,,,,,240.80,T59-B08,WT-166:S045,daniel,jason,10,BLK:17 PLN:00 POS:09,MFV 03513,3,10/16/2013 16:35,10/16/2013 16:38,0:02:57,,,,,3.00,T64-B13,WT163:S066,Larry,Brent,5,BLK:17 PLN:00 POS:09,MFV 03513,3.9,7/1/2014 11:18,7/1/2014 12:14,0:55:53,"1""",,,0.00,3.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,10,MFV 03513,BLK:17 PLN:00 POS:09,247.70,
T64-B08,WT-168:S017,daniel,jason,12,BLK:17 PLN:00 POS:10,MFV 08414,240.6,10/9/2013 0:25,10/9/2013 2:31,2:06:36,,,,,240.60,T59-B08,WT-166:S045,daniel,jason,10,BLK:17 PLN:00 POS:10,MFV 08414,4.7,10/16/2013 15:50,10/16/2013 15:56,0:06:03,,,,,4.70,T64-B13,WT163:S066,Larry,Brent,1,BLK:17 PLN:00 POS:10,MFV 08414,0.9,7/1/2014 8:11,7/1/2014 8:16,0:05:33,"1/4""",,,0.00,0.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,11,MFV 08414,BLK:17 PLN:00 POS:10,246.20,
T59-B08,WT-163-S042,wood,james,12,BLK:17 PLN:00 POS:11,MFV 08397,237.8,10/9/2013 8:30,10/9/2013 10:47,2:17:14,,,,,237.80,T59-B08,WT-166:S045,daniel,jason,10,BLK:17 PLN:00 POS:11,MFV 08397,3.9,10/16/2013 14:48,10/16/2013 15:00,0:11:17,,,,,3.90,T64-B13,WT163:S066,Cole,John,5,BLK:17 PLN:00 POS:11,MFV 08397,2.9,6/30/2014 10:48,6/30/2014 11:10,0:22:04,"1 1/2""",,,0.00,2.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,12,MFV 08397,BLK:17 PLN:00 POS:11,244.60,
T64-B08,WT-166:S043,james,larry,12,BLK:17 PLN:02 POS:00,MFV 08257,247.2,10/4/2013 8:30,10/4/2013 10:25,1:54:39,,,,,247.20,T59-B08,WT-166:S045,daniel,jason,11,BLK:17 PLN:02 POS:00,MFV 08257,3.7,10/17/2013 9:53,10/17/2013 9:56,0:03:17,,,,,3.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,13,MFV 08257,BLK:17 PLN:02 POS:00,250.90,
T64-B08,WT-166:S043,james,larry,12,BLK:17 PLN:02 POS:01,MFV 08285,43.5,10/4/2013 12:11,10/4/2013 14:20,2:08:56,swap,T64-B08,WT-116:S041,198.9,242.40,T59-B08,WT-166:S045,daniel,jason,11,BLK:17 PLN:02 POS:01,MFV 08285,2.2,10/17/2013 8:02,10/17/2013 8:04,0:02:51,,,,,2.20,T64-B13,WT163:S066,larry,brent,,BLK:17 PLN:02 POS:01,MFV 08285,,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,14,MFV 08285,BLK:17 PLN:02 POS:01,244.60,
T64-B08,WT-116:S041,wood,james,12,BLK:17 PLN:02 POS:02,MFV 08268,243.4,10/7/2013 7:21,10/7/2013 9:12,1:50:53,,,,,243.40,T59-B08,WT-166:S045,galvin,blackmer,11,BLK:17 PLN:02 POS:02,MFV 08268,3.7,10/17/2013 3:16,10/17/2013 3:17,0:01:14,,,,,3.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,15,MFV 08268,BLK:17 PLN:02 POS:02,247.10,
T64-B08,WT-165:S040,wood,james,12,BLK:17 PLN:02 POS:03,MFV 08248,242.7,10/7/2013 11:18,10/7/2013 13:12,1:53:45,,,,,242.70,T59-B08,WT-166:S045,galvin,blackmer,11,BLK:17 PLN:02 POS:03,MFV 08248,6.2,10/17/2013 2:00,10/17/2013 2:05,0:05:35,,,,,6.20,T64-B13,WT163:S066,larry,brent,5,BLK:17 PLN:02 POS:03,MFV 08248,0.7,7/3/2014 12:54,7/3/2014 12:57,0:02:42,"3/16""",,,0.00,0.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,16,MFV 08248,BLK:17 PLN:02 POS:03,249.60,
