Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64-B09,WT-168:S019,daniel,jason,11,BLK:19 PLN:00 POS:00,MFV 08866,177.8,10/31/2013 14:15,10/31/2013 16:01,1:46:08,swap,T64-B09,WT-164:S044,67.1,244.90,T59-B09,WT-164:S046,daniel,gary,7,BLK:19 PLN:00 POS:00,MFV 08866,4.9,11/13/2013 20:02,11/13/2013 20:08,0:05:18,,,,,4.90,T64-B13,WT169:S064,Larry,Brent,5,BLK:19 PLN:00 POS:00,MFV 08866,2.3,7/11/2014 9:07,7/11/2014 9:13,0:06:45,"1""",,,0.00,2.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 08866,BLK:19 PLN:00 POS:00,252.10,
T64-B09,WT-164:S044,galvin,blackmer,11,BLK:19 PLN:00 POS:01,MFV 09108,245.4,10/31/2013 18:15,10/31/2013 19:58,1:42:36,,,,,245.40,T59-B09,WT-164:S046,daniel,gary,7,BLK:19 PLN:00 POS:01,MFV 09108,5,11/13/2013 18:50,11/13/2013 18:55,0:04:55,,,,,5.00,T64-B13,WT169:S064,Larry,Brent,5,BLK:19 PLN:00 POS:01,MFV 09108,2.2,7/10/2014 15:42,7/10/2014 15:53,0:11:23,"3/4'""",,,0.00,2.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 09108,BLK:19 PLN:00 POS:01,252.60,
T64-B09,WT-163:S046,galvin,blackmer,11,BLK:19 PLN:00 POS:02,MFV 09097,249.7,10/31/2013 23:45,11/1/2013 2:16,2:31:21,,,,,249.70,T59-B09,WT-164:S046,daniel,gary,7,BLK:19 PLN:00 POS:02,MFV 09097,1.5,11/13/2013 17:44,11/13/2013 17:46,0:02:19,,,,,1.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 09097,BLK:19 PLN:00 POS:02,251.20,
T64-B09,WT-163:S046,daniel,tommy,11,BLK:19 PLN:00 POS:03,MFV 09114,247.9,11/1/2013 8:37,11/1/2013 9:55,1:18:38,,,,,247.90,T59-B09,WT-164:S046,wood,james,7,BLK:19 PLN:00 POS:03,MFV 09114,4.8,11/13/2013 15:51,11/13/2013 15:57,0:05:34,,,,,4.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 09114,BLK:19 PLN:00 POS:03,252.70,
T64-B09,WT-164:S044,daniel,tommy,11,BLK:19 PLN:00 POS:04,MFV 09106,250.7,11/1/2013 12:30,11/1/2013 14:47,2:17:19,,,,,250.70,T59-B09,WT-164:S046,wood,james,7,BLK:19 PLN:00 POS:04,MFV 09106,0.7,11/13/2013 15:04,11/13/2013 15:09,0:05:39,,,,,0.70,T64-B13,WT169:S064,Larry,Brent,5,BLK:19 PLN:00 POS:04,MFV 09106,1.8,7/10/2014 9:22,7/10/2014 9:29,0:06:56,"1 5/8""",,,0.00,1.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 09106,BLK:19 PLN:00 POS:04,253.20,
T64-B09,WT-164:S044,daniel,jason,11,BLK:19 PLN:00 POS:05,MFV 09111,174.5,11/4/2013 8:38,11/4/2013 10:41,2:02:33,swap,T64-B09,WT-169:S044,70.9,245.40,T59-B09,WT-164:S046,wood,james,7,BLK:19 PLN:00 POS:05,MFV 09111,4.7,11/13/2013 13:31,11/13/2013 13:35,0:04:25,,,,,4.70,T64-B13,WT169:S064,Larry,Cole,5,BLK:19 PLN:00 POS:05,MFV 09111,1.4,7/9/2014 15:22,7/9/2014 15:36,0:14:11,"3/4""",,,0.00,1.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 09111,BLK:19 PLN:00 POS:05,251.50,
