Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T064-B03,WT-163:S014,galvin,blackmer,7,BLK:04 PLN:25 POS:06,MFV 04491,248.4,4/8/2013 15:56,4/8/2013 18:17,2:21:10,,,,,248.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,147,MFV 04491,BLK:04 PLN:25 POS:06,248.40
T064-B03,WT-163:S014,daniel,jason,2,BLK:04 PLN:25 POS:01,MFV 01920,250.6,4/8/2013 18:03,4/8/2013 20:21,2:18:07,,,,,250.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,148,MFV 01920,BLK:04 PLN:25 POS:01,250.60
T064-B03,WT-163:S014,daniel,jason,5,BLK:04 PLN:25 POS:02,MFV 01929,251.1,4/8/2013 18:09,4/8/2013 20:30,2:21:08,,,,,251.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,149,MFV 01929,BLK:04 PLN:25 POS:02,251.10
T064-B03,WT-163:S014,daniel,jason,4,BLK:04 PLN:23 POS:05,MFV 04498,250.6,4/8/2013 18:21,4/8/2013 20:51,2:29:23,,,,,250.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,150,MFV 04498,BLK:04 PLN:23 POS:05,250.60
T064-B03,WT-163:S014,daniel,jason,7,BLK:04 PLN:25 POS:07,MFV 01894,250.6,4/8/2013 18:17,4/8/2013 20:38,2:20:13,,,,,250.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,151,MFV 01894,BLK:04 PLN:25 POS:07,250.60
T064-B03,WT-163:S014,daniel,jason,9,BLK:04 PLN:25 POS:09,MFV 01885,250.8,4/8/2013 18:15,4/8/2013 20:31,2:16:33,,,,,250.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,152,MFV 01885,BLK:04 PLN:25 POS:09,250.80
T064-B03,WT-163:S014,daniel,jason,11,BLK:04 PLN:25 POS:11,MFV 01604,251.3,4/8/2013 18:12,4/8/2013 20:27,2:14:49,,,,,251.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,153,MFV 01604,BLK:04 PLN:25 POS:11,251.30
T064-B03,WT-163:S014,daniel,jason,2,BLK:04 PLN:27 POS:00,MFV 00653,250.4,4/8/2013 20:21,4/8/2013 22:52,2:30:52,,,,,250.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,154,MFV 00653,BLK:04 PLN:27 POS:00,250.40
T064-B03,WT-163:S014,daniel,jason,5,BLK:04 PLN:25 POS:03,MFV 01959,251.4,4/8/2013 20:30,4/8/2013 22:58,2:27:53,,,,,251.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,155,MFV 01959,BLK:04 PLN:25 POS:03,251.40
T064-B03,WT-163:S014,daniel,jason,4,BLK:04 PLN:25 POS:04,MFV 04489,249.3,4/8/2013 20:51,4/8/2013 23:18,2:27:36,,,,,249.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,156,MFV 04489,BLK:04 PLN:25 POS:04,249.30
T064-B03,WT-163:S014,daniel,jason,7,BLK:04 PLN:27 POS:06,MFV 00323,253.7,4/8/2013 20:38,4/8/2013 23:04,2:25:49,,,,,253.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,157,MFV 00323,BLK:04 PLN:27 POS:06,253.70
T064-B03,WT-163:S014,daniel,jason,9,BLK:04 PLN:27 POS:08,MFV 00369,251.1,4/8/2013 20:32,4/8/2013 22:49,2:17:26,,,,,251.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,158,MFV 00369,BLK:04 PLN:27 POS:08,251.10
T064-B03,WT-163:S014,daniel,jason,11,BLK:04 PLN:27 POS:10,MFV 01602,253.1,4/8/2013 20:48,4/8/2013 22:48,0:00:20,,,,,253.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,159,MFV 01602,BLK:04 PLN:27 POS:10,253.10
T064-B03,WT-163:S014,daniel,jason,2,BLK:04 PLN:27 POS:01,MFV 00065,250.4,4/8/2013 22:53,4/9/2013 1:13,2:20:15,,,,,250.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,160,MFV 00065,BLK:04 PLN:27 POS:01,250.40
T064-B03,WT-163:S014,daniel,jason,5,BLK:04 PLN:27 POS:02,MFV 00139,251.1,4/8/2013 22:58,4/9/2013 1:22,2:23:29,,,,,251.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,161,MFV 00139,BLK:04 PLN:27 POS:02,251.10
T064-B03,WT-163:S014,daniel,jason,4,BLK:04 PLN:25 POS:05,MFV 01884,250.6,4/8/2013 23:19,4/9/2013 1:52,2:33:44,,,,,250.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,162,MFV 01884,BLK:04 PLN:25 POS:05,250.60
T064-B03,WT-163:S014,daniel,jason,7,BLK:04 PLN:27 POS:07,MFV 00990,249.7,4/8/2013 23:04,4/9/2013 1:22,2:17:54,,,,,249.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,163,MFV 00990,BLK:04 PLN:27 POS:07,249.70
T064-B03,WT-163:S014,daniel,jason,9,BLK:04 PLN:27 POS:09,MFV 03654,250.6,4/8/2013 22:49,4/9/2013 1:09,2:19:51,,,,,250.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,164,MFV 03654,BLK:04 PLN:27 POS:09,250.60
T064-B03,WT-163:S014,daniel,jason,11,BLK:04 PLN:27 POS:11,MFV 00633,253.2,4/8/2013 22:48,4/9/2013 1:07,2:18:31,,,,,253.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,165,MFV 00633,BLK:04 PLN:27 POS:11,253.20
T064-B03,WT-169:S013,daniel,jason,2,BLK:04 PLN:29 POS:00,MFV 01892,251.8,4/9/2013 1:53,4/9/2013 8:05,6:12:13,,,,,251.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,166,MFV 01892,BLK:04 PLN:29 POS:00,251.80
T064-B03,WT-169:S013,daniel,jason,5,BLK:04 PLN:27 POS:03,MFV 00388,251.5,4/9/2013 1:53,4/9/2013 8:04,6:11:00,,,,,251.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,167,MFV 00388,BLK:04 PLN:27 POS:03,251.50
T064-B03,WT-169:S013,daniel,jason,4,BLK:04 PLN:27 POS:04,MFV 03096,249.4,4/9/2013 1:53,4/9/2013 8:08,6:15:01,,,,,249.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,168,MFV 03096,BLK:04 PLN:27 POS:04,249.40
T064-B03,WT-169:S013,daniel,jason,7,BLK:04 PLN:29 POS:06,MFV 01653,251.7,4/9/2013 1:53,4/9/2013 8:02,6:08:46,,,,,251.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,169,MFV 01653,BLK:04 PLN:29 POS:06,251.70
T064-B03,WT-169:S013,daniel,jason,9,BLK:04 PLN:29 POS:08,MFV 02736,252.2,4/9/2013 1:53,4/9/2013 7:59,6:05:54,,,,,252.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,170,MFV 02736,BLK:04 PLN:29 POS:08,252.20
T064-B03,WT-169:S013,daniel,jason,11,BLK:04 PLN:29 POS:10,MFV 02729,252.5,4/9/2013 1:53,4/9/2013 7:57,6:03:43,,,,,252.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,171,MFV 02729,BLK:04 PLN:29 POS:10,252.50
T064-B03,WT-169:S013,galvin,blackmer,2,BLK:04 PLN:29 POS:01,MFV 00384,250.5,4/9/2013 8:07,4/9/2013 10:40,2:32:19,,,,,250.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,172,MFV 00384,BLK:04 PLN:29 POS:01,250.50
T064-B03,WT-169:S013,galvin,blackmer,5,BLK:04 PLN:29 POS:02,MFV 01895,252.4,4/9/2013 8:04,4/9/2013 10:39,2:34:15,,,,,252.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,173,MFV 01653,BLK:04 PLN:29 POS:06,252.40
T064-B03,WT-169:S013,galvin,blackmer,4,BLK:04 PLN:27 POS:05,MFV 00372,251.7,4/9/2013 8:09,4/9/2013 10:53,2:44:34,,,,,251.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,174,MFV 02736,BLK:04 PLN:29 POS:08,251.70
T064-B03,WT-169:S013,galvin,blackmer,7,BLK:04 PLN:29 POS:07,MFV 01657,250.9,4/9/2013 8:02,4/9/2013 10:35,2:33:01,,,,,250.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,175,MFV 02729,BLK:04 PLN:29 POS:10,250.90
T064-B03,WT-169:S013,galvin,blackmer,9,BLK:04 PLN:29 POS:09,MFV 01879,252.8,4/9/2013 8:01,4/9/2013 10:29,2:27:58,,,,,252.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,176,MFV 00384,BLK:04 PLN:29 POS:01,252.80
T064-B03,WT-169:S013,galvin,blackmer,11,BLK:04 PLN:29 POS:11,MFV 00648,251.3,4/9/13 8:00,4/9/2013 10:25,2:25:35,,,,,251.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,177,MFV 01895,BLK:04 PLN:29 POS:02,251.30
T064-B03,WT-169:S013,galvin,blackmer,2,BLK:04 PLN:31 POS:00,MFV 00659,249.8,4/9/2013 10:40,4/9/2013 13:02,2:22:03,,,,,249.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,178,MFV 00372,BLK:04 PLN:27 POS:05,249.80
T064-B03,WT-169:S013,galvin,blackmer,5,BLK:04 PLN:29 POS:03,MFV 02737,252.3,4/9/2013 10:39,4/9/2013 13:06,2:27:04,,,,,252.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,179,MFV 01657,BLK:04 PLN:29 POS:07,252.30
T064-B03,WT-169:S013,galvin,blackmer,4,BLK:04 PLN:29 POS:04,MFV 03279,253.6,4/9/2013 10:54,4/9/2013 13:32,2:37:43,,,,,253.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,180,MFV 01879,BLK:04 PLN:29 POS:09,253.60
T064-B03,WT-169:S013,galvin,blackmer,7,BLK:04 PLN:29 POS:05,MFV 01901,251.7,4/9/2013 10:36,4/9/2013 13:00,2:23:56,,,,,251.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,181,MFV 00648,BLK:04 PLN:29 POS:11,251.70
T064-B03,WT-169:S013,galvin,blackmer,9,BLK:04 PLN:31 POS:08,MFV 00655,252.7,4/9/2013 10:30,4/9/2013 12:56,2:26:13,,,,,252.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,182,MFV 00659,BLK:04 PLN:31 POS:00,252.70
T064-B03,WT-169:S013,galvin,blackmer,11,BLK:04 PLN:31 POS:10,MFV 00651,251.3,4/9/2013 10:26,4/9/2013 12:43,2:16:54,,,,,251.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,183,MFV 02737,BLK:04 PLN:29 POS:03,251.30
T064-B03,WT-169:S013,galvin,blackmer,2,BLK:04 PLN:31 POS:01,MFV 00657,249.7,4/9/2013 13:03,4/9/2013 15:57,2:54:47,,,,,249.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,184,MFV 03279,BLK:04 PLN:29 POS:04,249.70
T064-B03,WT-169:S013,galvin,blackmer,5,BLK:04 PLN:31 POS:02,MFV 00631,251.8,4/9/2013 13:07,4/9/2013 15:45,2:38:25,,,,,251.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,185,MFV 01901,BLK:04 PLN:29 POS:05,251.80
T064-B03,WT-169:S013,galvin,blackmer,4,BLK:04 PLN:31 POS:04,MFV 00674,252.3,4/9/2013 13:32,4/9/2013 16:38,3:05:26,,,,,252.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,186,MFV 00655,BLK:04 PLN:31 POS:08,252.30
T064-B03,WT-169:S013,galvin,blackmer,7,BLK:04 PLN:31 POS:06,MFV 03278,249.3,4/9/2013 13:01,4/9/2013 15:37,2:36:36,,,,,249.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,187,MFV 00651,BLK:04 PLN:31 POS:10,249.30
T064-B03,WT-169:S013,galvin,blackmer,9,BLK:04 PLN:31 POS:09,MFV 00341,250.8,4/9/2013 12:56,4/9/2013 15:32,2:35:20,,,,,250.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,188,MFV 00657,BLK:04 PLN:31 POS:01,250.80
T064-B03,WT-169:S013,galvin,blackmer,11,BLK:04 PLN:31 POS:11,MFV 01600,242.5,4/9/2013 12:44,4/9/2013 15:26,2:41:45,Full,,,,242.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,189,MFV 00631,BLK:04 PLN:31 POS:02,242.50
T064-B03,WT-169:S013,galvin,blackmer,2,BLK:04 PLN:31 POS:05,MFV 01621,113,4/9/2013 16:04,4/9/2013 20:00,3:55:32,swap,T064-B03,WT-164:S013,138.5,251.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,190,MFV 00674,BLK:04 PLN:31 POS:04,251.50
T064-B03,WT-169:S013,galvin,blackmer,5,BLK:04 PLN:31 POS:03,MFV 00679,134.5,4/9/2013 15:46,4/9/2013 19:52,4:05:58,swap,T064-B03,WT-164:S013,117.9,252.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,191,MFV 03278,BLK:04 PLN:31 POS:06,252.40
T064-B03,WT-169:S013,galvin,blackmer,7,BLK:04 PLN:31 POS:07,MFV 00342,141.8,4/9/2013 15:42,4/9/2013 19:45,4:02:57,swap,T064-B03,WT-164:S013,109,250.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,192,MFV 00341,BLK:04 PLN:31 POS:09,250.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,48159.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,250.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMS,1.6725075716
