Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64-B07,WT-166:S038,daniel,jason,12,BLK:15 PLN:00 POS:00,MFV 07641,251,9/10/2013 8:26,9/10/2013 10:12,1:46:06,,,,,251.00,T59-B07,WT-116:S039,wood,james,1,BLK:15 PLN:00 POS:00,MFV 07641,2.3,9/23/2013 7:39,9/23/2013 7:45,0:05:46,,,,,2.30,T64-B13,WT163:S066,Larry,Brent,1,BLK:15 PLN:00 POS:00,MFV 07641,1.4,6/24/2014 10:49,6/24/2014 10:59,0:10:25,"1""",,,0.00,1.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 07641,BLK:15 PLN:00 POS:00,254.70,
T64-B07,WT-164:S036,daniel,jason,12,BLK:15 PLN:00 POS:01,MFV 07674,244.2,9/10/2013 12:23,9/10/2013 14:06,1:43:29,move to LL3,,,,244.20,T59-B07,WT-116:S039,wood,james,1,BLK:15 PLN:00 POS:01,MFV 07674,4.2,9/20/2013 16:16,9/20/2013 16:23,0:06:41,,,,,4.20,T64-B13,WT163:S066,Larry,Brent,1,BLK:15 PLN:00 POS:01,MFV 07674,0.7,6/24/2014 12:53,6/24/2014 12:56,0:03:38,"1/4""",,,0.00,0.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 07674,BLK:15 PLN:00 POS:01,249.10,
T64-B07,WT-164:S036,wood,james,12,BLK:15 PLN:00 POS:02,MFV 07623,243.6,9/10/2013 17:23,9/10/2013 19:11,1:47:49,,,,,243.60,T59-B07,WT-116:S039,wood,james,1,BLK:15 PLN:00 POS:02,MFV 07623,4.5,9/20/2013 14:08,9/20/2013 14:15,0:06:44,,,,,4.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 07623,BLK:15 PLN:00 POS:02,248.10,
T59-B07,WT-163:S037,wood,james,12,BLK:15 PLN:00 POS:03,MFV 07665,246.6,9/10/2013 21:15,9/10/2013 23:15,1:59:41,,,,,246.60,T59-B07,WT-116:S039,wood,james,1,BLK:15 PLN:00 POS:03,MFV 07665,3.7,9/20/2013 12:41,9/20/2013 12:48,0:07:18,,,,,3.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 07665,BLK:15 PLN:00 POS:03,250.30,
T59-B07,WT-165:S036,wood,james,12,BLK:15 PLN:00 POS:04,MFV 07605,85.9,9/11/2013 1:09,9/11/2013 3:14,2:05:02,swap,T59-B07,WT-165:S036,160.6,246.50,T59-B07,WT-116:S039,wood,james,1,BLK:15 PLN:00 POS:04,MFV 07605,1.7,9/20/2013 10:17,9/20/2013 10:25,0:07:44,,,,,1.70,T64-B13,WT163:S066,Larry,Brent,1,BLK:15 PLN:00 POS:04,MFV 07605,3.4,6/27/2014 8:13,6/27/2014 8:30,0:16:06,3/16',,,0.00,3.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 07605,BLK:15 PLN:00 POS:04,251.60,
T59-B07,WT-165:S036,daniel,jason,12,BLK:15 PLN:00 POS:05,MFV 07656,247.6,9/11/2013 8:31,9/11/2013 10:28,1:57:35,,,,,247.60,T59-B07,WT-116:S039,wood,james,1,BLK:15 PLN:00 POS:05,MFV 07656,1.8,9/20/2013 9:03,9/20/2013 9:08,0:04:41,,,,,1.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 07656,BLK:15 PLN:00 POS:05,249.40,
