Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,,
T64-B11,WT-169:SO53,galvin,cole,10,BLK:23 PLN:04 POS:09,MFV 10027,233.2,1/21/2014 17:49,1/21/2014 20:08,2:18:58,20 min.delay due to hot oil.,,,,233.20,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:04 POS:09,MFV 10027,0.9,1/30/2014 2:08,1/30/2014 2:11,0:02:45,,,,,0.90,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:04 POS:09,MFV 10027,3.6,7/23/2014 12:56,7/23/2014 13:12,0:16:01,"2""",,,0.00,3.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,34,MFV 10027,BLK:23 PLN:04 POS:09,237.70,,
T-64-B11,WT-165:S055,galvin,cole,10,BLK:23 PLN:04 POS:10,MFV 10049,237.8,1/21/2014 22:33,1/22/2014 0:39,2:06:36,,,,,237.80,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:04 POS:10,MFV 10049,0.6,1/30/2014 0:51,1/30/2014 0:53,0:02:30,,,,,0.60,T64-B13,WT169:S064,Jay/John,Cole,5,BLK:23 PLN:04 POS:10,MFV 10049,3.6,7/21/2014 16:25,7/21/2014 16:40,0:15:24,1 1/4 inch,,,0.00,3.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,35,MFV 10049,BLK:23 PLN:04 POS:10,242.00,,
T64-B11,WT-166:SO57,galvin,cole,10,BLK:23 PLN:04 POS:11,MFV 02091,42.7,1/22/2014 2:46,1/22/2014 9:45,6:58:47,forty min to swap tanker,T64-B11,WT-166:SO57,198.1,240.80,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:04 POS:11,MFV 02091,5.1,1/29/2014 23:50,1/30/2014 0:02,0:12:48,,,,,5.10,T64-B13,WT169:S064,Jay/John,Cole,1,BLK:23 PLN:04 POS:11,MFV 02091,2.1,7/21/2014 13:36,7/21/2014 13:46,0:09:57,"1""",,,0.00,2.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,36,MFV 02091,BLK:23 PLN:04 POS:11,248.00,,
T059-B10,WT-163:SO54,larry,don,11,BLK:23 PLN:06 POS:00,MFV 01010,247,1/14/2014 15:56,1/14/2014 18:38,2:42:22,one hr delay prime pump and setup LL4,,,,247.00,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:06 POS:00,MFV 01010,2.4,1/30/2014 19:04,1/30/2014 19:10,0:05:46,,,,,2.40,T64-B13,WT169:S064,Larry,Cole,9,BLK:23 PLN:06 POS:00,MFV 01010,1.4,7/29/2014 12:21,7/29/2014 12:28,0:07:18,"1/8""",,,0.00,1.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,37,MFV 01010,BLK:23 PLN:06 POS:00,250.80,,
T059-B10,WT-163:S054,galvin,tommy,11,BLK:23 PLN:06 POS:01,MFV 10061,245,1/14/2014 20:28,1/14/2014 22:15,1:46:53,,,,,245.00,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:06 POS:01,MFV 10061,1.1,1/30/2014 17:58,1/30/2014 18:01,0:03:08,,,,,1.10,T64-B13,WT169:S064,Larry,Cole,9,BLK:23 PLN:06 POS:01,MFV 10061,2.5,7/29/2014 9:28,7/29/2014 9:41,0:12:18,"1/2""",,,0.00,2.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,38,MFV 10061,BLK:23 PLN:06 POS:01,248.60,,
T64-B11,WT-166:S056,galvin,tommy,10,BLK:23 PLN:06 POS:02,MFV 10015,243.6,1/15/2014 1:57,,,25min. Delay moved to ll3.,,,,243.60,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:06 POS:02,MFV 10015,0.9,1/30/2014 15:50,1/30/2014 15:52,0:02:14,,,,,0.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,39,MFV 10015,BLK:23 PLN:06 POS:02,244.50,,
T64-B11,WT-166:S056,don ,larry,10,BLK:23 PLN:06 POS:03,MFV 10016,191.1,1/15/2014 9:25,1/15/2014 12:06,2:40:36,swap,T59-B10,WT-168:S028,46,237.10,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:06 POS:03,MFV 10016,1.3,1/30/2014 14:32,1/30/2014 14:36,0:04:16,delay 30 min unable to find bluetooth,,,,1.30,T64-B13,WT169:S064,Ron/Perko,Cole,5,BLK:23 PLN:06 POS:03,MFV 10016,0.6,7/28/2014 13:25,7/28/2014 13:26,0:01:27,"1/8""",,,0.00,0.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,40,MFV 10016,BLK:23 PLN:06 POS:03,239.00,,
T59-B10,WT-168:S028,don ,larry,10,BLK:23 PLN:06 POS:04,MFV 10044,238.2,1/15/2014 13:43,1/15/2014 15:35,1:52:05,,,,,238.20,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:06 POS:04,MFV 10044,0.6,1/30/2014 13:28,1/30/2014 13:31,0:03:16,,,,,0.60,T64-B13,WT169:S064,Larry,Trina,9,BLK:23 PLN:06 POS:04,MFV 10044,3,7/29/2014 16:06,7/29/2014 16:29,0:22:58,"3/4""",,,0.00,3.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,41,MFV 10044,BLK:23 PLN:06 POS:04,241.80,,
T59-B10,WT-168:S028,galvin,cole,10,BLK:23 PLN:06 POS:05,MFV 10070,55.6,1/15/2014 18:22,1/15/2014 22:00,3:38:27,1hr .50min. Delay due to swap and cold oil.,T64-B11,WT-165:S056,181.6,237.20,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:06 POS:05,MFV 10070,0.5,1/30/2014 11:49,1/30/2014 11:51,0:01:59,delay 45 min setup on LL3,,,,0.50,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:06 POS:05,MFV 10070,3.3,7/25/2014 13:58,7/25/2014 14:26,0:27:15,"1 1/8""",,,0.00,3.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,42,MFV 10070,BLK:23 PLN:06 POS:05,241.00,,
T64-B11,WT-165:S056,galvin,cole,10,BLK:23 PLN:06 POS:06,MFV 10029,228.7,1/16/2014 1:00,1/16/2014 2:55,1:54:06,pumped tanker 165 dry at 7:30 am,,,,228.70,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:06 POS:06,MFV 10029,1.1,1/30/2014 10:12,1/30/2014 10:15,0:03:15,,,,,1.10,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:06 POS:06,MFV 10029,4.3,7/25/2014 11:17,7/25/2014 12:21,1:03:27,"1 1/2""",,,0.00,4.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,43,MFV 10029,BLK:23 PLN:06 POS:06,234.10,,
T64-B11,WT-116:SO54,galvin,tommy,10,BLK:23 PLN:06 POS:07,MFV 04654,231.6,1/16/2014 17:39,1/16/2014 19:47,2:07:34,FULL,,,,231.60,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:06 POS:07,MFV 04654,0.5,1/30/2014 8:36,1/30/2014 8:39,0:03:57,,,,,0.50,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:06 POS:07,MFV 04654,3.8,7/25/2014 7:43,7/25/2014 7:58,0:15:03,"3/4""",,,0.00,3.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,44,MFV 04654,BLK:23 PLN:06 POS:07,235.90,,
T64-B11,WT-116:SO54,galvin,tommy,10,BLK:23 PLN:06 POS:08,MFV 02250,212.7,1/16/2014 21:47,1/21/2014 11:04,109:17:26,swap stopped filling at 11:45 pm. No oil.,T64-B11,WT-169:SO53,30.9,243.60,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:06 POS:08,MFV 02250,2.2,1/30/2014 7:32,1/30/2014 7:38,0:06:34,delay 30 min for setup on LL2,,,,2.20,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:06 POS:08,MFV 02250,2.2,7/24/2014 7:06,7/24/2014 7:17,0:11:17,"1/4""",,,0.00,2.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,45,MFV 02250,BLK:23 PLN:06 POS:08,248.00,,
T64-B11,WT-169:SO53,larry,don,10,BLK:23 PLN:06 POS:09,MFV 04724,240,1/21/2014 14:44,1/21/2014 17:48,3:04:26,one hr to move to LL1,,,,240.00,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:06 POS:09,MFV 04724,0.9,1/30/2014 2:04,1/30/2014 2:08,0:03:21,,,,,0.90,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:06 POS:09,MFV 04724,3.5,7/23/2014 13:13,7/23/2014 13:27,0:14:17,"1 3/4""",,,0.00,3.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,46,MFV 04724,BLK:23 PLN:06 POS:09,244.40,,
T64-B11,WT-169:SO53,galvin,cole,10,BLK:23 PLN:06 POS:10,MFV 04758,70.5,1/21/2014 20:08,1/21/2014 22:32,2:24:12,SWAP,T-64-B11,WT-165:S055,169.1,239.60,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:06 POS:10,MFV 04758,1.3,1/30/2014 0:46,1/30/2014 0:51,0:04:18,,,,,1.30,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:06 POS:10,MFV 04758,3.7,7/23/2014 7:50,7/23/2014 8:06,0:16:30,"1""",,,0.00,3.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,47,MFV 04758,BLK:23 PLN:06 POS:10,244.60,,
T-64-B11,WT-165:S055,galvin,cole,10,BLK:23 PLN:06 POS:11,MFV 01007,235.8,1/22/2014 0:40,1/22/2014 2:46,2:05:49,,,,,235.80,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:06 POS:11,MFV 01007,1.7,1/29/2014 23:42,1/29/2014 23:49,0:07:18,,,,,1.70,T64-B13,WT169:S064,Jay/John,Cole,1,BLK:23 PLN:06 POS:11,MFV 01007,3.7,7/21/2014 13:19,7/21/2014 13:35,0:16:02,"1 3/4""",,,0.00,3.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,48,MFV 01007,BLK:23 PLN:06 POS:11,241.20,,
T059-B10,WT-163:S054,galvin,tommy,10,BLK:23 PLN:08 POS:00,MFV 00078,245.2,1/14/2014 18:44,1/14/2014 20:33,1:48:22,,,,,245.20,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:08 POS:00,MFV 00078,2,1/30/2014 18:59,1/30/2014 19:04,0:04:52,,,,,2.00,T64-B13,WT169:S064,Larry,Cole,9,BLK:23 PLN:08 POS:00,MFV 00078,0.5,7/29/2014 11:24,7/29/2014 11:28,0:04:49,"1/8""",,,0.00,0.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,49,MFV 00078,BLK:23 PLN:08 POS:00,247.70,,
T059-B10,WT-163:S054,galvin,tommy,10,BLK:23 PLN:08 POS:01,MFV 00971,101.5,1/14/2014 22:24,1/15/2014 0:22,1:57:51,swap 20min.,T64-B11,WT-166:S056,138.6,240.10,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:08 POS:01,MFV 00971,4.6,1/30/2014 17:47,1/30/2014 17:58,0:10:48,,,,,4.60,T64-B13,WT169:S064,Larry,Cole,9,BLK:23 PLN:08 POS:01,MFV 00971,2.1,7/29/2014 9:17,7/29/2014 9:27,0:10:03,"1/4""",,,0.00,2.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,50,MFV 00971,BLK:23 PLN:08 POS:01,246.80,,
T64-B11,WT-166:S056,don ,larry,9,BLK:23 PLN:08 POS:02,MFV 00969,243.1,1/15/2014 7:30,1/15/2014 9:20,1:50:14,,,,,243.10,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:08 POS:02,MFV 00969,1.5,1/30/2014 15:53,1/30/2014 15:56,0:03:03,,,,,1.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,51,MFV 00969,BLK:23 PLN:08 POS:02,244.60,,
T59-B10,WT-168:S028,don ,larry,9,BLK:23 PLN:08 POS:03,MFV 03108,244.3,1/15/2014 11:55,1/15/2014 13:39,1:43:42,,,,,244.30,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:08 POS:03,MFV 03108,1.4,1/30/2014 14:36,1/30/2014 14:40,0:03:23,delay 30 min unable to find bluetooth,,,,1.40,T64-B13,WT169:S064,Ron/Perko,Cole,5,BLK:23 PLN:08 POS:03,MFV 03108,4.5,7/28/2014 13:31,7/28/2014 13:43,0:12:03,"1 """,,,0.00,4.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,52,MFV 03108,BLK:23 PLN:08 POS:03,250.20,,
T59-B10,WT-168:S028,don ,larry,9,BLK:23 PLN:08 POS:04,MFV 00986,243.4,1/15/2014 15:31,1/15/2014 18:22,2:51:59,,,,,243.40,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:08 POS:04,MFV 00986,0.7,1/30/2014 13:32,1/30/2014 13:34,0:02:05,,,,,0.70,T64-B13,WT169:S064,Ron/Perko,Cole,1,BLK:23 PLN:08 POS:04,MFV 00986,2.4,7/28/2014 9:39,7/28/2014 10:01,0:22:02,"3/8""",,,0.00,2.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,53,MFV 00986,BLK:23 PLN:08 POS:04,246.50,,
T64-B11,WT-165:S056,galvin,cole,9,BLK:23 PLN:08 POS:05,MFV 00069,242.6,1/15/2014 21:55,1/15/2014 23:52,1:56:37,,,,,242.60,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:08 POS:05,MFV 00069,0.2,1/30/2014 11:51,1/30/2014 11:53,0:02:01,delay 45 min setup on LL3,,,,0.20,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:08 POS:05,MFV 00069,3,7/25/2014 14:30,7/25/2014 15:20,0:49:55,"1""",,,0.00,3.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,54,MFV 00069,BLK:23 PLN:08 POS:05,245.80,,
T64-B11,WT-116:SO54,galvin,cole,9,BLK:23 PLN:08 POS:06,MFV 00991,97.7,1/16/2014 2:53,1/16/2014 17:52,14:59:00,swap,T64-B11,WT-165:S056,137.7,235.40,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:08 POS:06,MFV 00991,0.8,1/30/2014 10:15,1/30/2014 10:17,0:02:04,,,,,0.80,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:08 POS:06,MFV 00991,3.4,7/25/2014 11:04,7/25/2014 11:17,0:13:06,"1""",,,0.00,3.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,55,MFV 00991,BLK:23 PLN:08 POS:06,239.60,,
T64-B11,WT-116:SO54,galvin,tommy,9,BLK:23 PLN:08 POS:07,MFV 04612,231.3,1/16/2014 20:22,1/16/2014 22:21,1:59:01,FULL,,,,231.30,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:08 POS:07,MFV 04612,0.5,1/30/2014 8:40,1/30/2014 8:42,0:02:11,,,,,0.50,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:08 POS:07,MFV 04612,5.5,7/25/2014 7:20,7/25/2014 7:42,0:20:02,"1 1/2""",,,0.00,5.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,56,MFV 04612,BLK:23 PLN:08 POS:07,237.30,,
T64-B11,WT-169:SO53,larry,don,9,BLK:23 PLN:08 POS:08,MFV 00150,246.4,1/21/2014 11:50,1/21/2014 13:46,1:55:15,15 min delay for warm oil,,,,246.40,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:08 POS:08,MFV 00150,1.7,1/30/2014 7:38,1/30/2014 7:43,0:04:47,delay 30 min for setup on LL2,,,,1.70,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:08 POS:08,MFV 00150,2.2,7/23/2014 16:20,7/23/2014 16:34,0:14:04,"3/8""",,,0.00,2.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,57,MFV 00150,BLK:23 PLN:08 POS:08,250.30,,
T64-B11,WT-169:SO53,galvin,cole,9,BLK:23 PLN:08 POS:09,MFV 00089,245.4,1/21/2014 17:53,1/21/2014 20:19,2:26:10,20 min.delay due to hot oil.,,,,245.40,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:08 POS:09,MFV 00089,0.3,1/30/2014 2:03,1/30/2014 2:04,0:01:27,,,,,0.30,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:08 POS:09,MFV 00089,3.1,7/23/2014 13:16,7/23/2014 13:29,0:12:52,"1 1/16""",,,0.00,3.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,58,MFV 00089,BLK:23 PLN:08 POS:09,248.80,,
T-64-B11,WT-165:S055,galvin,cole,9,BLK:23 PLN:08 POS:10,MFV 09374,234.7,1/21/2014 22:41,1/22/2014 0:55,2:13:23,,,,,234.70,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:08 POS:10,MFV 09374,0.6,1/30/2014 0:44,1/30/2014 0:46,0:02:33,,,,,0.60,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:08 POS:10,MFV 09374,4.1,7/23/2014 8:07,7/23/2014 9:13,1:06:05,"1 7/16""",,,0.00,4.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,59,MFV 09374,BLK:23 PLN:08 POS:10,239.40,,
T64-B11,WT-166:SO57,galvin,cole,9,BLK:23 PLN:08 POS:11,MFV 01505,69,1/22/2014 2:59,1/22/2014 10:01,7:01:25,forty min to swap tanker,T64-B11,WT-166:SO57,167.2,236.20,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:08 POS:11,MFV 01505,0.3,1/29/2014 23:37,1/29/2014 23:42,0:04:37,,,,,0.30,T64-B13,WT169:S064,Jay/John,Cole,1,BLK:23 PLN:08 POS:11,MFV 01505,4.3,7/21/2014 13:00,7/21/2014 13:19,0:18:23,"2 1/8""",,,0.00,4.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,60,MFV 01505,BLK:23 PLN:08 POS:11,240.80,,
T059-B10,WT-163:SO54,larry,don,10,BLK:23 PLN:10 POS:00,MFV 10005,245.6,1/14/2014 15:56,1/14/2014 18:44,2:48:05,one hr delay prime pump and setup LL4,,,,245.60,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:10 POS:00,MFV 10005,1.2,1/30/2014 18:55,1/30/2014 18:59,0:03:38,,,,,1.20,T64-B13,WT169:S064,Larry,Cole,9,BLK:23 PLN:10 POS:00,MFV 10005,0.6,7/29/2014 10:54,7/29/2014 10:58,0:03:31,"1/8""",,,0.00,0.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,61,MFV 10005,BLK:23 PLN:10 POS:00,247.40,,
T059-B10,WT-163:S054,galvin,tommy,10,BLK:23 PLN:10 POS:01,MFV 00964,244.1,1/14/2014 20:33,1/14/2014 22:24,1:50:49,,,,,244.10,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:10 POS:01,MFV 00964,3.3,1/30/2014 17:39,1/30/2014 17:47,0:07:20,,,,,3.30,T64-B13,WT169:S064,Larry,Cole,9,BLK:23 PLN:10 POS:01,MFV 00964,1.2,7/29/2014 9:09,7/29/2014 9:16,0:07:00,"3/8""",,,0.00,1.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,62,MFV 00964,BLK:23 PLN:10 POS:01,248.60,,
T64-B11,WT-166:S056,galvin,tommy,9,BLK:23 PLN:10 POS:02,MFV 02347,247,1/15/2014 1:57,,,25min. Delay moved to ll3.,,,,247.00,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:10 POS:02,MFV 02347,3.2,1/30/2014 15:57,1/30/2014 16:00,0:03:28,,,,,3.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,63,MFV 02347,BLK:23 PLN:10 POS:02,250.20,,
T64-B11,WT-166:S056,don ,larry,9,BLK:23 PLN:10 POS:03,MFV 03112,198.8,1/15/2014 9:21,1/15/2014 12:05,2:44:36,swap,T59-B10,WT-168:S028,48.7,247.50,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:10 POS:03,MFV 03112,1.7,1/30/2014 14:40,1/30/2014 14:43,0:03:18,delay 30 min unable to find bluetooth,,,,1.70,T64-B13,WT169:S064,Ron/Perko,Cole,1,BLK:23 PLN:10 POS:03,MFV 03112,2.3,7/28/2014 13:50,7/28/2014 14:00,0:09:52,"1/2""",,,0.00,2.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,64,MFV 03112,BLK:23 PLN:10 POS:03,251.50,,
T59-B10,WT-168:S028,don ,larry,9,BLK:23 PLN:10 POS:04,MFV 03864,245.6,1/15/2014 13:39,1/15/2014 15:30,1:50:38,,,,,245.60,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:10 POS:04,MFV 03864,2.5,1/30/2014 13:35,1/30/2014 13:40,0:04:56,,,,,2.50,T64-B13,WT169:S064,Ron/Perko,Cole,1,BLK:23 PLN:10 POS:04,MFV 03864,1.2,7/28/2014 9:33,7/28/2014 9:38,0:04:48,"1/8""",,,0.00,1.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,65,MFV 03864,BLK:23 PLN:10 POS:04,249.30,,
T59-B10,WT-168:S028,galvin,cole,9,BLK:23 PLN:10 POS:05,MFV 00995,52.8,1/15/2014 18:24,1/15/2014 21:55,3:31:04,1hr .50min. Delay due to swap and cold oil.,T64-B11,WT-165:S056,191.3,244.10,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:10 POS:05,MFV 00995,4.4,1/30/2014 11:54,1/30/2014 12:02,0:08:08,delay 45 min setup on LL3,,,,4.40,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:10 POS:05,MFV 00995,1.3,7/25/2014 15:22,7/25/2014 15:33,0:10:58,"1/2""",,,0.00,1.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,66,MFV 00995,BLK:23 PLN:10 POS:05,249.80,,
T64-B11,WT-165:S056,galvin,cole,9,BLK:23 PLN:10 POS:06,MFV 00984,243,1/16/2014 1:00,1/16/2014 2:53,1:52:45,pumped tanker 165 dry at 7:30 am,,,,243.00,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:10 POS:06,MFV 00984,5.2,1/30/2014 10:17,1/30/2014 10:26,0:08:50,,,,,5.20,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:10 POS:06,MFV 00984,0.8,7/25/2014 10:59,7/25/2014 11:03,0:03:25,"3/8""",,,0.00,0.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,67,MFV 00984,BLK:23 PLN:10 POS:06,249.00,,
T64-B11,WT-116:SO54,galvin,tommy,9,BLK:23 PLN:10 POS:07,MFV 00954,244.5,1/16/2014 17:52,1/16/2014 20:22,2:29:51,,,,,244.50,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:10 POS:07,MFV 00954,3.8,1/30/2014 8:42,1/30/2014 8:50,0:07:46,,,,,3.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,68,MFV 00954,BLK:23 PLN:10 POS:07,248.30,,
T64-B11,WT-116:SO54,galvin,tommy,9,BLK:23 PLN:10 POS:08,MFV 00973,134.6,1/16/2014 22:21,1/21/2014 11:50,109:28:28,swap stopped filling at 11:45 pm. No oil.,T64-B11,WT-169:SO53,95.2,229.80,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:10 POS:08,MFV 00973,3.1,1/30/2014 7:43,1/30/2014 7:52,0:08:41,delay 30 min for setup on LL2,,,,3.10,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:10 POS:08,MFV 00973,2.4,7/23/2014 16:06,7/23/2014 16:18,0:11:49,"2""",,,0.00,2.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,69,MFV 00973,BLK:23 PLN:10 POS:08,235.30,,
T64-B11,WT-169:SO53,larry,don,9,BLK:23 PLN:10 POS:09,MFV 02149,238.9,1/21/2014 14:44,1/21/2014 17:52,3:08:07,one hr to move to LL1,,,,238.90,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:10 POS:09,MFV 02149,0.2,1/30/2014 1:59,1/30/2014 2:02,0:02:47,,,,,0.20,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:10 POS:09,MFV 02149,4.9,7/23/2014 12:54,7/23/2014 13:15,0:20:49,"1 7/8""",,,0.00,4.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,70,MFV 02149,BLK:23 PLN:10 POS:09,244.00,,
T64-B11,WT-169:SO53,galvin,cole,9,BLK:23 PLN:10 POS:10,MFV 03565,52.8,1/21/2014 20:20,1/21/2014 22:41,2:21:11,SWAP,T-64-B11,WT-165:S055,179.6,232.40,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:10 POS:10,MFV 03565,0.7,1/30/2014 0:40,1/30/2014 0:44,0:04:05,,,,,0.70,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:10 POS:10,MFV 03565,4.3,7/23/2014 9:15,7/23/2014 9:34,0:19:05,"1 7/16""",,,0.00,4.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,71,MFV 03565,BLK:23 PLN:10 POS:10,237.40,,
T-64-B11,WT-165:S055,galvin,cole,9,BLK:23 PLN:10 POS:11,MFV 09875,229.4,1/22/2014 0:55,1/22/2014 2:59,2:04:10,,,,,229.40,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:10 POS:11,MFV 09875,0.5,1/29/2014 23:33,1/29/2014 23:36,0:03:19,,,,,0.50,T64-B13,WT169:S064,Jay/John,Cole,1,BLK:23 PLN:10 POS:11,MFV 09875,5,7/21/2014 12:38,7/21/2014 12:59,0:21:14,"1 1/4""",,,0.00,5.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,72,MFV 09875,BLK:23 PLN:10 POS:11,234.90,,
