Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,,
T64-B11,WT-116:SO54,galvin,cole,11,BLK:23 PLN:00 POS:06,MFV 00999,99.3,1/16/2014 2:52,1/16/2014 17:34,14:42:22,swap,T64-B11,WT-165:S056,147,246.30,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:00 POS:06,MFV 00999,3,1/30/2014 9:56,1/30/2014 10:03,0:06:47,,,,,3.00,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:00 POS:06,MFV 00999,2.1,7/25/2014 11:23,7/25/2014 12:21,0:58:26,"7/8""",,,0.00,2.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,7,MFV 00999,BLK:23 PLN:00 POS:06,251.40,,
T64-B11,WT-116:SO54,galvin,tommy,11,BLK:23 PLN:00 POS:07,MFV 00983,247.7,1/16/2014 19:26,1/16/2014 21:29,2:03:06,,,,,247.70,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:00 POS:07,MFV 00983,1,1/30/2014 8:27,1/30/2014 8:30,0:02:25,,,,,1.00,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:00 POS:07,MFV 00983,1.2,7/25/2014 7:36,7/25/2014 7:41,0:05:11,"3/8""",,,0.00,1.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,8,MFV 00983,BLK:23 PLN:00 POS:07,249.90,,
T64-B11,WT-169:SO53,larry,don,11,BLK:23 PLN:00 POS:08,MFV 03270,243,1/21/2014 11:00,1/21/2014 13:13,2:12:48,15 min delay for warm oil,,,,243.00,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:00 POS:08,MFV 03270,2,1/30/2014 7:14,1/30/2014 7:22,0:08:20,delay 30 min for setup on LL2,,,,2.00,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:00 POS:08,MFV 03270,3.1,7/24/2014 7:58,7/24/2014 8:12,0:13:59,"1/4""",,,0.00,3.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,9,MFV 03270,BLK:23 PLN:00 POS:08,248.10,,
T64-B11,WT-169:SO53,galvin,cole,11,BLK:23 PLN:00 POS:09,MFV 04580,241.9,1/21/2014 17:41,1/21/2014 20:05,2:23:55,20 min.delay due to hot oil.,,,,241.90,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:00 POS:09,MFV 04580,0.7,1/30/2014 2:15,1/30/2014 2:21,0:06:04,,,,,0.70,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:00 POS:09,MFV 04580,3.7,7/23/2014 12:22,7/23/2014 12:38,0:15:22,"1 3/4""",,,0.00,3.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,10,MFV 04580,BLK:23 PLN:00 POS:09,246.30,,
T-64-B11,WT-165:S055,galvin,cole,11,BLK:23 PLN:00 POS:10,MFV 04563,239.7,1/21/2014 22:21,1/22/2014 0:27,2:06:18,,,,,239.70,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:00 POS:10,MFV 04563,0.3,1/30/2014 0:58,1/30/2014 1:00,0:01:51,,,,,0.30,T64-B13,WT169:S064,Jay/John,Cole,5,BLK:23 PLN:00 POS:10,MFV 04563,3.6,7/21/2014 15:55,7/21/2014 16:10,0:14:53,1 1/8 inch,,,0.00,3.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,11,MFV 04563,BLK:23 PLN:00 POS:10,243.60,,
T64-B11,WT-166:SO57,galvin,cole,11,BLK:23 PLN:00 POS:11,MFV 03295,15.6,1/22/2014 2:38,1/22/2014 9:43,7:04:46,forty min to swap tanker,T64-B11,WT-166:SO57,216.5,232.10,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:00 POS:11,MFV 03295,0.3,1/30/2014 0:10,1/30/2014 0:14,0:04:03,,,,,0.30,T64-B13,WT169:S064,Jay/John,Cole,1,BLK:23 PLN:00 POS:11,MFV 03295,4.1,7/21/2014 13:59,7/21/2014 14:17,0:17:28,"2 1/2""",,,0.00,4.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,12,MFV 03295,BLK:23 PLN:00 POS:11,236.50,,
T059-B10,WT-163:SO54,larry,don,9,BLK:23 PLN:02 POS:00,MFV 10106,236.9,1/14/2014 16:04,1/14/2014 18:50,2:45:23,one hr delay prime pump and setup LL4,,,,236.90,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:02 POS:00,MFV 10106,1.3,1/30/2014 19:17,1/30/2014 19:22,0:05:24,,,,,1.30,T64-B13,WT169:S064,Larry,Cole,9,BLK:23 PLN:02 POS:00,MFV 10106,1.1,7/29/2014 12:37,7/29/2014 12:49,0:11:58,"1/2""",,,0.00,1.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,13,MFV 10106,BLK:23 PLN:02 POS:00,239.30,,
T059-B10,WT-163:S054,galvin,tommy,9,BLK:23 PLN:02 POS:01,MFV 10112,237,1/14/2014 20:46,1/14/2014 22:39,1:53:19,,,,,237.00,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:02 POS:01,MFV 10112,0.6,1/30/2014 18:09,1/30/2014 18:11,0:02:35,,,,,0.60,T64-B13,WT169:S064,Larry,Cole,8,BLK:23 PLN:02 POS:01,MFV 10112,2.8,7/29/2014 9:43,7/29/2014 9:54,0:11:53,"1/2""",,,0.00,2.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,14,MFV 10112,BLK:23 PLN:02 POS:01,240.40,,
T64-B11,WT-166:S056,galvin,tommy,11,BLK:23 PLN:02 POS:02,MFV 10089,239.3,1/15/2014 1:57,,,25min. Delay moved to ll3.,,,,239.30,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:02 POS:02,MFV 10089,0.6,1/30/2014 15:40,1/30/2014 15:43,0:02:30,,,,,0.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,15,MFV 10089,BLK:23 PLN:02 POS:02,239.90,,
T64-B11,WT-166:S056,don ,larry,11,BLK:23 PLN:02 POS:03,MFV 10053,205.5,1/15/2014 9:19,1/15/2014 12:06,2:46:45,swap,T59-B10,WT-168:S028,44.1,249.60,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:02 POS:03,MFV 10053,0.4,1/30/2014 14:27,1/30/2014 14:29,0:01:49,delay 30 min unable to find bluetooth,,,,0.40,T64-B13,WT169:S064,Ron/Perko,Cole,5,BLK:23 PLN:02 POS:03,MFV 10053,,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,16,MFV 10053,BLK:23 PLN:02 POS:03,250.00,,
T59-B10,WT-168:S028,don ,larry,11,BLK:23 PLN:02 POS:04,MFV 10052,242.1,1/15/2014 13:44,1/15/2014 15:33,1:49:17,,,,,242.10,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:02 POS:04,MFV 10052,1,1/30/2014 13:09,1/30/2014 13:23,0:13:48,,,,,1.00,T64-B13,WT169:S064,Ron/Perko,Cole,1,BLK:23 PLN:02 POS:04,MFV 10052,2.1,7/28/2014 10:15,7/28/2014 10:23,0:07:56,"1/4""",,,0.00,2.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,17,MFV 10052,BLK:23 PLN:02 POS:04,245.20,,
T59-B10,WT-168:S028,galvin,cole,11,BLK:23 PLN:02 POS:05,MFV 10080,22.9,1/15/2014 18:35,1/15/2014 22:10,3:35:07,1hr .50min. Delay due to swap and cold oil.,T64-B11,WT-165:S056,216.6,239.50,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:02 POS:05,MFV 10080,1.2,1/30/2014 11:36,1/30/2014 11:39,0:02:45,delay 45 min setup on LL3,,,,1.20,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:02 POS:05,MFV 10080,3.2,7/25/2014 13:25,7/25/2014 13:48,0:22:33,"3/4""",,,0.00,3.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,18,MFV 10080,BLK:23 PLN:02 POS:05,243.90,,
T64-B11,WT-165:S056,galvin,cole,11,BLK:23 PLN:02 POS:06,MFV 10069,240.5,1/16/2014 1:00,1/16/2014 2:52,1:51:11,pumped tanker 165 dry at 7:30 am,,,,240.50,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:02 POS:06,MFV 10069,1.1,1/30/2014 10:03,1/30/2014 10:06,0:03:07,,,,,1.10,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:02 POS:06,MFV 10069,3.7,7/25/2014 12:23,7/25/2014 12:38,0:14:56,"1""",,,0.00,3.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,19,MFV 10069,BLK:23 PLN:02 POS:06,245.30,,
