Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T64-B07,WT-165:S034,daniel,tommy,12,BLK:14 PLN:00 POS:07,MFV 00280,23.5,8/28/2013 13:02,8/28/2013 15:13,2:11:31,swap,T64-B07,WT-169:S034,220.1,243.60,T64-B07,WT-166:S038,daniel,jason,4,BLK:14 PLN:00 POS:07,MFV 00280,5.7,9/9/2013 13:47,9/9/2013 13:56,0:09:19,,,,,5.70,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:00 POS:07,MFV 00280,1.5,6/26/2014 8:58,6/26/2014 9:07,0:09:38,"1/4""",,,0.00,1.50,,,,,,,,0.00,,,,,,,0.00,0.00,,8,MFV 00280,BLK:14 PLN:00 POS:07,250.80,
T64-B07,WT-169:S034,wood,blackmer,12,BLK:14 PLN:00 POS:08,MFV 01544,241.1,8/28/2013 17:35,8/28/2013 19:31,1:56:00,,,,,241.10,T64-B07,WT-166:S038,daniel,jason,4,BLK:14 PLN:00 POS:08,MFV 01544,4,9/9/2013 12:42,9/9/2013 12:50,0:08:18,,,,,4.00,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:00 POS:08,MFV 01544,2.7,6/25/2014 15:39,6/25/2014 15:50,0:10:45,"1""",,,0.00,2.70,,,,,,,,0.00,,,,,,,0.00,0.00,,9,MFV 01544,BLK:14 PLN:00 POS:08,247.80,
T64-B07,WT-116:S036,wood,blackmer,12,BLK:14 PLN:00 POS:09,MFV 01561,246.5,8/28/2013 23:53,8/29/2013 1:59,2:05:52,,,,,246.50,T64-B07,WT-166:S038,daniel,jason,4,BLK:14 PLN:00 POS:09,MFV 01561,0.5,9/9/2013 10:26,9/9/2013 10:28,0:02:17,,,,,0.50,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:00 POS:09,MFV 01561,3.8,6/25/2014 12:12,6/25/2014 12:27,0:14:25,"1/8""",,,0.00,3.80,,,,,,,,0.00,,,,,,,0.00,0.00,,10,MFV 01561,BLK:14 PLN:00 POS:09,250.80,
T64-B07,WT-116:S036,jason ,gary,12,BLK:14 PLN:00 POS:10,MFV 00261,208.9,8/29/2013 8:01,8/29/2013 12:00,3:59:17,swap,T64-B07,WT-168:S034,39.3,248.20,T64-B07,WT-166:S038,daniel,jason,4,BLK:14 PLN:00 POS:10,MFV 00261,3.4,9/9/2013 9:13,9/9/2013 9:19,0:05:54,,,,,3.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,11,MFV 00261,BLK:14 PLN:00 POS:10,251.60,
T64-B07,WT-168:S034,jason ,gary,12,BLK:14 PLN:00 POS:11,MFV 01393,246,8/29/2013 14:15,8/29/2013 16:28,2:13:31,,,,,246.00,T64-B07,WT-166:S038,daniel,jason,4,BLK:14 PLN:00 POS:11,MFV 01393,0.4,9/9/2013 7:27,9/9/2013 7:29,0:02:25,,,,,0.40,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:00 POS:11,MFV 01393,4.3,6/24/2014 13:47,6/24/2014 14:03,0:16:13,"1 1/8""",,,0.00,4.30,,,,,,,,0.00,,,,,,,0.00,0.00,,12,MFV 01393,BLK:14 PLN:00 POS:11,250.70,
T64-B07,WT-168:S008,wood,james,1,BLK:14 PLN:02 POS:00,MFV 07110,239.7,8/26/2013 21:32,8/26/2013 23:19,1:46:57,,,,,239.70,T64-B07,WT-166:S038,wood,james,10,BLK:14 PLN:02 POS:00,MFV 07110,4.3,9/10/2013 1:30,9/10/2013 1:37,0:07:04,,,,,4.30,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:02 POS:00,MFV 07110,,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,13,MFV 07110,BLK:14 PLN:02 POS:00,244.00,
T64-B07,WT-163:S035,wood,james,1,BLK:14 PLN:02 POS:01,MFV 07187,248,8/27/2013 2:02,8/27/2013 7:59,5:57:23,,,,,248.00,T64-B07,WT-166:S038,wood,james,10,BLK:14 PLN:02 POS:01,MFV 07187,1.8,9/9/2013 23:51,9/9/2013 23:55,0:04:15,,,,,1.80,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:02 POS:01,MFV 07187,1.3,6/24/2014 12:20,6/24/2014 12:27,0:06:39,"1/2""",,,0.00,1.30,,,,,,,,0.00,,,,,,,0.00,0.00,,14,MFV 07187,BLK:14 PLN:02 POS:01,251.10,
T64-B07,WT-163:S035,daniel,tommy,12,BLK:14 PLN:02 POS:02,MFV 07185,239,8/27/2013 10:34,8/27/2013 12:59,2:24:19,swap,T64-B07,WT-166:S036,8.1,247.10,T64-B07,WT-166:S038,wood,james,4,BLK:14 PLN:02 POS:02,MFV 07185,1.5,9/9/2013 21:56,9/9/2013 21:59,0:02:43,,,,,1.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,15,MFV 07185,BLK:14 PLN:02 POS:02,248.60,
T64-B07,WT-166:S036,daniel,tommy,12,BLK:14 PLN:02 POS:03,MFV 07199,245.3,8/27/2013 14:47,8/27/2013 16:40,1:53:01,,,,,245.30,T64-B07,WT-166:S038,wood,james,4,BLK:14 PLN:02 POS:03,MFV 07199,0.1,9/9/2013 20:48,9/9/2013 20:48,0:00:11,,,,,0.10,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:02 POS:03,MFV 07199,3.4,6/27/2014 11:17,6/27/2014 11:29,0:12:08,"1/4""",,,0.00,3.40,,,,,,,,0.00,,,,,,,0.00,0.00,,16,MFV 07199,BLK:14 PLN:02 POS:03,248.80,
T64-B07,WT-166:S036,wood,james,12,BLK:14 PLN:02 POS:04,MFV 07193,75.9,8/27/2013 18:49,8/27/2013 21:05,2:15:26,tanker swap,T64-B07,WT-164:S034,168.5,244.40,T64-B07,WT-166:S038,wood,james,4,BLK:14 PLN:02 POS:04,MFV 07193,2.4,9/9/2013 18:50,9/9/2013 19:53,1:03:07,,,,,2.40,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:02 POS:04,MFV 07193,3.1,6/27/2014 8:05,6/27/2014 8:15,0:10:22,"7/8""",,,0.00,3.10,,,,,,,,0.00,,,,,,,0.00,0.00,,17,MFV 07193,BLK:14 PLN:02 POS:04,249.90,
T64-B07,WT-164:S034,wood,james,12,BLK:14 PLN:02 POS:05,MFV 07155,246.3,8/27/2013 22:55,8/28/2013 0:48,1:52:44,,,,,246.30,T64-B07,WT-166:S038,wood,james,4,BLK:14 PLN:02 POS:05,MFV 07155,3.6,9/9/2013 17:29,9/9/2013 17:37,0:07:46,,,,,3.60,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:02 POS:05,MFV 07155,3.3,6/26/2014 14:29,6/26/2014 15:08,0:39:58,"3/4""",,,0.00,3.30,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:02 POS:05,MFV 07155,1.8,6/26/2014 15:09,6/26/2014 15:19,0:10:12,1/2:,,,0.00,1.80,,18,MFV 07155,BLK:14 PLN:02 POS:05,255.00,
