Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T59-B05,WT-163:S028,daniel,jason,9,BLK:10 PLN:07 POS:09,MFV 06117,250.4,7/9/2013 13:01,7/9/2013 15:18,2:16:51,,,,,250.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,179,MFV 06117,BLK:10 PLN:07 POS:09,250.40
T59-B05,WT-168:S001,daniel,jason,9,BLK:10 PLN:07 POS:08,MFV 06121,147.9,7/9/2013 7:46,7/9/2013 13:01,5:14:36,swap,T59-B05,WT-163:S028,101.9,249.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,180,MFV 06121,BLK:10 PLN:07 POS:08,249.80
T59-B05,WT-168:S001,daniel,jason,4,BLK:10 PLN:07 POS:02,MFV 06128,149.3,7/9/2013 7:43,7/9/2013 13:00,5:17:05,swap,T59-B05,WT-163:S028,99.4,248.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,181,MFV 06128,BLK:10 PLN:07 POS:02,248.70
T59-B05,WT-163:S028,daniel,jason,11,BLK:10 PLN:07 POS:05,MFV 06129,250,7/9/2013 13:38,7/9/2013 15:54,2:15:44,,,,,250.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,182,MFV 06129,BLK:10 PLN:07 POS:05,250.00
T59-B05,WT-164:S026,daniel,jason,3,BLK:10 PLN:01 POS:01,MFV 06130,249,7/3/2013 14:44,7/3/2013 17:58,3:14:30,,,,,249.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,183,MFV 06130,BLK:10 PLN:01 POS:01,249.00
T59-B05,WT-164:S026,galvin,tommy,9,BLK:10 PLN:03 POS:08,MFV 06133,15.8,7/3/2013 18:28,7/8/2013 20:30,122:01:40,tanker swap,T59-B05,WT-168:S001,234.3,250.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,184,MFV 06133,BLK:10 PLN:03 POS:08,250.10
T59-B05,WT-164:S026,daniel,jason,6,BLK:10 PLN:01 POS:07,MFV 06134,250.2,7/3/2013 15:15,7/3/2013 18:30,3:15:30,,,,,250.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,185,MFV 06134,BLK:10 PLN:01 POS:07,250.20
T59-B05,WT-164:S026,daniel,jason,6,BLK:10 PLN:01 POS:06,MFV 06135,250.7,7/3/2013 12:55,7/3/2013 15:15,2:19:22,,,,,250.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,186,MFV 06135,BLK:10 PLN:01 POS:06,250.70
T59-B05,WT-168:S001,galvin,james,4,BLK:10 PLN:03 POS:03,MFV 06139,249.7,7/8/2013 20:06,7/8/2013 22:27,2:21:00,,,,,249.70,T64-B13,WT163:S066,Larry,Brent,,BLK:10 PLN:03 POS:03,MFV 06139,,,,,Full switched out fill mach. 9 for mach.5,switched out fill mach. 9 for mach.5,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,187,MFV 06139,BLK:10 PLN:03 POS:03,249.70
T59-B05,WT-164:S026,daniel,jason,5,BLK:10 PLN:01 POS:05,MFV 06140,250,7/3/2013 15:08,7/3/2013 18:21,3:12:46,,,,,250.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,188,MFV 06140,BLK:10 PLN:01 POS:05,250.00
T59-B05,WT-164:S026,daniel,jason,4,BLK:10 PLN:01 POS:02,MFV 06144,249.5,7/3/2013 12:40,7/3/2013 14:53,2:13:26,,,,,249.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,189,MFV 06144,BLK:10 PLN:01 POS:02,249.50
T59-B05,WT-164:S026,daniel,jason,5,BLK:10 PLN:01 POS:04,MFV 06145,250.3,7/3/2013 12:48,7/3/2013 15:06,2:17:29,,,,,250.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,190,MFV 06145,BLK:10 PLN:01 POS:04,250.30
T59-B05,WT-168:S001,galvin,james,3,BLK:10 PLN:03 POS:01,MFV 06152,242.9,7/8/2013 19:55,7/8/2013 22:20,2:24:58,,,,,242.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,191,MFV 06152,BLK:10 PLN:03 POS:01,242.90
T59-B05,WT-164:S026,galvin,tommy,5,BLK:10 PLN:03 POS:04,MFV 06175,28.3,7/3/2013 18:21,7/8/2013 20:17,121:56:19,tanker swap,T59-B05,WT-168:S001,222.7,251.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,192,MFV 06175,BLK:10 PLN:03 POS:04,251.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,47995.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,249.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMS,2.5171085082
