Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T059-B09,WT-163:S049,galvin,blackmer,5,BLK:20 PLN:05 POS:04,MFV 09547,251.2,11/20/2013 15:32,11/20/2013 18:13,2:40:32,,,,,251.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,29,MFV 09547,BLK:20 PLN:05 POS:04,251.20
T059-B09,WT-163:S049,daniel,jason,5,BLK:20 PLN:05 POS:05,MFV 07416,249.4,11/20/2013 18:13,11/20/2013 20:33,2:19:53,,,,,249.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,30,MFV 07416,BLK:20 PLN:05 POS:05,249.40
T059-B09,WT-163:S049,galvin,blackmer,7,BLK:20 PLN:05 POS:06,MFV 09487,250.6,11/20/2013 15:27,11/20/2013 18:06,2:39:21,,,,,250.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,31,MFV 09487,BLK:20 PLN:05 POS:06,250.60
T059-B09,WT-163:S049,daniel,jason,7,BLK:20 PLN:05 POS:07,MFV 09505,253.1,11/20/2013 18:08,11/20/2013 20:27,2:18:47,,,,,253.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,32,MFV 09505,BLK:20 PLN:05 POS:07,253.10
T059-B09,WT-163:S049,galvin,blackmer,8,BLK:20 PLN:05 POS:08,MFV 09520,250.5,11/20/2013 15:23,11/20/2013 18:02,2:39:23,,,,,250.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,33,MFV 09520,BLK:20 PLN:05 POS:08,250.50
T059-B09,WT-163:S049,daniel,jason,8,BLK:20 PLN:05 POS:09,MFV 09510,249.7,11/20/2013 18:08,11/20/2013 20:27,2:18:10,,,,,249.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,34,MFV 09510,BLK:20 PLN:05 POS:09,249.70
T059-B09,WT-163:S049,galvin,blackmer,9,BLK:20 PLN:05 POS:10,MFV 09483,251.2,11/20/2013 15:24,11/20/2013 18:02,2:38:31,,,,,251.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,35,MFV 09483,BLK:20 PLN:05 POS:10,251.20
T059-B09,WT-163:S049,daniel,jason,9,BLK:20 PLN:05 POS:11,MFV 09308,249.9,11/20/2013 18:08,11/20/2013 20:26,2:18:06,,,,,249.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,36,MFV 09308,BLK:20 PLN:05 POS:11,249.90
T059-B09,WT-163:S049,daniel,jason,2,BLK:20 PLN:07 POS:00,MFV 09290,249.4,11/20/2013 20:35,11/20/2013 22:55,2:19:43,,,,,249.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,37,MFV 09290,BLK:20 PLN:07 POS:00,249.40
T059-B09,WT-163:S049,daniel,jason,2,BLK:20 PLN:07 POS:01,MFV 09274,102.2,11/20/2013 22:55,11/21/2013 1:22,2:26:28,swap,T059-B09,WT-116:S048,148,250.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,38,MFV 09274,BLK:20 PLN:07 POS:01,250.20
