Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comment,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comment,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Comments,Fill 2: 3rd Tanker Batch,Fill 2: 3rd Tanker,Fill 2: Amount from 3rd Tanker (gal),Comments,Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T64-B12,WT-166:S062,wood,don,11,BLK:26 PLN:06 POS:00,MFV 06590,243.4,3/3/2014 11:26,3/3/2014 13:44,2:18:08,,,,,,,,,,243.4,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:06 POS:00,MFV 06590,5.3,3/28/2014 7:30,3/28/2014 7:47,0:16:59,,,,,,,,,,5.3,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:06 POS:00,MFV 06590,0.6,8/7/2014 13:21,8/7/2014 13:25,0:03:44,"1/8""",,,0.00,0.60,,,,,,,,0.00,,,,,,,0.00,0.00,,7,MFV 06590,BLK:26 PLN:06 POS:00,249.30,
T64-B12,WT-166:S062,wood,don,12,BLK:26 PLN:02 POS:00,MFV 10884,247.4,3/3/2014 11:26,3/3/2014 13:48,2:22:25,20 min delay cold oil ,,,,,,,,,247.4,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:02 POS:00,MFV 10884,1.7,3/28/2014 8:10,3/28/2014 8:15,0:05:23,,,,,,,,,,1.7,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:02 POS:00,MFV 10884,0.9,8/7/2014 13:03,8/7/2014 13:11,0:08:40,1/8'',,,0.00,0.90,,,,,,,,0.00,,,,,,,0.00,0.00,,8,MFV 10884,BLK:26 PLN:02 POS:00,250.00,
T64-B12,WT-166:S062,wood,don,1,BLK:26 PLN:28 POS:00,MFV 10599,236.1,3/3/2014 13:47,3/3/2014 15:31,1:43:51,,,,,,,,,,236.1,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:28 POS:00,MFV 10599,4.5,3/27/2014 16:34,3/27/2014 16:42,0:07:32,,,,,,,,,,4.5,T64-B13,WT169:S064,Larry,Brent,12,BLK:26 PLN:28 POS:00,MFV 10599,0.8,8/7/2014 15:14,8/7/2014 15:17,0:03:31,"1/8""",,,0.00,0.80,,,,,,,,0.00,,,,,,,0.00,0.00,,9,MFV 10599,BLK:26 PLN:28 POS:00,241.40,
T64-B12,WT-166:S062,wood,don,3,BLK:26 PLN:24 POS:00,MFV 10119,242.2,3/3/2014 13:47,3/3/2014 15:31,1:44:19,,,,,,,,,,242.2,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:24 POS:00,MFV 10119,5.8,3/28/2014 7:04,3/28/2014 7:10,0:06:49,,,,,,,,,,5.8,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:24 POS:00,MFV 10119,1,8/7/2014 15:13,8/7/2014 15:19,0:05:50,"1/4""",,,0.00,1.00,,,,,,,,0.00,,,,,,,0.00,0.00,,10,MFV 10119,BLK:26 PLN:24 POS:00,249.00,
T64-B12,WT-166:S062,wood,don,5,BLK:26 PLN:20 POS:00,MFV 05851,244.2,3/3/2014 13:42,3/3/2014 15:31,1:49:23,,,,,,,,,,244.2,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:20 POS:00,MFV 05851,4.5,3/28/2014 7:18,3/28/2014 7:31,0:13:11,,,,,,,,,,4.5,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:20 POS:00,MFV 05851,0.7,8/7/2014 14:16,8/7/2014 14:21,0:04:37,3/8'',,,0.00,0.70,,,,,,,,0.00,,,,,,,0.00,0.00,,11,MFV 05851,BLK:26 PLN:20 POS:00,249.40,
T64-B12,WT-166:S062,wood,don,4,BLK:26 PLN:16 POS:00,MFV 10720,243.7,3/3/2014 13:46,3/3/2014 15:29,1:42:51,,,,,,,,,,243.7,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:16 POS:00,MFV 10720,4.2,3/28/2014 7:39,3/28/2014 7:54,0:14:46,,,,,,,,,,4.2,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:16 POS:00,MFV 10720,1.5,8/7/2014 13:58,8/7/2014 14:05,0:07:15,"3/4""",,,0.00,1.50,,,,,,,,0.00,,,,,,,0.00,0.00,,12,MFV 10720,BLK:26 PLN:16 POS:00,249.40,
T64-B12,WT-166:S062,wood,don,8,BLK:26 PLN:12 POS:00,MFV 10782,240.8,3/3/2014 13:51,3/3/2014 15:35,1:43:48,,,,,,,,,,240.8,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:12 POS:00,MFV 10782,3.8,3/27/2014 16:37,3/27/2014 16:44,0:06:55,,,,,,,,,,3.8,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:12 POS:00,MFV 10782,0.9,8/7/2014 13:49,8/7/2014 13:53,0:04:44,"3/4""",,,0.00,0.90,,,,,,,,0.00,,,,,,,0.00,0.00,,13,MFV 10782,BLK:26 PLN:12 POS:00,245.50,
T64-B12,WT-166:S062,wood,don,10,BLK:26 PLN:08 POS:00,MFV 07274,239.5,3/3/2014 13:43,3/3/2014 15:22,1:38:39,,,,,,,,,,239.5,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:08 POS:00,MFV 07274,5.5,3/28/2014 7:10,3/28/2014 7:30,0:19:51,,,,,,,,,,5.5,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:08 POS:00,MFV 07274,1.5,8/7/2014 13:26,8/7/2014 13:34,0:07:46,"5/8""",,,0.00,1.50,,,,,,,,0.00,,,,,,,0.00,0.00,,14,MFV 07274,BLK:26 PLN:08 POS:00,246.50,
T64-B12,WT-166:S062,wood,don,11,BLK:26 PLN:04 POS:00,MFV 10788,239.2,3/3/2014 13:44,3/3/2014 15:22,1:38:18,,,,,,,,,,239.2,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:04 POS:00,MFV 10788,4.1,3/28/2014 7:55,3/28/2014 8:09,0:13:16,,,,,,,,,,4.1,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:04 POS:00,MFV 10788,1.5,8/7/2014 13:12,8/7/2014 13:20,0:08:34,"3/4""",,,0.00,1.50,,,,,,,,0.00,,,,,,,0.00,0.00,,15,MFV 10788,BLK:26 PLN:04 POS:00,244.80,
T64-B12,WT-166:S062,wood,don,12,BLK:26 PLN:00 POS:00,MFV 07282,234.1,3/3/2014 13:48,3/3/2014 15:26,1:37:25,,,,,,,,,,234.1,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:00 POS:00,MFV 07282,5.2,3/28/2014 8:16,3/28/2014 8:29,0:13:14,,,,,,,,,,5.2,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:00 POS:00,MFV 07282,2.9,8/7/2014 12:48,8/7/2014 13:02,0:13:46,"1 1/8""",,,0.00,2.90,,,,,,,,0.00,,,,,,,0.00,0.00,,16,MFV 07282,BLK:26 PLN:00 POS:00,242.20,
T64-B12,WT-166:S062,wood,don,1,BLK:26 PLN:30 POS:01,MFV 09294,2.7,3/3/2014 15:36,3/4/2014 8:09,16:33:06,swap hot oil delay ,T64-B12,WT-116:S060,227.1,,,,,,229.8,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:30 POS:01,MFV 09294,4.7,3/27/2014 15:26,3/27/2014 15:35,0:09:13,,,,,,,,,,4.7,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:30 POS:01,MFV 09294,0.4,8/7/2014 12:27,8/7/2014 12:35,0:07:37,"1/16""",,,0.00,0.40,,,,,,,,0.00,,,,,,,0.00,0.00,,17,MFV 09294,BLK:26 PLN:30 POS:01,234.90,
T64-B12,WT-166:S062,wood,don,3,BLK:26 PLN:26 POS:01,MFV 10595,5.9,3/3/2014 15:36,3/4/2014 8:10,16:33:58,swap hot oil delay ,T64-B12,WT-116:S060,236.1,,,,,,242,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:26 POS:01,MFV 10595,3.8,3/27/2014 15:40,3/27/2014 15:48,0:07:36,,,,,,,,,,3.8,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:26 POS:01,MFV 10595,0.9,8/7/2014 11:17,8/7/2014 11:26,0:08:49,"1/16""",,,0.00,0.90,,,,,,,,0.00,,,,,,,0.00,0.00,,18,MFV 10595,BLK:26 PLN:26 POS:01,246.70,
T64-B12,WT-166:S062,wood,don,5,BLK:26 PLN:22 POS:01,MFV 10613,8.9,3/3/2014 15:36,3/4/2014 8:13,16:37:24,swap hot oil delay ,T64-B12,WT-116:S060,232.4,,,,,,241.3,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:22 POS:01,MFV 10613,4.3,3/27/2014 15:53,3/27/2014 16:00,0:07:10,,,,,,,,,,4.3,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:22 POS:01,MFV 10613,1.2,8/7/2014 10:57,8/7/2014 11:06,0:09:05,"3/8""",,,0.00,1.20,,,,,,,,0.00,,,,,,,0.00,0.00,,19,MFV 10613,BLK:26 PLN:22 POS:01,246.80,
T64-B12,WT-166:S062,wood,don,4,BLK:26 PLN:18 POS:01,MFV 10687,14.6,3/3/2014 15:36,3/4/2014 8:04,16:28:11,swap hot oil delay ,T64-B12,WT-116:S060,225.3,,,,,,239.9,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:18 POS:01,MFV 10687,6.1,3/27/2014 16:07,3/27/2014 16:16,0:09:02,,,,,,,,,,6.1,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:18 POS:01,MFV 10687,0.9,8/7/2014 10:35,8/7/2014 10:41,0:05:43,"1/2""",,,0.00,0.90,,,,,,,,0.00,,,,,,,0.00,0.00,,20,MFV 10687,BLK:26 PLN:18 POS:01,246.90,
T64-B12,WT-166:S062,wood,don,8,BLK:26 PLN:14 POS:01,MFV 10744,1.1,3/3/2014 15:36,3/4/2014 8:07,16:31:37,swap hot oil delay ,T64-B12,WT-116:S060,239.9,,,,,,241,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:14 POS:01,MFV 10744,3.8,3/27/2014 15:26,3/27/2014 15:32,0:06:13,,,,,,,,,,3.8,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:14 POS:01,MFV 10744,0.9,8/7/2014 10:08,8/7/2014 10:17,0:09:04,"1/8""",,,0.00,0.90,,,,,,,,0.00,,,,,,,0.00,0.00,,21,MFV 10744,BLK:26 PLN:14 POS:01,245.70,
