Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T59-B04,WT-169:S021,daniel,jason,11,BLK:08 PLN:00 POS:06,MFV 05436,61.3,5/30/2013 20:28,5/30/2013 22:47,2:18:26,,T59-B04,WT-166:S023,184.1,245.40,T59-B04,WT-169:S023,daniel,tommy,9,BLK:08 PLN:00 POS:06,MFV 05436,3.9,6/12/2013 1:27,6/12/2013 1:32,0:04:55,,,,,3.90,T64-B13,WT163:S066,Larry,Brent,,BLK:08 PLN:00 POS:06,MFV 05436,,,,,"full--- will no longer fill ""full"" moduled per Rick's request.",,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,7,MFV 05436,BLK:08 PLN:00 POS:06,249.30,
T59-B04,WT-166:S023,daniel,jason,11,BLK:08 PLN:00 POS:07,MFV 05451,245.7,5/31/2013 0:46,5/31/2013 2:43,1:57:11,,,,,245.70,T59-B04,WT-169:S023,daniel,tommy,9,BLK:08 PLN:00 POS:07,MFV 05451,4.6,6/11/2013 23:47,6/11/2013 23:52,0:04:38,,,,,4.60,T64-B13,WT163:S066,Larry,Brent,9,BLK:08 PLN:00 POS:07,MFV 05451,0.4,6/6/2014 7:00,6/6/2014 7:04,0:04:00,"1/8""",,,0.00,0.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,8,MFV 05451,BLK:08 PLN:00 POS:07,250.70,
T59-B04,WT-164:S021,wood,james,11,BLK:08 PLN:00 POS:08,MFV 05464,245.2,6/3/2013 9:00,6/3/2013 10:59,1:59:02,,,,,245.20,T59-B04,WT-169:S023,daniel,tommy,9,BLK:08 PLN:00 POS:08,MFV 05464,3.4,6/11/2013 22:38,6/11/2013 22:46,0:07:39,,,,,3.40,T64-B13,WT163:S066,Larry,Brent,9,BLK:08 PLN:00 POS:08,MFV 05464,1.6,6/5/2014 13:52,6/5/2014 13:59,0:06:20,full,,,0.00,1.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,9,MFV 05464,BLK:08 PLN:00 POS:08,250.20,
T59-B04,WT-164:S021,wood,james,11,BLK:08 PLN:00 POS:09,MFV 05475,189.6,6/3/2013 14:28,6/3/2013 17:18,2:50:20,,T59-B04,WT-165:S022,58,247.60,T59-B04,WT-169:S023,daniel,tommy,11,BLK:08 PLN:00 POS:09,MFV 05475,4.8,6/11/2013 20:09,6/11/2013 20:15,0:05:59,,,,,4.80,T64-B13,WT163:S066,Larry,Brent,9,BLK:08 PLN:00 POS:09,MFV 05475,1,6/5/2014 10:10,6/5/2014 10:15,0:04:30,"1/2""",,,0.00,1.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,10,MFV 05475,BLK:08 PLN:00 POS:09,253.40,
T59-B04,WT-164:S021,daniel,jason,11,BLK:08 PLN:00 POS:10,MFV 05469,248.6,6/3/2013 19:35,6/3/2013 21:40,2:05:55,,,,,248.60,T59-B04,WT-169:S023,daniel,tommy,11,BLK:08 PLN:00 POS:10,MFV 05469,4.4,6/11/2013 18:47,6/11/2013 18:53,0:05:40,,,,,4.40,T64-B13,WT163:S066,Larry,Brent,9,BLK:08 PLN:00 POS:10,MFV 05469,0.6,6/5/2014 7:25,6/5/2014 7:28,0:02:55,"3/8""",,,0.00,0.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,11,MFV 05469,BLK:08 PLN:00 POS:10,253.60,
T59-B04,WT-164:S021,daniel,jason,11,BLK:08 PLN:00 POS:11,MFV 05462,45.2,6/3/2013 23:51,6/4/2013 8:19,8:28:09,swap,T59-B04,WT-163:S023,202.7,247.90,T59-B04,WT-169:S023,daniel,tommy,11,BLK:08 PLN:00 POS:11,MFV 05462,4.8,6/11/2013 17:47,6/11/2013 17:57,0:09:34,,,,,4.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,12,MFV 05462,BLK:08 PLN:00 POS:11,252.70,
T64-B064,WT-164:S020,wood,james,11,BLK:08 PLN:02 POS:00,MFV 02457,249.2,5/29/2013 7:18,5/29/2013 9:03,1:45:19,,,,,249.20,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:02 POS:00,MFV 02457,3.1,6/12/2013 15:16,,,,,,,3.10,T64-B13,WT163:S066,John,Jay/Ron,9,BLK:08 PLN:02 POS:00,MFV 02457,1.5,6/9/2014 16:23,6/9/2014 16:33,0:10:01,"1""",,,0.00,1.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,13,MFV 02457,BLK:08 PLN:02 POS:00,253.80,
T64-B064,WT-164:S020,wood,james,11,BLK:08 PLN:02 POS:01,MFV 05422,249.1,5/29/2013 10:49,5/29/2013 12:35,1:46:37,,,,,249.10,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:02 POS:01,MFV 05422,2.5,6/12/2013 13:10,,,,,,,2.50,T64-B13,WT163:S066,John,Jay/Ron,9,BLK:08 PLN:02 POS:01,MFV 05422,1.8,6/9/2014 14:05,6/9/2014 14:15,0:09:53,"1""",,,0.00,1.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,14,MFV 05422,BLK:08 PLN:02 POS:01,253.40,
T64-B04/T059-B04,WT-163:S022,wood,james,11,BLK:08 PLN:02 POS:02,MFV 02794,250.2,5/29/2013 16:41,5/29/2013 18:46,2:05:20,,,,,250.20,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:02 POS:02,MFV 02794,1.4,6/12/2013 11:07,6/12/2013 11:10,0:02:53,,,,,1.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,15,MFV 02794,BLK:08 PLN:02 POS:02,251.60,
T64-B04/T059-B04,WT-163:S022,daniel,jason,11,BLK:08 PLN:02 POS:03,MFV 05439,137.4,5/29/2013 20:42,5/29/2013 22:54,2:12:07,,T59-B04,WT-116:S021,110.1,247.50,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:02 POS:03,MFV 05439,1.8,6/12/2013 9:53,6/12/2013 9:57,0:03:54,,,,,1.80,T64-B13,WT163:S066,John,Jay/Ron,9,BLK:08 PLN:02 POS:03,MFV 05439,0.4,6/9/2014 10:26,6/9/2014 10:28,0:02:42,"1/2""",,,0.00,0.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,16,MFV 05439,BLK:08 PLN:02 POS:03,249.70,
