Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,BLK:06 PLN:02 POS:00,MFV 04858,247.00,,,,RJT Records,,,,,,,,,247.00,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:02 POS:00,MFV 04858,1.6,5/14/2013 0:09,5/14/2013 0:13,0:03:39,,,,,1.60,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:02 POS:00,MFV 04858,0.1,6/4/2014 13:35,6/4/2014 13:37,0:01:52,"1/8""",,,0.00,0.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,8,MFV 04858,BLK:06 PLN:02 POS:00,248.70,
,,,,,BLK:06 PLN:20 POS:00,MFV 04767,248.00,,,,RJT Records,,,,,,,,,248.00,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:20 POS:00,MFV 04767,1.3,5/14/2013 0:18,5/14/2013 0:21,0:02:55,,,,,1.30,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:20 POS:00,MFV 04767,0.5,6/4/2014 13:46,6/4/2014 13:50,0:04:05,1/8',,,0.00,0.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,9,MFV 04767,BLK:06 PLN:20 POS:00,249.80,
,,,,,BLK:06 PLN:16 POS:00,MFV 04586,247.00,,,,RJT Records,,,,,,,,,247.00,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:16 POS:00,MFV 04586,2.2,5/14/2013 0:05,5/14/2013 0:10,0:04:21,,,,,2.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,10,MFV 04586,BLK:06 PLN:16 POS:00,249.20,
,,,,,BLK:06 PLN:12 POS:00,MFV 04836,255.00,,,,RJT Records,,,,,,,,,255.00,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:12 POS:00,MFV 04836,4.2,5/14/2013 0:35,5/14/2013 0:44,0:08:52,,,,,4.20,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:12 POS:00,MFV 04836,0.1,6/4/2014 13:41,6/4/2014 13:44,0:02:52,"1/4""",,,0.00,0.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,11,MFV 04836,BLK:06 PLN:12 POS:00,259.30,
,,,,,BLK:06 PLN:04 POS:00,MFV 02006,251.00,,,,RJT Records,,,,,,,,,251.00,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:04 POS:00,MFV 02006,1.3,5/14/2013 0:13,5/14/2013 0:17,0:03:22,,,,,1.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,12,MFV 02006,BLK:06 PLN:04 POS:00,252.30,
T59-B03,WT-165-S016,Wood,James,1,BLK:06 PLN:28 POS:00,MFV 02212,238.10,4/29/2013 17:45,4/29/2013 19:44,1:58:56,,,,,,,,,,238.10,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:28 POS:00,MFV 02212,1.7,5/14/2013 0:36,5/14/2013 0:40,0:03:57,,,,,1.70,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:28 POS:00,MFV 02212,0.2,6/4/2014 13:53,6/4/2014 13:55,0:01:22,full,,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,13,MFV 02212,BLK:06 PLN:28 POS:00,240.00,
T59-B03,WT-165-S016,Wood,James,2,BLK:06 PLN:24 POS:00,MFV 02043,248.70,4/29/2013 17:46,4/29/2013 19:35,1:48:33,,,,,,,,,,248.70,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:24 POS:00,MFV 02043,1.2,5/14/2013 0:25,5/14/2013 0:28,0:02:53,,,,,1.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,14,MFV 02043,BLK:06 PLN:24 POS:00,249.90,
T59-B03,WT-165-S016,Wood,James,7,BLK:06 PLN:22 POS:01,MFV 04786,250.50,4/29/2013 17:48,4/29/2013 19:43,1:54:33,,,,,,,,,,250.50,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:22 POS:01,MFV 04786,1.8,5/13/2013 23:23,5/13/2013 23:27,0:04:03,,,,,1.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,15,MFV 04786,BLK:06 PLN:22 POS:01,252.30,
T59-B03,WT-165-S016,Wood,James,8,BLK:06 PLN:18 POS:01,MFV 02129,246.40,4/29/2013 17:49,4/29/2013 19:40,1:50:59,,,,,,,,,,246.40,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:18 POS:01,MFV 02129,1.1,5/13/2013 23:07,5/13/2013 23:11,0:03:55,,,,,1.10,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:18 POS:01,MFV 02129,1.9,6/4/2014 13:03,6/4/2014 13:11,0:08:04,"1""",,,0.00,1.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,16,MFV 02129,BLK:06 PLN:18 POS:01,249.40,
T59-B03,WT-165-S016,Wood,James,9,BLK:06 PLN:14 POS:01,MFV 04763,248.90,4/29/2013 17:50,4/29/2013 19:41,1:51:42,,,,,,,,,,248.90,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:14 POS:01,MFV 04763,1.2,5/13/2013 23:39,5/13/2013 23:42,0:02:33,,,,,1.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,17,MFV 04763,BLK:06 PLN:14 POS:01,250.10,
