Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T59-B03,WT-165-S016,Wood,James,3,BLK:06 PLN:08 POS:01,MFV 04797,245.80,4/29/2013 21:33,4/29/2013 23:00,1:26:30,delay because its one move behind have to wait tell it finishes to start on LL3,,,,,,,,,245.80,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:08 POS:01,MFV 04797,5.9,5/13/2013 23:20,5/13/2013 23:30,0:09:57,,,,,5.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,31,MFV 04797,BLK:06 PLN:08 POS:01,251.70,
T59-B03,WT-165-S016,Wood,James,12,BLK:06 PLN:00 POS:01,MFV 03024,242.40,4/29/2013 21:42,4/29/2013 23:07,1:25:48,delay because its one move behind have to wait tell it finishes to start on LL3,,,,,,,,,242.40,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:00 POS:01,MFV 03024,4.1,5/13/2013 21:54,5/13/2013 22:01,0:07:20,,,,,4.10,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:00 POS:01,MFV 03024,0.2,6/4/2014 12:47,6/4/2014 12:50,0:03:31,"1/8""",,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,32,MFV 03024,BLK:06 PLN:00 POS:01,246.70,
T59-B03,WT-165-SO16,wood,james,2,BLK:06 PLN:30 POS:02,MFV 04647,23.80,4/30/2013 0:35,4/30/2013 8:02,7:26:53,LL3/tanker swap,T59-B03,WT - 116 - SO16,223.8,,,,,,247.60,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:30 POS:02,MFV 04647,1.7,5/13/2013 20:57,5/13/2013 21:02,0:04:17,,,,,1.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,33,MFV 04647,BLK:06 PLN:30 POS:02,249.30,
T59-B03,WT-165-SO16,wood,james,3,BLK:06 PLN:26 POS:02,MFV 02202,20.10,4/30/2013 0:37,4/30/2013 8:09,7:32:43,LL3/tanker swap,T59-B03,WT - 116 - SO16,227.1,,,,,,247.20,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:26 POS:02,MFV 02202,2.7,5/13/2013 20:46,5/13/2013 20:52,0:05:54,,,,,2.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,34,MFV 02202,BLK:06 PLN:26 POS:02,249.90,
T59-B03,WT-165-SO16,wood,james,4,BLK:06 PLN:22 POS:02,MFV 04780,17.80,4/30/2013 0:37,4/30/2013 8:14,7:36:33,LL3/tanker swap,T59-B03,WT - 116 - SO16,226.7,,,,,,244.50,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:22 POS:02,MFV 04780,4.2,5/13/2013 20:32,5/13/2013 20:41,0:08:07,,,,,4.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,35,MFV 04780,BLK:06 PLN:22 POS:02,248.70,
T59-B03,WT-165-SO16,wood,james,5,BLK:06 PLN:18 POS:02,MFV 02232,18.60,4/30/2013 0:37,4/30/2013 8:17,7:40:06,LL3/tanker swap,T59-B03,WT - 116 - SO16,231.5,,,,,,250.10,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:18 POS:02,MFV 02232,1.6,5/13/2013 20:20,5/13/2013 20:27,0:06:56,,,,,1.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,36,MFV 02232,BLK:06 PLN:18 POS:02,251.70,
T59-B03,WT-165-SO16,wood,james,7,BLK:06 PLN:14 POS:02,MFV 02773,19.00,4/30/2013 0:37,4/30/2013 8:16,7:38:32,LL3/tanker swap,T59-B03,WT - 116 - SO16,230.5,,,,,,249.50,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:14 POS:02,MFV 02773,1,5/13/2013 20:45,5/13/2013 20:48,0:02:40,,,,,1.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,37,MFV 02773,BLK:06 PLN:14 POS:02,250.50,
T59-B03,WT-165-SO16,wood,james,10,BLK:06 PLN:10 POS:02,MFV 02668,11.50,4/30/2013 0:37,4/30/2013 8:43,8:05:37,LL3/tanker swap,T59-B03,WT - 116 - SO16,178.1,Had to take fill machine 8 out of service quit pumping switched it out with machine 10,,,,red light came on checked with stick reads full,189.60,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:10 POS:02,MFV 02668,1.7,5/13/2013 20:38,5/13/2013 20:41,0:03:30,,,,,1.70,T64-B13,WT163:S066,Larry,Brent,,BLK:06 PLN:10 POS:02,MFV 02668,,,,,"1/2""",,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,38,MFV 02668,BLK:06 PLN:10 POS:02,191.30,
T59-B03,WT-165-SO16,wood,james,9,BLK:06 PLN:06 POS:02,MFV 02675,6.20,4/30/2013 0:37,4/30/2013 8:43,8:05:26,LL3/tanker swap,T59-B03,WT - 116 - SO16,246.2,,,,,,252.40,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:06 POS:02,MFV 02675,1.1,5/13/2013 20:31,5/13/2013 20:34,0:03:41,,,,,1.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,39,MFV 02675,BLK:06 PLN:06 POS:02,253.50,
T59-B03,WT-165-SO16,wood,james,11,BLK:06 PLN:02 POS:02,MFV 04854,6.70,4/30/2013 0:37,4/30/2013 8:18,7:40:43,LL3/tanker swap,T59-B03,WT - 116 - SO16,242.7,,,,,,249.40,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:02 POS:02,MFV 04854,2.3,5/13/2013 20:22,5/13/2013 20:26,0:04:29,,,,,2.30,T64-B13,WT163:S066,Larry,Brent,,BLK:06 PLN:02 POS:02,MFV 04854,,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,40,MFV 04854,BLK:06 PLN:02 POS:02,251.70,
T59-B03,WT-116:S016,daniel,jason,2,BLK:06 PLN:28 POS:02,MFV 04709,247.60,4/30/2013 8:04,4/30/2013 9:55,1:51:52,,,,,,,,,,247.60,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:28 POS:02,MFV 04709,2,5/13/2013 20:52,5/13/2013 20:57,0:04:53,,,,,2.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,41,MFV 04709,BLK:06 PLN:28 POS:02,249.60,
T59-B03,WT-116:S016,daniel,jason,3,BLK:06 PLN:24 POS:02,MFV 02033,248.60,4/30/2013 8:10,4/30/2013 10:04,1:53:57,,,,,,,,,,248.60,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:24 POS:02,MFV 02033,2,5/13/2013 20:41,5/13/2013 20:46,0:05:09,,,,,2.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,42,MFV 02033,BLK:06 PLN:24 POS:02,250.60,
T59-B03,WT-116:S016,daniel,jason,4,BLK:06 PLN:20 POS:02,MFV 01822,250.70,4/30/2013 8:14,4/30/2013 10:18,2:04:27,,,,,,,,,,250.70,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:20 POS:02,MFV 01822,0.3,5/13/2013 20:28,5/13/2013 20:32,0:03:54,,,,,0.30,T64-B13,WT163:S066,Larry,Brent,,BLK:06 PLN:20 POS:02,MFV 01822,,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,43,MFV 01822,BLK:06 PLN:20 POS:02,251.00,
T59-B03,WT-116:S016,daniel,jason,5,BLK:06 PLN:16 POS:02,MFV 02112,251.00,4/30/2013 8:18,4/30/2013 10:19,2:01:13,,,,,,,,,,251.00,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:16 POS:02,MFV 02112,3.3,5/13/2013 20:15,5/13/2013 20:20,0:05:33,,,,,3.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,44,MFV 02112,BLK:06 PLN:16 POS:02,254.30,
T59-B03,WT-116:S016,daniel,jason,7,BLK:06 PLN:12 POS:02,MFV 02192,249.80,4/30/2013 8:16,4/30/2013 10:09,1:53:21,,,,,,,,,,249.80,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:12 POS:02,MFV 02192,1.4,5/13/2013 20:42,5/13/2013 20:45,0:03:08,,,,,1.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,45,MFV 02192,BLK:06 PLN:12 POS:02,251.20,
T59-B03,WT-116:S016,daniel,jason,10,BLK:06 PLN:08 POS:02,MFV 02765,248.30,4/30/2013 8:43,4/30/2013 10:29,1:46:27,,,,,,,,,,248.30,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:08 POS:02,MFV 02765,1.2,5/13/2013 20:35,5/13/2013 20:38,0:02:52,,,,,1.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,46,MFV 02765,BLK:06 PLN:08 POS:02,249.50,
T59-B03,WT-116:S016,daniel,jason,9,BLK:06 PLN:04 POS:02,MFV 02025,250.40,4/30/2013 8:19,4/30/2013 10:09,1:49:38,,,,,,,,,,250.40,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:04 POS:02,MFV 02025,1.3,5/13/2013 20:27,5/13/2013 20:30,0:03:29,,,,,1.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,47,MFV 02025,BLK:06 PLN:04 POS:02,251.70,
T59-B03,WT-116:S016,daniel,jason,11,BLK:06 PLN:00 POS:02,MFV 01465,250.10,4/30/2013 8:19,4/30/2013 10:07,1:48:25,,,,,,,,,,250.10,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:00 POS:02,MFV 01465,4.3,5/13/2013 20:14,5/13/2013 20:21,0:06:41,,,,,4.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,48,MFV 01465,BLK:06 PLN:00 POS:02,254.40,
T59-B03,WT-116:S016,daniel,jason,2,BLK:06 PLN:30 POS:03,MFV 04649,247.20,4/30/2013 9:56,4/30/2013 11:52,1:56:12,,,,,,,,,,247.20,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:30 POS:03,MFV 04649,1.8,5/13/2013 19:59,5/13/2013 20:04,0:04:48,,,,,1.80,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:30 POS:03,MFV 04649,0.4,6/4/2014 9:56,6/4/2014 9:58,0:01:52,"1/8""",,,0.00,0.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,49,MFV 04649,BLK:06 PLN:30 POS:03,249.40,
T59-B03,WT-116:S016,daniel,jason,3,BLK:06 PLN:26 POS:03,MFV 02206,247.80,4/30/2013 10:04,4/30/2013 12:04,2:00:08,,,,,,,,,,247.80,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:26 POS:03,MFV 02206,2.1,5/13/2013 19:50,5/13/2013 19:54,0:04:25,,,,,2.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,50,MFV 02206,BLK:06 PLN:26 POS:03,249.90,
T59-B03,WT-116:S016,daniel,jason,4,BLK:06 PLN:22 POS:03,MFV 04778,250.70,4/30/2013 10:19,4/30/2013 12:23,2:03:41,,,,,,,,,,250.70,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:22 POS:03,MFV 04778,1.6,5/13/2013 19:40,5/13/2013 19:45,0:04:58,,,,,1.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,51,MFV 04778,BLK:06 PLN:22 POS:03,252.30,
T59-B03,WT-116:S016,daniel,jason,5,BLK:06 PLN:18 POS:03,MFV 04723,247.30,4/30/2013 10:19,4/30/2013 12:18,1:58:32,,,,,,,,,,247.30,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:18 POS:03,MFV 04723,1.6,5/13/2013 18:56,5/13/2013 19:00,0:04:27,,,,,1.60,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:18 POS:03,MFV 04723,0.6,6/4/2014 9:39,6/4/2014 9:43,0:04:28,"3/4""",,,0.00,0.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,52,MFV 04723,BLK:06 PLN:18 POS:03,249.50,
T59-B03,WT-116:S016,daniel,jason,7,BLK:06 PLN:14 POS:03,MFV 02247,251.00,4/30/2013 10:10,4/30/2013 12:09,1:59:39,,,,,,,,,,251.00,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:14 POS:03,MFV 02247,1,5/13/2013 19:55,5/13/2013 19:58,0:02:25,,,,,1.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,53,MFV 02247,BLK:06 PLN:14 POS:03,252.00,
T59-B03,WT-116:S016,daniel,jason,10,BLK:06 PLN:10 POS:03,MFV 02779,250.80,4/30/2013 10:30,4/30/2013 12:24,1:54:36,,,,,,,,,,250.80,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:10 POS:03,MFV 02779,1.8,5/13/2013 19:48,5/13/2013 19:52,0:03:14,,,,,1.80,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:10 POS:03,MFV 02779,0.4,6/4/2014 9:35,6/4/2014 9:38,0:03:28,"1/16""",,,0.00,0.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,54,MFV 02779,BLK:06 PLN:10 POS:03,253.00,
T59-B03,WT-116:S016,daniel,jason,9,BLK:06 PLN:06 POS:03,MFV 04671,249.50,4/30/2013 10:10,4/30/2013 12:08,1:58:35,,,,,,,,,,249.50,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:06 POS:03,MFV 04671,1.4,5/13/2013 19:02,5/13/2013 19:04,0:02:40,,,,,1.40,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:06 POS:03,MFV 04671,0.1,6/4/2014 9:32,6/4/2014 9:34,0:01:53,"1/16""",,,0.00,0.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,55,MFV 04671,BLK:06 PLN:06 POS:03,251.00,
T59-B03,WT-116:S016,daniel,jason,11,BLK:06 PLN:02 POS:03,MFV 04850,250.40,4/30/2013 10:07,4/30/2013 12:01,1:53:45,,,,,,,,,,250.40,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:02 POS:03,MFV 04850,2.3,5/13/2013 18:52,5/13/2013 18:57,0:04:48,,,,,2.30,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:02 POS:03,MFV 04850,0.3,6/4/2014 9:29,6/4/2014 9:31,0:01:58,full,,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,56,MFV 04850,BLK:06 PLN:02 POS:03,253.00,
T59-B03,WT-116:S016,daniel,jason,2,BLK:06 PLN:28 POS:03,MFV 04710,128.90,4/30/2013 11:52,4/30/2013 14:03,2:11:18,swap,T59-B03,WT-169:S016,117.5,,,,,,246.40,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:28 POS:03,MFV 04710,2,5/13/2013 19:55,5/13/2013 19:59,0:04:23,,,,,2.00,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:28 POS:03,MFV 04710,1,6/4/2014 9:50,6/4/2014 9:55,0:04:51,"3/8""",,,0.00,1.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,57,MFV 04710,BLK:06 PLN:28 POS:03,249.40,
T59-B03,WT-116:S016,daniel,jason,3,BLK:06 PLN:24 POS:03,MFV 04588,96.30,4/30/2013 12:04,4/30/2013 14:18,2:13:45,swap,T59-B03,WT-169:S016,151,,,,,,247.30,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:24 POS:03,MFV 04588,2,5/13/2013 19:45,5/13/2013 19:50,0:04:24,,,,,2.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,58,MFV 04588,BLK:06 PLN:24 POS:03,249.30,
T59-B03,WT-116:S016,daniel,jason,4,BLK:06 PLN:20 POS:03,MFV 04749,49.40,4/30/2013 12:23,4/30/2013 14:40,2:16:24,swap,T59-B03,WT-169:S016,198.1,,,,,,247.50,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:20 POS:03,MFV 04749,2.1,5/13/2013 19:01,5/13/2013 19:05,0:04:28,,,,,2.10,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:20 POS:03,MFV 04749,1,6/4/2014 9:44,6/4/2014 9:49,0:05:21,"1/2""",,,0.00,1.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,59,MFV 04749,BLK:06 PLN:20 POS:03,250.60,
T59-B03,WT-116:S016,daniel,jason,5,BLK:06 PLN:16 POS:03,MFV 02116,63.00,4/30/2013 12:18,4/30/2013 14:32,2:13:47,swap,T59-B03,WT-169:S016,185.9,,,,,,248.90,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:16 POS:03,MFV 02116,3.5,5/13/2013 18:48,5/13/2013 18:55,0:07:23,,,,,3.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,60,MFV 02116,BLK:06 PLN:16 POS:03,252.40,
T59-B03,WT-116:S016,daniel,jason,7,BLK:06 PLN:12 POS:03,MFV 02340,85.10,4/30/2013 12:09,4/30/2013 14:19,2:09:12,swap,T59-B03,WT-169:S016,165.3,,,,,,250.40,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:12 POS:03,MFV 02340,1.7,5/13/2013 19:52,5/13/2013 19:55,0:03:18,,,,,1.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,61,MFV 02340,BLK:06 PLN:12 POS:03,252.10,
T59-B03,WT-116:S016,daniel,jason,10,BLK:06 PLN:08 POS:03,MFV 04800,50.50,4/30/2013 12:25,4/30/2013 14:34,2:09:13,swap,T59-B03,WT-169:S016,197.6,,,,,,248.10,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:08 POS:03,MFV 04800,4.5,5/13/2013 19:40,5/13/2013 19:48,0:08:02,,,,,4.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,62,MFV 04800,BLK:06 PLN:08 POS:03,252.60,
T59-B03,WT-116:S016,daniel,jason,9,BLK:06 PLN:04 POS:03,MFV 04571,90.80,4/30/2013 12:09,4/30/2013 14:16,2:07:01,swap,T59-B03,WT-169:S016,160,,,,,,250.80,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:04 POS:03,MFV 04571,1.8,5/13/2013 18:58,5/13/2013 19:02,0:03:57,,,,,1.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,63,MFV 04571,BLK:06 PLN:04 POS:03,252.60,
T59-B03,WT-116:S016,daniel,jason,11,BLK:06 PLN:00 POS:03,MFV 01409,108.70,4/30/2013 12:01,4/30/2013 13:56,1:54:32,swap,T59-B03,WT-169:S016,138,,,,,,246.70,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:00 POS:03,MFV 01409,1.7,5/13/2013 18:48,5/13/2013 18:52,0:04:12,,,,,1.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,64,MFV 01409,BLK:06 PLN:00 POS:03,248.40,
,,daniel,jason,2,BLK:06 PLN:30 POS:04,MFV 02299,,4/30/2013 14:04,4/30/2013 15:57,1:53:16,,T59-B03,WT-169:S016,246.3,,,,,,246.30,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:30 POS:04,MFV 02299,3,5/13/2013 18:31,5/13/2013 18:38,0:06:36,,,,,3.00,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:30 POS:04,MFV 02299,1,6/4/2014 8:22,6/4/2014 8:34,0:12:20,"3/8""",,,0.00,1.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,65,MFV 02299,BLK:06 PLN:30 POS:04,250.30,
,,daniel,jason,3,BLK:06 PLN:26 POS:04,MFV 02203,,4/30/2013 14:18,4/30/2013 16:13,1:54:48,,T59-B03,WT-169:S016,246.1,,,,,,246.10,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:26 POS:04,MFV 02203,3.7,5/13/2013 18:19,5/13/2013 18:25,0:06:30,,,,,3.70,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:26 POS:04,MFV 02203,0.4,6/4/2014 8:16,6/4/2014 8:19,0:02:31,"1 3/4""",,,0.00,0.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,66,MFV 02203,BLK:06 PLN:26 POS:04,250.20,
,,daniel,jason,4,BLK:06 PLN:22 POS:04,MFV 02260,,4/30/2013 14:40,4/30/2013 16:40,1:59:46,,T59-B03,WT-169:S016,246.4,,,,,,246.40,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:22 POS:04,MFV 02260,5.2,5/13/2013 18:04,5/13/2013 18:13,0:09:28,,,,,5.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,67,MFV 02260,BLK:06 PLN:22 POS:04,251.60,
,,daniel,jason,5,BLK:06 PLN:18 POS:04,MFV 04753,,4/30/2013 14:32,4/30/2013 16:29,1:56:58,,T59-B03,WT-169:S016,246.1,,,,,,246.10,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:18 POS:04,MFV 04753,4.1,5/13/2013 17:48,5/13/2013 17:55,0:07:44,,,,,4.10,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:18 POS:04,MFV 04753,0.9,6/4/2014 8:09,6/4/2014 8:13,0:04:43,11/8'',,,0.00,0.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,68,MFV 04753,BLK:06 PLN:18 POS:04,251.10,
,,daniel,jason,7,BLK:06 PLN:14 POS:04,MFV 02770,,4/30/2013 14:20,4/30/2013 16:15,1:54:20,,T59-B03,WT-169:S016,249,,,,,,249.00,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:14 POS:04,MFV 02770,2.1,5/13/2013 18:19,5/13/2013 18:24,0:05:28,,,,,2.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,69,MFV 02770,BLK:06 PLN:14 POS:04,251.10,
,,daniel,jason,10,BLK:06 PLN:10 POS:04,MFV 02785,,4/30/2013 14:34,4/30/2013 16:29,1:54:54,,T59-B03,WT-169:S016,247.2,,,,,,247.20,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:10 POS:04,MFV 02785,4.1,5/13/2013 18:07,5/13/2013 18:15,0:07:37,,,,,4.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,70,MFV 02785,BLK:06 PLN:10 POS:04,251.30,
,,daniel,jason,9,BLK:06 PLN:06 POS:04,MFV 02208,,4/30/2013 14:16,4/30/2013 16:06,1:50:01,,T59-B03,WT-169:S016,249.4,,,,,,249.40,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:06 POS:04,MFV 02208,2.8,5/13/2013 17:58,5/13/2013 18:04,0:05:43,,,,,2.80,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:06 POS:04,MFV 02208,0.1,6/4/2014 8:07,6/4/2014 8:08,0:01:09,full,,,0.00,0.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,71,MFV 02208,BLK:06 PLN:06 POS:04,252.30,
,,daniel,jason,11,BLK:06 PLN:02 POS:04,MFV 04830,,4/30/2013 14:01,4/30/2013 15:51,1:50:30,,T59-B03,WT-169:S016,247.1,,,,,,247.10,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:02 POS:04,MFV 04830,2.8,5/13/2013 17:48,5/13/2013 17:53,0:05:32,,,,,2.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,72,MFV 04830,BLK:06 PLN:02 POS:04,249.90,
,,daniel,jason,2,BLK:06 PLN:28 POS:04,MFV 02134,,4/30/2013 15:57,4/30/2013 18:38,2:40:22,,T59-B03,WT-169:S016,249.4,,,,,,249.40,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:28 POS:04,MFV 02134,1.4,5/13/2013 18:26,5/13/2013 18:31,0:05:29,,,,,1.40,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:28 POS:04,MFV 02134,0.2,6/4/2014 8:20,6/4/2014 8:21,0:01:33,full,,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,73,MFV 02134,BLK:06 PLN:28 POS:04,251.00,
,,daniel,jason,3,BLK:06 PLN:24 POS:04,MFV 04595,,4/30/2013 16:13,4/30/2013 18:51,2:37:35,,T59-B03,WT-169:S016,249.9,,,,,,249.90,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:24 POS:04,MFV 04595,1.9,5/13/2013 18:13,5/13/2013 18:18,0:04:33,,,,,1.90,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:24 POS:04,MFV 04595,0.3,6/4/2014 8:14,6/4/2014 8:16,0:02:04,"1/8""",,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,74,MFV 04595,BLK:06 PLN:24 POS:04,252.10,
