Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T64-B12,WT-116:SO61,john,wood,5,BLK:26 PLN:01 POS:07,MFV 10852,250.1,3/12/2014 13:32,3/12/2014 15:51,2:18:44,,,,,,,,,,250.1,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,10,MFV 10852,BLK:26 PLN:01 POS:07,250.10
T64-B12,WT-116:SO61,john,wood,8,BLK:26 PLN:01 POS:09,MFV 10870,251,3/12/2014 13:26,3/12/2014 15:41,2:15:34,,,,,,,,,,251,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,11,MFV 10870,BLK:26 PLN:01 POS:09,251.00
T64-B12,WT-116:SO61,john,wood,12,BLK:26 PLN:01 POS:11,MFV 10897,250.2,3/12/2014 13:33,3/12/2014 15:53,2:19:45,,,,,,,,,,250.2,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,12,MFV 10897,BLK:26 PLN:01 POS:11,250.20
T64-B12,WT-116:SO61,john,wood,1,BLK:26 PLN:03 POS:00,MFV 10763,165.8,3/12/2014 15:45,3/13/2014 8:42,16:57:15,,T64-B12,WT-164:S057,81.3,,,,,,247.1,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,13,MFV 10763,BLK:26 PLN:03 POS:00,247.10
T64-B12,WT-116:SO61,john,wood,3,BLK:26 PLN:03 POS:02,MFV 10896,164.3,3/12/2014 15:47,3/13/2014 8:43,16:55:53,,T64-B12,WT-164:S057,84.1,,,,,,248.4,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,14,MFV 10896,BLK:26 PLN:03 POS:02,248.40
T64-B12,WT-116:SO61,john,wood,4,BLK:26 PLN:03 POS:04,MFV 10905,153,3/12/2014 15:51,3/13/2014 8:50,16:59:19,,T64-B12,WT-164:S057,94.9,,,,,,247.9,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,15,MFV 10905,BLK:26 PLN:03 POS:04,247.90
T64-B12,WT-116:SO61,john,wood,5,BLK:26 PLN:03 POS:06,MFV 10902,151.5,3/12/2014 15:51,3/13/2014 8:51,16:59:36,,T64-B12,WT-164:S057,97.9,,,,,,249.4,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,16,MFV 10902,BLK:26 PLN:03 POS:06,249.40
T64-B12,WT-116:SO61,john,wood,8,BLK:26 PLN:03 POS:08,MFV 10880,170,3/12/2014 15:42,3/13/2014 8:40,16:58:01,,T64-B12,WT-164:S057,79.3,,,,,,249.3,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,17,MFV 10880,BLK:26 PLN:03 POS:08,249.30
T64-B12,WT-116:SO61,john,wood,12,BLK:26 PLN:03 POS:10,MFV 10860,150.3,3/12/2014 15:53,3/13/2014 8:54,17:01:12,,T64-B12,WT-164:S057,103.3,,,,,,253.6,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,18,MFV 10860,BLK:26 PLN:03 POS:10,253.60
T64-B12,WT-164:S057,wood,perko,1,BLK:26 PLN:03 POS:01,MFV 10710,249,3/13/2014 8:43,3/13/2014 11:03,2:20:23,,,,,,,,,,249,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,19,MFV 10710,BLK:26 PLN:03 POS:01,249.00
