Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T59-B09,WT-164:S046,daniel,gary,11,BLK:20 PLN:00 POS:00,MFV 09571,246.5,11/13/2013 23:29,11/14/2013 1:44,2:15:24,,,,,246.50,T64-B10,WT-163:S050,jason,daniel,8,BLK:20 PLN:00 POS:00,MFV 09571,4.5,12/2/2013 22:48,12/2/2013 22:52,0:04:00,,,,,4.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 09571,BLK:20 PLN:00 POS:00,251.00,
T59-B09,WT-116:S047,wood,james,11,BLK:20 PLN:00 POS:01,MFV 07379,244.9,11/14/2013 10:01,11/14/2013 11:57,1:55:58,,,,,244.90,T64-B10,WT-163:S050,jason,daniel,8,BLK:20 PLN:00 POS:01,MFV 07379,4.7,12/2/2013 21:07,12/2/2013 21:12,0:04:53,,,,,4.70,T64-B13,WT169:S064,Larry,Brent,5,BLK:20 PLN:00 POS:01,MFV 07379,1,7/17/2014 11:08,7/17/2014 11:14,0:05:56,5/8',,,0.00,1.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 07379,BLK:20 PLN:00 POS:01,250.60,
T59-B09,WT-116:S047,wood,james,11,BLK:20 PLN:00 POS:02,MFV 09570,219.1,swap,11/14/2013 18:17,2:45:40,,T59-B09,WT-168:S021,24.1,243.20,T64-B10,WT-163:S050,jason,daniel,8,BLK:20 PLN:00 POS:02,MFV 09570,3.1,12/2/2013 20:03,12/2/2013 20:07,0:03:50,,,,,3.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 09570,BLK:20 PLN:00 POS:02,246.30,
T59-B09,WT-168:S021,gary,jason,11,BLK:20 PLN:00 POS:03,MFV 09551,247.5,11/14/2013 21:45,11/15/2013 0:06,2:20:51,,,,,247.50,T64-B10,WT-163:S050,jason,daniel,8,BLK:20 PLN:00 POS:03,MFV 09551,6.4,12/2/2013 18:37,12/2/2013 18:43,0:06:34,,,,,6.40,T64-B13,WT169:S064,Larry,Brent,5,BLK:20 PLN:00 POS:03,MFV 09551,0.7,7/17/2014 7:52,7/17/2014 7:56,0:03:53,"1/4""",,,0.00,0.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 09551,BLK:20 PLN:00 POS:03,254.60,
T59-B09,WT-166:S050,gary,jason,11,BLK:20 PLN:00 POS:04,MFV 09546,247.5,11/15/2013 2:26,11/18/2013 17:19,86:52:41,,,,,247.50,T64-B10,WT-163:S050,jason,daniel,8,BLK:20 PLN:00 POS:04,MFV 09546,1.5,12/2/2013 17:47,12/2/2013 17:49,0:02:23,,,,,1.50,T64-B13,WT169:S064,Larry,Brent,5,BLK:20 PLN:00 POS:04,MFV 09546,2.2,7/16/2014 15:43,7/16/2014 15:54,0:11:39,"1""",,,0.00,2.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 09546,BLK:20 PLN:00 POS:04,251.20,
T59-B09,WT-166:S050,blackmer,galvin,9,BLK:20 PLN:00 POS:05,MFV 09545,247.2,11/18/2013 11:31,11/18/2013 13:09,1:38:09,,,,,247.20,T64-B10,WT-163:S050,jason,daniel,8,BLK:20 PLN:00 POS:05,MFV 09545,0.9,12/2/2013 17:36,12/2/2013 17:38,0:02:14,,,,,0.90,T64-B13,WT169:S064,Larry,Brent,5,BLK:20 PLN:00 POS:05,MFV 09545,2.9,7/16/2014 13:24,7/16/2014 13:37,0:12:57,"1""",,,0.00,2.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 09545,BLK:20 PLN:00 POS:05,251.00,
