Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64-B06,WT-169:S029,daniel,jason,12,BLK:12 PLN:00 POS:00,MFV 04320,242.3,7/30/2013 1:13,7/30/2013 2:58,1:45:11,,,,,242.30,T59-B06,WT-163:S033,wood,blackmer,5,BLK:12 PLN:00 POS:00,MFV 04320,1.2,8/12/2013 13:22,8/12/2013 13:31,0:09:28,,,,,1.20,T64-B13,WT163:S066,Larry,Brent,5,BLK:12 PLN:00 POS:00,MFV 04320,2.5,6/24/2014 7:32,6/24/2014 7:46,0:13:38,"1/2""",,,0.00,2.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 04320,BLK:12 PLN:00 POS:00,246.00,
T64-B06,WT-163:S031,blackmer,galvin,12,BLK:12 PLN:00 POS:01,MFV 06687,248.6,7/30/2013 9:46,7/30/2013 11:43,1:57:06,,,,,248.60,T59-B06,WT-163:S033,wood,blackmer,5,BLK:12 PLN:00 POS:01,MFV 06687,0.9,8/12/2013 11:13,8/12/2013 11:17,0:04:48,,,,,0.90,T64-B13,WT163:S066,Jay,John,5,BLK:12 PLN:00 POS:01,MFV 06687,2.3,6/23/2014 9:10,6/23/2014 9:21,0:11:10,"1""",,,0.00,2.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 06687,BLK:12 PLN:00 POS:01,251.80,
T64-B06,WT-163:S031,blackmer,galvin,12,BLK:12 PLN:00 POS:02,MFV 06656,72.7,7/30/2013 15:57,7/30/2013 19:06,3:09:06,swap,T64-B06,WT-166:S032,173.4,246.10,T59-B06,WT-168:S006,wood,blackmer,5,BLK:12 PLN:00 POS:02,MFV 06656,1.6,8/12/2013 7:40,8/12/2013 7:50,0:10:41,,,,,1.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 06656,BLK:12 PLN:00 POS:02,247.70,
T64-B06,WT-166:S032,daniel,jason ,12,BLK:12 PLN:00 POS:03,MFV 06649,246.5,7/30/2013 20:58,7/30/2013 22:50,1:51:23,,,,,246.50,T59-B06,WT-168:S006,wood,blackmer,5,BLK:12 PLN:00 POS:03,MFV 06649,0.8,8/9/2013 16:05,8/9/2013 16:09,0:03:59,,,,,0.80,T64-B13,WT163:S066,Larry,Brent,5,BLK:12 PLN:00 POS:03,MFV 06649,3.4,6/20/2014 13:12,6/20/2014 13:24,0:12:30,"1 1/4""",,,0.00,3.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 06649,BLK:12 PLN:00 POS:03,250.70,
T64-B06,WT-116:S031,daniel,jason ,12,BLK:12 PLN:00 POS:04,MFV 06504,247.3,7/31/2013 0:57,7/31/2013 2:50,1:52:14,,,,,247.30,T59-B06,WT-168:S006,wood,blackmer,5,BLK:12 PLN:00 POS:04,MFV 06504,3.4,8/9/2013 14:13,8/9/2013 14:22,0:08:30,,,,,3.40,T64-B13,WT163:S066,Larry,Brent,5,BLK:12 PLN:00 POS:04,MFV 06504,1.1,6/20/2014 9:05,6/20/2014 9:10,0:05:02,"5/8""",,,0.00,1.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 06504,BLK:12 PLN:00 POS:04,251.80,
T64-B06,WT-116:S031,galvin,blackmer,12,BLK:12 PLN:00 POS:05,MFV 04339,247.1,7/31/2013 8:23,7/31/2013 10:24,2:00:41,,,,,247.10,T59-B06,WT-168:S006,wood,blackmer,5,BLK:12 PLN:00 POS:05,MFV 04339,0.8,8/9/2013 13:04,8/9/2013 13:16,0:11:54,,,,,0.80,T64-B13,WT163:S066,Larry,Brent,5,BLK:12 PLN:00 POS:05,MFV 04339,2.7,6/19/2014 14:15,6/19/2014 14:26,0:10:58,"3/4""",,,0.00,2.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 04339,BLK:12 PLN:00 POS:05,250.60,
