0.000000	0.000000
0.050000	0.000000
0.100000	1689865820958708.750000
0.150000	2064570224057381.750000
0.200000	2169537703053039.500000
0.250000	2321514959033571.500000
0.300000	2585577512708175.000000
0.350000	2826264952159961.000000
0.400000	3046838679366929.500000
0.450000	3315927773646749.000000
0.500000	3551203017848732.500000
0.550000	3822294098987792.000000
0.600000	4086442609422510.500000
0.650000	4252412337069881.000000
0.700000	4558966805463353.000000
0.750000	4645146876612733.000000
0.800000	4855446433238622.000000
0.850000	5056771268137451.000000
0.900000	5442816057468976.000000
0.950000	5599794886965367.000000
1.000000	6022074580019631.000000
1.050000	6407905445720040.000000
1.100000	6950597519311226.000000
1.150000	7672066771289785.000000
1.200000	8619700767884067.000000
1.250000	9661781050595218.000000
1.300000	10770971413539328.000000
1.350000	11911661910968042.000000
1.400000	13031195726828536.000000
1.450000	14355000398357948.000000
1.500000	15340217810583710.000000
1.550000	16293154630216454.000000
1.600000	17206678357358328.000000
1.650000	18126341948431680.000000
1.700000	18857125943674132.000000
1.750000	19474801218040616.000000
1.800000	19848148640449408.000000
1.850000	20069335570424216.000000
1.900000	19969633296342260.000000
1.950000	19816016442921812.000000
2.000000	19120410140420248.000000
2.050000	18272559418491020.000000
2.100000	17359050337977978.000000
2.150000	16192585767848880.000000
2.200000	15121337342039320.000000
2.250000	14045739466138452.000000
2.300000	12785795054326586.000000
2.350000	11822310394433494.000000
2.400000	10703129513099154.000000
2.450000	9547924621906126.000000
2.500000	8495260099465001.000000
2.550000	7786372427037579.000000
2.600000	7071441210249683.000000
2.650000	6430217114577114.000000
2.700000	5725259754207991.000000
2.750000	5260265977587499.000000
2.800000	4592579944069069.000000
2.850000	4157486057663057.500000
2.900000	3723729160763124.000000
2.950000	3351692266213380.500000
3.000000	3037645575009618.000000
3.050000	2749187247373399.500000
3.100000	2346372519565354.500000
3.150000	2101090009191377.250000
3.200000	1869788780275674.500000
3.250000	1716727749013229.250000
3.300000	1544399861653127.500000
3.350000	1314887584565549.500000
3.400000	1239860754331564.000000
3.450000	1103071472374394.875000
3.500000	1041003229594327.125000
3.550000	902984291318961.250000
3.600000	889151599659589.125000
3.650000	807759538097670.875000
3.700000	765548818600472.250000
3.750000	680930017037855.000000
3.800000	713571784667619.625000
3.850000	625863099595701.000000
3.900000	620860584033857.125000
3.950000	610790124923472.125000
4.000000	591154132532577.750000
4.050000	564962753018557.250000
4.100000	521932426367574.500000
4.150000	529711792624191.562500
4.200000	510716017252451.375000
4.250000	490485308626605.187500
4.300000	482295686645716.187500
4.350000	461265286032813.562500
4.400000	423258475483475.875000
4.450000	432321996513689.187500
4.500000	452556800605643.000000
4.550000	391611878834369.500000
4.600000	411429927761289.125000
4.650000	387153561684636.125000
4.700000	388734253387925.187500
4.750000	390419182280271.000000
4.800000	345811794016430.625000
4.850000	352488784408251.187500
4.900000	346714167862257.375000
4.950000	351068740038001.437500
5.000000	329196582263927.687500
5.050000	323095517072419.125000
5.100000	318944534564453.062500
5.150000	319020621218720.875000
5.200000	325454770118128.750000
5.250000	335113910535076.250000
5.300000	300538658384203.312500
5.350000	294277793110612.312500
5.400000	283109651746580.875000
5.450000	300227919169461.375000
5.500000	292146136935342.250000
5.550000	292349999166313.625000
5.600000	285108274615317.312500
5.650000	298736696785054.187500
5.700000	284128635425738.875000
5.750000	261542779173812.812500
5.800000	248124491724982.218750
5.850000	247359059992358.656250
5.900000	275938755164258.656250
5.950000	256593663535703.281250
6.000000	260869152575983.937500
6.050000	234476852699349.875000
6.100000	229403283840895.875000
6.150000	253444653444596.906250
6.200000	236515609977488.000000
6.250000	240247063435122.656250
6.300000	218787731874592.156250
6.350000	220064284035576.500000
6.400000	229863390083520.437500
6.450000	222159580752793.843750
6.500000	241336777733259.531250
6.550000	234711880809808.625000
6.600000	219600399566920.531250
6.650000	215840255958023.125000
6.700000	204117598171142.937500
6.750000	222835053106577.500000
6.800000	212584739673674.625000
6.850000	203952510495223.906250
6.900000	194461603630384.625000
6.950000	207850124293945.875000
7.000000	212088594944165.250000
7.050000	211464923046070.406250
7.100000	200884475656274.500000
7.150000	217138947296515.437500
7.200000	201055005454862.656250
7.250000	218073016764584.218750
7.300000	199584007495336.125000
7.350000	207433497458486.687500
7.400000	211105069092659.062500
7.450000	223939110250097.281250
7.500000	207967196052917.343750
7.550000	214376848824973.125000
7.600000	193293519186517.781250
7.650000	203091071637512.593750
7.700000	204093022336167.062500
7.750000	200709253131630.562500
7.800000	196336487647709.843750
7.850000	194951566183920.656250
7.900000	192015249161062.843750
7.950000	199972630064247.843750
8.000000	209771574285495.718750
8.050000	196524404559998.500000
8.100000	193427174717357.312500
8.150000	209553910290465.281250
8.200000	197724438687203.812500
8.250000	193346998873633.093750
8.300000	204990613879038.843750
8.350000	213549041749055.687500
8.400000	198198965256617.031250
8.450000	191435791717271.468750
8.500000	210301752368320.218750
8.550000	209494287931248.406250
8.600000	211707061329859.437500
8.650000	209092073441330.812500
8.700000	188795735928104.500000
8.750000	192343596519955.875000
8.800000	192414625038092.625000
8.850000	208940924761841.531250
8.900000	218618525875530.750000
8.950000	197546691156485.343750
9.000000	197649121185706.218750
9.050000	179085564310997.250000
9.100000	204666401633034.656250
9.150000	181709409590016.500000
9.200000	209144428545676.406250
9.250000	211897548189793.218750
9.300000	191983915893828.593750
9.350000	198914071101732.937500
9.400000	182669267170442.531250
9.450000	183833380373140.156250
9.500000	203659951588754.781250
9.550000	211612897438209.250000
9.600000	183548458054075.062500
9.650000	201469688323053.531250
9.700000	203968612295856.218750
